Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Ezra Cleveland,G,68,100%,0,0%,5,17%
Brian O'Neill,T,68,100%,0,0%,5,17%
Dakota Dozier,G,68,100%,0,0%,5,17%
Riley Reiff,T,68,100%,0,0%,5,17%
Garrett Bradbury,C,68,100%,0,0%,0,0%
Kirk Cousins,QB,68,100%,0,0%,0,0%
Justin Jefferson,WR,66,97%,0,0%,0,0%
Adam Thielen,WR,64,94%,0,0%,0,0%
Irv Smith Jr.,TE,56,82%,0,0%,0,0%
Dalvin Cook,RB,52,76%,0,0%,0,0%
Tyler Conklin,TE,45,66%,0,0%,15,52%
C.J. Ham,FB,20,29%,0,0%,3,10%
Chad Beebe,WR,20,29%,0,0%,1,3%
Olabisi Johnson,WR,9,13%,0,0%,8,28%
Alexander Mattison,RB,6,9%,0,0%,8,28%
Ameer Abdullah,RB,1,1%,0,0%,14,48%
Rashod Hill,T,1,1%,0,0%,5,17%
Jeff Gladney,CB,0,0%,64,100%,8,28%
Anthony Harris,S,0,0%,64,100%,8,28%
Eric Wilson,LB,0,0%,64,100%,8,28%
Harrison Smith,S,0,0%,64,100%,7,24%
Cameron Dantzler,CB,0,0%,61,95%,1,3%
Todd Davis,LB,0,0%,59,92%,8,28%
Shamar Stephen,DT,0,0%,52,81%,8,28%
Jalyn Holmes,DE,0,0%,44,69%,7,24%
D.J. Wonnum,DE,0,0%,43,67%,7,24%
Jaleel Johnson,DT,0,0%,36,56%,8,28%
Chris Jones,CB,0,0%,31,48%,0,0%
Armon Watts,DT,0,0%,26,41%,6,21%
Ifeadi Odenigbo,DE,0,0%,26,41%,1,3%
Troy Dye,LB,0,0%,24,38%,11,38%
Hercules Mata'afa,DT,0,0%,24,38%,1,3%
Hardy Nickerson,LB,0,0%,16,25%,16,55%
James Lynch,DT,0,0%,4,6%,1,3%
Blake Lynch,LB,0,0%,1,2%,16,55%
Jordan Brailford,DE,0,0%,1,2%,0,0%
Josh Metellus,S,0,0%,0,0%,16,55%
Mike Boone,RB,0,0%,0,0%,16,55%
Ryan Connelly,LB,0,0%,0,0%,16,55%
Dan Chisena,WR,0,0%,0,0%,16,55%
Harrison Hand,CB,0,0%,0,0%,15,52%
Dan Bailey,K,0,0%,0,0%,11,38%
Cordrea Tankersley,CB,0,0%,0,0%,9,31%
Britton Colquitt,P,0,0%,0,0%,7,24%
Andrew DePaola,LS,0,0%,0,0%,7,24%
Dru Samia,G,0,0%,0,0%,5,17%
Brett Jones,C,0,0%,0,0%,5,17%
