Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bears won the coin toss, Bears to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Dan Bailey kicks off 44 yards, returned by Demetrius Harris for -1 yards, lateral to Cordarrelle Patterson for 19 yards, lateral to Cordrea Tankersley for 19 yards",0.000,1.530
1,14:55,1,10,CHI 39,0,0,Mitchell Trubisky pass complete short left to Cole Kmet for 7 yards (tackle by Harrison Smith),1.530,1.930
1,14:36,2,3,CHI 46,0,0,David Montgomery right guard for 2 yards (tackle by Ifeadi Odenigbo),1.930,1.490
1,13:56,3,1,CHI 48,0,0,Mitchell Trubisky sacked by Todd Davis for -4 yards,1.490,-0.460
1,13:17,4,5,CHI 44,0,0,"Pat O'Donnell punts 44 yards, fair catch by Chad Beebe at MIN-12",-0.460,0.350
1,13:11,1,10,MIN 12,0,0,Kirk Cousins sacked by and Bilal Nichols for -6 yards and Brent Urban for -6 yards,-0.350,-1.220
1,12:37,2,16,MIN 6,0,0,Dalvin Cook left tackle for no gain (tackle by Danny Trevathan),-1.220,-2.120
1,11:57,3,16,MIN 6,0,0,Dalvin Cook left end for 10 yards (tackle by Kindle Vildor),-2.120,-2.390
1,11:18,4,6,MIN 16,0,0,"Britton Colquitt punts 43 yards, returned by Anthony Miller for 1 yard (tackle by Harrison Hand)",-2.390,-1.730
1,11:08,1,10,CHI 42,0,0,David Montgomery left tackle for 19 yards (tackle by Anthony Harris and Todd Davis),1.730,2.980
1,10:25,1,10,MIN 39,0,0,Cordarrelle Patterson right tackle for 3 yards (tackle by Jaleel Johnson),2.980,2.850
1,9:50,2,7,MIN 36,0,0,Mitchell Trubisky pass complete short left to Cordarrelle Patterson for 4 yards (tackle by Ifeadi Odenigbo),2.850,2.680
1,9:22,3,3,MIN 32,0,0,Mitchell Trubisky pass complete deep right to Allen Robinson for 24 yards (tackle by Jeff Gladney),2.680,5.370
1,9:07,1,8,MIN 8,6,0,"Mitchell Trubisky pass complete short left to Darnell Mooney for 8 yards, touchdown, touchdown",5.370,7.000
1,9:01,,,MIN 15,7,0,Cairo Santos kicks extra point good,0.000,0.000
1,9:01,,,CHI 35,7,0,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,9:01,1,10,MIN 25,7,0,Kirk Cousins pass complete short left to Adam Thielen for 8 yards (tackle by Duke Shelley),0.610,1.140
1,8:29,2,2,MIN 33,7,0,Dalvin Cook up the middle for no gain (tackle by Danny Trevathan and John Jenkins),1.140,0.430
1,7:49,3,2,MIN 33,7,0,Kirk Cousins pass complete short middle to Irv Smith for 21 yards (tackle by Eddie Jackson and Danny Trevathan),0.430,2.520
1,7:09,1,10,CHI 46,7,0,Dalvin Cook left guard for 13 yards (tackle by Tashaun Gipson),2.520,3.380
1,6:34,1,10,CHI 33,7,0,Kirk Cousins pass complete deep left to Justin Jefferson for 23 yards (tackle by Eddie Jackson),3.380,4.910
1,5:56,1,10,CHI 10,7,0,Dalvin Cook left guard for 7 yards (tackle by Roquan Smith and Danny Trevathan),4.910,5.530
1,5:25,2,3,CHI 3,7,0,Dalvin Cook up the middle for no gain (tackle by Danny Trevathan and Barkevious Mingo),5.530,4.720
1,4:49,3,3,CHI 3,7,6,"Kirk Cousins pass complete short left to Adam Thielen for 3 yards, touchdown",4.720,7.000
1,4:46,,,CHI 15,7,7,Dan Bailey kicks extra point good,0.000,0.000
1,4:46,,,MIN 35,7,7,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,4:46,1,10,CHI 25,7,7,Mitchell Trubisky pass complete short right to Allen Robinson for 14 yards (tackle by Chris Jones),0.610,1.530
1,4:23,1,10,CHI 39,7,7,Mitchell Trubisky pass complete short right to Darnell Mooney for 12 yards (tackle by Todd Davis),1.530,2.320
1,3:54,1,10,MIN 49,7,7,David Montgomery right tackle for 8 yards (tackle by Eric Wilson and Jeff Gladney),2.320,2.860
1,3:19,2,2,MIN 41,7,7,Mitchell Trubisky pass complete short right to Allen Robinson for 10 yards (tackle by Chris Jones),2.860,3.510
1,2:34,1,10,MIN 31,7,7,David Montgomery left end for 2 yards (tackle by Cameron Dantzler),3.510,3.240
1,1:49,2,8,MIN 29,7,7,Mitchell Trubisky pass complete short left to Cole Kmet for 5 yards (tackle by Cameron Dantzler),3.240,3.200
1,1:24,3,3,MIN 24,7,7,Mitchell Trubisky pass incomplete short middle intended for Javon Wims,3.200,1.970
1,1:20,4,3,MIN 24,10,7,Cairo Santos 42 yard field goal good,1.970,3.000
1,1:16,,,CHI 35,10,7,"Cairo Santos kicks off 65 yards, touchback.",0.000,0.610
1,1:16,1,10,MIN 25,10,7,Kirk Cousins pass complete short left to Justin Jefferson for 9 yards (tackle by Danny Trevathan and Trevis Gipson),0.610,1.280
1,0:41,2,1,MIN 34,10,7,Dalvin Cook left guard for 6 yards (tackle by Roquan Smith),1.280,1.600
1,0:08,1,10,MIN 40,10,7,Dalvin Cook up the middle for 6 yards (tackle by Barkevious Mingo and Danny Trevathan),1.600,1.860
Quarter,Time,Down,ToGo,Location,CHI,MIN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,4,MIN 46,10,7,Kirk Cousins pass incomplete short right,1.860,1.160
2,14:54,3,4,MIN 46,10,7,"Kirk Cousins sacked by Robert Quinn for -7 yards. Kirk Cousins fumbles (forced by Robert Quinn), recovered by Riley Reiff at MIN-39",1.160,-0.780
2,14:12,4,11,MIN 39,10,7,Britton Colquitt punts 37 yards out of bounds,-0.780,-0.540
2,14:05,1,10,CHI 24,10,7,Darnell Mooney right end for 16 yards (tackle by Anthony Harris),0.540,1.600
2,13:43,1,10,CHI 40,10,7,Mitchell Trubisky pass complete short left to Jimmy Graham for 16 yards (tackle by Anthony Harris),1.600,2.650
2,13:06,1,10,MIN 44,10,7,Mitchell Trubisky right end for 8 yards (tackle by Hercules Mata'afa),2.650,3.190
2,12:27,2,2,MIN 36,10,7,David Montgomery right guard for 10 yards (tackle by Todd Davis),3.190,3.840
2,11:44,1,10,MIN 26,10,7,David Montgomery right tackle for 9 yards (tackle by Eric Wilson and Hercules Mata'afa),3.840,4.640
2,11:17,2,1,MIN 17,10,7,David Montgomery up the middle for no gain (tackle by Armon Watts and Eric Wilson),4.640,3.950
2,10:49,3,1,MIN 17,10,7,Mitchell Trubisky up the middle for 1 yard (tackle by Eric Wilson and Troy Dye),3.950,4.510
2,10:21,1,10,MIN 16,10,7,Mitchell Trubisky pass incomplete deep left intended for Allen Robinson,4.510,3.900
2,10:16,2,10,MIN 16,10,7,David Montgomery left end for 3 yards (tackle by Armon Watts),3.900,3.540
