Quarter,Time,Down,ToGo,Location,MIN,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,MIN 35,0,0,"Dan Bailey kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NOR 25,0,0,Alvin Kamara left guard for 11 yards (tackle by Harrison Smith),0.610,1.330
1,14:19,1,10,NOR 36,0,0,Drew Brees pass complete short left to Marquez Callaway for 9 yards (tackle by Cameron Dantzler),1.330,2.010
1,13:48,2,1,NOR 45,0,0,Latavius Murray right guard for 3 yards (tackle by D.J. Wonnum),2.010,2.130
1,13:05,1,10,NOR 48,0,0,Drew Brees pass incomplete short middle intended for Alvin Kamara,2.130,1.580
1,13:00,2,10,NOR 48,0,0,Emmanuel Sanders left end for 12 yards (tackle by Hardy Nickerson),1.580,2.920
1,12:19,1,10,MIN 40,0,6,"Alvin Kamara left guard for 40 yards, touchdown",2.920,7.000
1,12:11,,,MIN 15,0,7,Wil Lutz kicks extra point good,0.000,0.000
1,12:11,,,NOR 35,0,7,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,12:11,1,10,MIN 25,0,7,Kirk Cousins pass complete short right to Adam Thielen for 16 yards (tackle by Kwon Alexander),0.610,1.660
1,11:45,1,10,MIN 41,0,7,Kirk Cousins pass complete short right to Justin Jefferson for 11 yards (tackle by Marshon Lattimore),1.660,2.390
1,11:15,1,10,NOR 48,0,7,Dalvin Cook left end for 15 yards (tackle by Kwon Alexander),2.390,3.380
1,10:51,1,10,NOR 33,0,7,Dalvin Cook right guard for 2 yards (tackle by Cameron Jordan),3.380,3.110
1,10:12,2,8,NOR 31,0,7,Kirk Cousins pass incomplete short right intended for Tyler Conklin,3.110,2.410
1,10:06,3,8,NOR 31,0,7,Kirk Cousins pass complete short middle to Tyler Conklin for 9 yards (tackle by Kwon Alexander),2.410,4.110
1,9:29,1,10,NOR 22,0,7,Kirk Cousins pass complete short right to Adam Thielen for 7 yards (tackle by Marshon Lattimore),4.110,4.650
1,8:54,2,3,NOR 15,6,7,"Dalvin Cook left tackle for 15 yards, touchdown",4.650,7.000
1,8:46,,,NOR 15,7,7,Dan Bailey kicks extra point good,0.000,0.000
1,8:46,,,MIN 35,7,7,"Dan Bailey kicks off 64 yards, returned by Ty Montgomery for 33 yards (tackle by Harrison Hand)",0.000,1.200
1,8:41,1,10,NOR 34,7,7,Alvin Kamara left guard for 11 yards (tackle by Jaleel Johnson),1.200,1.930
1,8:07,1,10,NOR 45,7,7,Drew Brees pass complete short left to Alvin Kamara for 9 yards (tackle by Blake Lynch),1.930,2.600
1,7:47,2,1,MIN 46,7,7,Michael Burton right guard for 7 yards (tackle by Anthony Harris and Hardy Nickerson),2.600,2.980
