Quarter,Time,Down,ToGo,Location,ARI,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,Kenyan Drake right tackle for 9 yards (tackle by Jeremy Chinn),0.610,1.280
1,14:31,2,1,ARI 34,0,0,Kenyan Drake right tackle for 1 yard (tackle by Donte Jackson and Tahir Whitehead),1.280,1.270
1,14:03,1,10,ARI 35,0,0,Kyler Murray pass incomplete deep middle intended for Larry Fitzgerald,1.270,0.720
1,13:57,2,10,ARI 35,0,0,Kyler Murray pass complete short middle to Andy Isabella for 2 yards (tackle by Juston Burris),0.720,0.300
1,13:19,3,8,ARI 37,0,0,Kyler Murray pass incomplete deep left intended for Christian Kirk (defended by Juston Burris),0.300,-0.910
1,13:13,4,8,ARI 37,0,0,Andy Lee punts 29 yards downed by Dennis Gardeck,-0.910,-1.200
1,13:05,1,10,CAR 34,0,0,Teddy Bridgewater pass incomplete short left intended for D.J. Moore,1.200,0.660
1,13:02,2,10,CAR 34,0,0,Mike Davis up the middle for 3 yards (tackle by Deionte Thompson),0.660,0.370
1,12:18,3,7,CAR 37,0,0,Teddy Bridgewater pass complete short left to Robby Anderson for 14 yards (tackle by Dre Kirkpatrick),0.370,2.320
1,11:40,1,10,ARI 49,0,0,"Teddy Bridgewater pass incomplete deep left intended for D.J. Moore. Penalty on D.J. Moore: Offensive Pass Interference, 10 yards (no play)",2.320,1.660
1,11:34,1,20,CAR 41,0,0,Teddy Bridgewater pass complete short left to Robby Anderson for 3 yards (tackle by Deionte Thompson and Jordan Hicks),1.660,0.840
1,10:59,2,17,CAR 44,0,0,Teddy Bridgewater pass complete short left to Mike Davis for 3 yards (tackle by Dre Kirkpatrick),0.840,0.560
1,10:26,3,14,CAR 47,0,0,"Penalty on Ian Thomas: False Start, 5 yards (no play)",0.560,-0.100
1,10:09,3,19,CAR 42,0,0,Teddy Bridgewater pass complete short left to Chris Manhertz for 17 yards (tackle by De'Vondre Campbell and Deionte Thompson),-0.100,0.530
1,9:27,4,2,ARI 41,0,0,Teddy Bridgewater right end for 6 yards (tackle by Haason Reddick),0.530,3.250
1,8:50,1,10,ARI 35,0,0,Teddy Bridgewater pass incomplete short right,3.250,2.700
