Quarter,Time,Down,ToGo,Location,IND,CHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Colts won the coin toss and deferred, Bears to receive the opening kickoff.",,
1,15:00,,,IND 35,0,0,"Rigoberto Sanchez kicks off 73 yards, returned by Cordarrelle Patterson for 26 yards (tackle by George Odum and Ben Banogu)",0.000,0.040
1,14:54,1,10,CHI 18,0,0,David Montgomery right guard for 2 yards (tackle by Anthony Walker),0.040,-0.130
1,14:16,2,8,CHI 20,0,0,Nick Foles pass complete short right to Darnell Mooney for 8 yards (tackle by Rock Ya-Sin),-0.130,0.810
1,13:31,1,10,CHI 28,0,0,Cordarrelle Patterson left tackle for 2 yards (tackle by Grover Stewart and DeForest Buckner),0.810,0.530
1,12:52,2,8,CHI 30,0,0,Nick Foles pass complete short left to Cordarrelle Patterson for no gain (tackle by Khari Willis),0.530,-0.160
1,12:17,3,8,CHI 30,0,0,"Penalty on Denico Autry: Neutral Zone Infraction, 5 yards (no play)",-0.160,0.500
1,11:58,3,3,CHI 35,0,0,Nick Foles pass incomplete short middle intended for Allen Robinson (defended by Xavier Rhodes),0.500,-1.040
1,11:55,4,3,CHI 35,0,0,Pat O'Donnell punts 18 yards downed by Ryan Nall,-1.040,-2.060
1,11:43,1,10,IND 47,0,0,"Philip Rivers sacked by Roy Robertson-Harris for no gain. Penalty on Quenton Nelson: Offensive Holding, 10 yards (no play)",2.060,1.400
1,11:24,1,20,IND 37,0,0,"Philip Rivers pass incomplete short right intended for T.Y. Hilton (defended by Kyle Fuller). Penalty on Kyle Fuller: Defensive Pass Interference, 8 yards (no play)",1.400,1.930
1,11:19,1,10,IND 45,0,0,"Jonathan Taylor right guard for 11 yards (tackle by Roquan Smith). Penalty on Jack Doyle: Offensive Holding, 10 yards (no play)",1.930,1.270
1,10:58,1,20,IND 35,0,0,Philip Rivers pass complete short left to Zach Pascal for 11 yards (tackle by Buster Skrine),1.270,1.520
1,10:16,2,9,IND 46,0,0,Philip Rivers pass incomplete short left intended for Trey Burton,1.520,0.830
1,10:11,3,9,IND 46,0,0,Philip Rivers pass complete deep left to Zach Pascal for 36 yards (tackle by Tashaun Gipson),0.830,4.370
1,9:29,1,10,CHI 18,0,0,Jonathan Taylor left guard for 3 yards (tackle by Brent Urban and Roquan Smith),4.370,4.250
1,8:49,2,7,CHI 15,0,0,Jonathan Taylor left end for 2 yards (tackle by Eddie Jackson),4.250,3.820
1,8:15,3,5,CHI 13,6,0,"Philip Rivers pass complete short middle to Mo Alie-Cox for 13 yards, touchdown",3.820,7.000
1,8:08,,,CHI 15,7,0,Rodrigo Blankenship kicks extra point good,0.000,0.000
1,8:08,,,IND 35,7,0,"Rigoberto Sanchez kicks off 65 yards, touchback.",0.000,0.610
1,8:08,1,10,CHI 25,7,0,Nick Foles pass complete short left to Ted Ginn for 6 yards (tackle by Xavier Rhodes),0.610,0.870
1,7:28,2,4,CHI 31,7,0,Nick Foles pass complete short middle to Allen Robinson for 5 yards (tackle by Darius Leonard),0.870,1.330
1,6:46,1,10,CHI 36,7,0,Cordarrelle Patterson left tackle for 4 yards (tackle by Grover Stewart and Anthony Walker),1.330,1.330
1,6:02,2,6,CHI 40,7,0,Nick Foles pass incomplete short right intended for Jimmy Graham,1.330,0.630
1,5:57,,,,,,Timeout #1 by Chicago Bears,,
1,5:57,3,6,CHI 40,7,0,Nick Foles pass incomplete short right intended for Darnell Mooney (defended by Rock Ya-Sin),0.630,-0.720
1,5:53,4,6,CHI 40,7,0,"Pat O'Donnell punts 50 yards, returned by Nyheim Hines for 3 yards (tackle by Cordarrelle Patterson)",-0.720,0.320
1,5:43,1,10,IND 13,7,0,Jordan Wilkins left tackle for 5 yards (tackle by Akiem Hicks and Barkevious Mingo),-0.320,-0.140
1,5:16,2,5,IND 18,7,0,Philip Rivers pass incomplete short left intended for Daurice Fountain (defended by Barkevious Mingo),-0.140,-0.830
1,5:10,3,5,IND 18,7,0,Philip Rivers pass incomplete short right intended for Trey Burton,-0.830,-2.240
1,5:05,4,5,IND 18,7,0,"Rigoberto Sanchez punts 51 yards, returned by Ted Ginn for 10 yards (tackle by George Odum)",-2.240,-1.660
1,4:54,1,10,CHI 41,7,0,"Nick Foles pass incomplete deep right intended for Demetrius Harris. Penalty on Khari Willis: Defensive Holding, 5 yards (no play)",1.660,1.990
1,4:49,1,10,CHI 46,7,0,Nick Foles pass complete short middle to Demetrius Harris for 6 yards (tackle by Anthony Walker),1.990,2.260
1,4:11,2,4,IND 48,7,0,David Montgomery left tackle for 3 yards (tackle by DeForest Buckner),2.260,1.950
