Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Zach Ertz,PHI,5,4,9,0,,-3,-0.8,12,3.0,1.0,0,,0,0.0,0,79.2
Greg Ward,PHI,7,4,38,0,2,24,6.0,14,3.5,6.3,0,,0,0.0,1,32.7
Richard Rodgers,PHI,4,3,35,0,2,8,2.7,27,9.0,9.3,0,,0,0.0,0,101.0
Travis Fulgham,PHI,3,2,57,1,2,45,22.5,12,6.0,18.7,0,,0,0.0,0,149.3
John Hightower,PHI,2,2,22,0,2,16,8.0,6,3.0,8.0,0,,0,0.0,0,112.5
Miles Sanders,PHI,4,2,30,0,1,-4,-2.0,34,17.0,-0.5,0,,1,25.0,0,75.0
Adrian Killins,PHI,1,1,2,0,,-4,-4.0,6,6.0,-4.0,0,,0,0.0,0,79.2
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
George Kittle,SFO,15,15,183,1,11,109,7.3,74,4.9,7.3,1,15.0,0,0.0,0,139.7
Jerick McKinnon,SFO,8,7,43,0,1,6,0.9,37,5.3,1.1,0,,0,0.0,0,89.1
Kendrick Bourne,SFO,6,3,33,0,2,23,7.7,10,3.3,7.5,0,,1,16.7,1,27.1
Deebo Samuel,SFO,3,3,35,0,2,15,5.0,20,6.7,5.0,0,,0,0.0,0,115.3
Brandon Aiyuk,SFO,5,2,18,0,2,17,8.5,1,0.5,5.0,0,,1,20.0,0,50.4
Kyle Juszczyk,SFO,2,1,13,0,1,1,1.0,12,12.0,7.0,0,,0,0.0,0,70.8
Jeff Wilson,SFO,1,1,13,0,1,-1,-1.0,14,14.0,-1.0,0,,0,0.0,0,118.7
Trent Taylor,SFO,1,0,0,0,,0,,0,,8.0,0,,0,0.0,1,0.0
