Quarter,Time,Down,ToGo,Location,ARI,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Cardinals to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ARI 25,0,0,Kyler Murray pass incomplete short middle intended for DeAndre Hopkins (defended by Trevon Diggs),0.610,0.060
1,14:56,2,10,ARI 25,0,0,Kenyan Drake up the middle for 4 yards (tackle by Jaylon Smith and DeMarcus Lawrence),0.060,-0.100
1,14:19,3,6,ARI 29,0,0,Kyler Murray pass incomplete deep middle intended for Andy Isabella,-0.100,-1.440
1,14:13,4,6,ARI 29,0,0,"Penalty on Dan Arnold: False Start, 5 yards (no play)",-1.440,-1.770
1,14:13,4,11,ARI 24,0,0,"Andy Lee punts 49 yards, returned by CeeDee Lamb for 1 yard (tackle by Trent Sherfield)",-1.770,-0.810
1,14:04,1,10,DAL 28,0,0,Ezekiel Elliott left tackle for no gain (tackle by Angelo Blackson),0.810,0.260
1,13:27,2,10,DAL 28,0,0,Andy Dalton pass complete short left to Ezekiel Elliott for no gain (tackle by Dre Kirkpatrick),0.260,-0.430
1,12:58,3,10,DAL 28,0,0,Andy Dalton pass complete short left to Ezekiel Elliott for 4 yards (tackle by Devon Kennard),-0.430,-1.240
1,12:24,4,6,DAL 32,0,0,"Chris Jones punts 44 yards, fair catch by Christian Kirk at ARI-24",-1.240,-0.540
1,12:15,1,10,ARI 24,0,0,Kyler Murray left end for 6 yards (tackle by Leighton Vander Esch),0.540,0.810
1,11:35,2,4,ARI 30,0,0,Kenyan Drake right guard for 3 yards (tackle by Leighton Vander Esch and DeMarcus Lawrence),0.810,0.500
1,11:00,3,1,ARI 33,0,0,Kyler Murray pass complete short right to Darrell Daniels for 1 yard (tackle by Xavier Woods),0.500,1.200
1,10:24,1,10,ARI 34,0,0,Kyler Murray pass incomplete short left,1.200,0.660
1,10:18,2,10,ARI 34,0,0,Kyler Murray pass complete short right to Larry Fitzgerald for 5 yards (tackle by Jaylon Smith),0.660,0.630
1,9:37,3,5,ARI 39,0,0,Kyler Murray pass complete short left to Larry Fitzgerald for 6 yards (tackle by Darian Thompson),0.630,1.930
1,9:09,1,10,ARI 45,0,0,Kyler Murray left end for 15 yards (tackle by Donovan Wilson),1.930,2.920
1,8:43,1,10,DAL 40,0,0,Kyler Murray pass incomplete short left intended for DeAndre Hopkins (defended by Aldon Smith),2.920,2.370
1,8:39,2,10,DAL 40,0,0,Kyler Murray pass incomplete short right,2.370,1.680
1,8:32,3,10,DAL 40,0,0,Kyler Murray pass incomplete deep right intended for Andy Isabella,1.680,0.590
1,8:27,4,10,DAL 40,0,0,Andy Lee punts 30 yards downed by Chris Banjo,0.590,0.380
1,8:17,1,10,DAL 10,0,0,Andy Dalton pass incomplete short left intended for CeeDee Lamb,-0.380,-0.780
1,8:09,2,10,DAL 10,0,0,"Penalty on DAL: Offensive Too Many Men on Field, 5 yards (no play)",-0.780,-1.150
1,8:09,2,15,DAL 5,0,0,Ezekiel Elliott left guard for 4 yards (tackle by Deionte Thompson),-1.150,-1.540
1,7:28,3,11,DAL 9,0,0,Andy Dalton pass incomplete short right intended for Ezekiel Elliott,-1.540,-2.490
1,7:22,4,11,DAL 9,0,0,"Chris Jones punts 41 yards, returned by Christian Kirk for -1 yards (tackle by C.J. Goodwin)",-2.490,-2.190
1,7:12,1,10,ARI 49,0,0,Kenyan Drake left tackle for 3 yards (tackle by Donovan Wilson),2.190,2.050
1,6:39,2,7,DAL 48,0,0,Kyler Murray pass incomplete short left intended for DeAndre Hopkins,2.050,1.360
1,6:35,3,7,DAL 48,0,0,"Penalty on Justin Pugh: False Start, 5 yards (no play)",1.360,0.700
1,6:35,3,12,ARI 47,0,0,"Kyler Murray pass complete short middle to DeAndre Hopkins for 13 yards (tackle by Xavier Woods). Penalty on Larry Fitzgerald: Offensive Pass Interference, 10 yards (no play)",0.700,-0.620
1,6:06,3,22,ARI 37,0,0,Chase Edmonds left end for no gain (tackle by Jaylon Smith),-0.620,-0.910
1,5:26,4,22,ARI 37,0,0,"Andy Lee punts 39 yards, muffed catch by CeeDee Lamb, recovered by CeeDee Lamb at DAL-26, returned by CeeDee Lamb for no gain",-0.910,-0.670
1,5:17,1,10,DAL 26,0,0,Ezekiel Elliott up the middle for 4 yards (tackle by Jordan Hicks and Trevon Coley),0.670,0.670
1,4:59,2,6,DAL 30,0,0,"Andy Dalton pass incomplete short left intended for CeeDee Lamb. Penalty on Tyler Biadasz: Offensive Holding, 10 yards (no play)",0.670,-0.680
1,4:55,2,16,DAL 20,0,0,Andy Dalton pass complete short right to Dalton Schultz for 13 yards (tackle by De'Vondre Campbell),-0.680,0.370
1,4:25,3,3,DAL 33,0,0,Andy Dalton pass complete short left to Michael Gallup for 6 yards (tackle by Dre Kirkpatrick),0.370,1.530
1,4:02,1,10,DAL 39,0,0,Ezekiel Elliott right tackle for 11 yards (tackle by Jordan Hicks),1.530,2.260
1,3:27,1,10,DAL 50,0,0,Ezekiel Elliott right guard for 1 yard (tackle by Devon Kennard),2.260,1.850
1,2:44,2,9,ARI 49,0,0,"Andy Dalton pass complete short middle to Ezekiel Elliott for no gain (tackle by Budda Baker). Ezekiel Elliott fumbles (forced by Budda Baker), recovered by Jordan Phillips at ARI-46",1.850,-1.990
1,2:36,1,10,ARI 46,0,0,Kyler Murray pass incomplete deep right intended for DeAndre Hopkins,1.990,1.450
1,2:31,2,10,ARI 46,0,0,Kyler Murray pass incomplete short right intended for Kenyan Drake,1.450,0.760
1,2:27,3,10,ARI 46,0,0,Kyler Murray left end for 10 yards (tackle by Jaylon Smith),0.760,2.650
