Quarter,Time,Tm,Detail,JAX,LAC
1.0,10:15,Chargers,Michael Badgley 35 yard field goal,0,3
,0:05,Chargers,Joe Reed 7 yard rush (Michael Badgley kick failed),0,9
2.0,10:34,Chargers,Donald Parham 22 yard pass from Justin Herbert (Michael Badgley kick),0,16
,7:46,Jaguars,James Robinson 4 yard rush (James Robinson run),8,16
,0:11,Jaguars,James Robinson 9 yard pass from Gardner Minshew II (pass failed),14,16
3.0,13:21,Jaguars,Daniel Thomas 16 yard blocked punt return (Josh Lambo kick),21,16
,5:25,Chargers,Virgil Green 26 yard pass from Justin Herbert (run failed),21,22
,2:54,Jaguars,Chris Conley 28 yard pass from Gardner Minshew II (Ben Ellefson pass from Gardner Minshew II),29,22
,1:56,Chargers,Jalen Guyton 70 yard pass from Justin Herbert (Michael Badgley kick),29,29
,0:05,Chargers,Justin Herbert 5 yard rush (Michael Badgley kick),29,36
4.0,6:26,Chargers,Michael Badgley 35 yard field goal,29,39
