Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss, Jets to receive the opening kickoff.",,
1,15:00,,,BUF 35,0,0,"Tyler Bass kicks off 63 yards, returned by Ty Johnson for 20 yards (tackle by Darryl Johnson and Tyler Matakevich)",0.000,0.410
1,14:56,1,10,NYJ 22,0,0,Frank Gore right tackle for 8 yards (tackle by Jerry Hughes and A.J. Klein),0.410,0.950
1,14:22,2,2,NYJ 30,0,0,Frank Gore up the middle for 11 yards (tackle by Micah Hyde and Tre'Davious White),0.950,1.660
1,13:45,1,10,NYJ 41,0,0,Sam Darnold pass complete short left to Breshad Perriman for 19 yards (tackle by Tre'Davious White),1.660,2.920
1,13:02,1,10,BUF 40,0,0,Sam Darnold pass complete short middle to La'Mical Perine for 7 yards (tackle by Taron Johnson),2.920,3.320
1,12:26,2,3,BUF 33,0,0,La'Mical Perine left end for 4 yards (tackle by Dane Jackson),3.320,3.640
1,11:48,1,10,BUF 29,0,0,Sam Darnold pass complete short left to Denzel Mims for 5 yards (tackle by Dean Marlowe),3.640,3.780
1,11:09,2,5,BUF 24,0,0,Frank Gore right tackle for 7 yards (tackle by Tremaine Edmunds),3.780,4.440
1,10:25,1,10,BUF 17,0,0,Sam Darnold sacked by Trent Murphy for -7 yards,4.440,2.950
1,9:45,2,17,BUF 24,0,0,Sam Darnold pass complete short right to Breshad Perriman for 8 yards (tackle by A.J. Klein),2.950,3.190
1,9:04,3,9,BUF 16,0,0,"Sam Darnold pass incomplete short left. Penalty on Mario Addison: Defensive Offside, 5 yards (no play)",3.190,4.100
1,8:57,3,4,BUF 11,0,0,Sam Darnold pass incomplete short left intended for Denzel Mims (defended by Dane Jackson),4.100,2.770
1,8:50,4,4,BUF 11,0,3,Sergio Castillo 29 yard field goal good,2.770,3.000
1,8:46,,,NYJ 35,0,3,"Braden Mann kicks off 65 yards, touchback.",0.000,0.610
1,8:46,1,10,BUF 25,0,3,Josh Allen pass complete short right to Devin Singletary for 6 yards (tackle by Neville Hewitt),0.610,0.870
1,8:19,2,4,BUF 31,0,3,Josh Allen pass complete short right to Tyler Kroft for 12 yards (tackle by Avery Williamson),0.870,1.800
1,7:49,1,10,BUF 43,0,3,Josh Allen pass complete short left to Cole Beasley for 23 yards (tackle by Neville Hewitt),1.800,3.310
1,7:12,1,10,NYJ 34,0,3,Josh Allen pass incomplete short left intended for Devin Singletary (defended by Blessuan Austin),3.310,2.770
1,7:08,2,10,NYJ 34,0,3,Josh Allen right end for 7 yards (tackle by Brian Poole),2.770,3.010
1,6:25,3,3,NYJ 27,0,3,Josh Allen pass incomplete deep right intended for Gabriel Davis (defended by Blessuan Austin),3.010,1.770
1,6:15,4,3,NYJ 27,0,3,Tyler Bass 45 yard field goal no good,1.770,-1.270
1,6:11,1,10,NYJ 35,0,3,"Penalty on Ed Oliver: Neutral Zone Infraction, 5 yards (no play)",1.270,2.000
1,6:11,1,5,NYJ 40,0,3,"Penalty on Josh Andrews: False Start, 5 yards (no play)",2.000,1.270
1,6:11,1,10,NYJ 35,0,3,Frank Gore right guard for 2 yards (tackle by Ed Oliver),1.270,0.990
1,5:35,2,8,NYJ 37,0,3,Sam Darnold pass complete short right to La'Mical Perine for 9 yards (tackle by A.J. Klein),0.990,1.990
1,4:54,1,10,NYJ 46,0,3,Frank Gore left guard for 7 yards (tackle by Mario Addison),1.990,2.400
1,4:21,2,3,BUF 47,0,3,Frank Gore up the middle for no gain (tackle by A.J. Klein),2.400,1.690
1,3:48,,,,,,Timeout #1 by Buffalo Bills,,
1,3:48,3,3,BUF 47,0,3,La'Mical Perine left end for 8 yards (tackle by Matt Milano and Jordan Poyer),1.690,2.980
1,3:02,1,10,BUF 39,0,3,Sam Darnold sacked by Jordan Poyer for -5 yards,2.980,1.770
1,2:20,2,15,BUF 44,0,3,"Penalty on Mekhi Becton: False Start, 5 yards (no play)",1.770,1.090
1,2:02,2,20,BUF 49,0,3,Sam Darnold pass complete short right to Braxton Berrios for no gain (tackle by Trent Murphy),1.090,0.430
1,1:19,3,20,BUF 49,0,3,Sam Darnold pass complete deep left to Braxton Berrios for 22 yards,0.430,3.780
1,1:03,1,10,BUF 27,0,3,Frank Gore left guard for 2 yards (tackle by Jordan Poyer and A.J. Epenesa),3.780,3.500
1,0:21,2,8,BUF 25,0,3,La'Mical Perine left end for -3 yards (tackle by A.J. Epenesa and Ed Oliver),3.500,2.410
Quarter,Time,Down,ToGo,Location,BUF,NYJ,Detail,EPB,EPA
