Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
DeMarcus Lawrence,DAL,0,0,0,0,0,1.0,7,4,3,2,1,0,0,0,0
Everson Griffen,DAL,0,0,0,0,0,1.0,5,3,2,1,2,0,0,0,0
Jaylon Smith,DAL,0,0,0,0,0,0.0,12,6,6,0,0,0,0,0,0
Leighton Vander Esch,DAL,0,0,0,0,0,0.0,12,9,3,0,0,0,0,0,0
Jourdan Lewis,DAL,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Neville Gallimore,DAL,0,0,0,0,0,0.0,4,1,3,1,0,0,0,0,0
Dorance Armstrong Jr.,DAL,0,0,0,0,0,0.0,3,3,0,0,1,0,0,0,0
Anthony Brown,DAL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Steven Parker,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Aldon Smith,DAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Donovan Wilson,DAL,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Trevon Diggs,DAL,0,0,0,0,2,0.0,2,2,0,0,0,0,0,0,0
Xavier Woods,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Noah Brown,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
C.J. Goodwin,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Justin March,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Dalton Schultz,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Terence Steele,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Cole Holcomb,WAS,1,0,0,0,1,1.0,5,4,1,1,2,0,0,0,0
Montez Sweat,WAS,0,0,0,0,0,2.0,3,2,1,1,3,0,0,0,1
Landon Collins,WAS,0,0,0,0,0,1.0,4,2,2,0,1,0,0,0,1
Ryan Kerrigan,WAS,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Tim Settle,WAS,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Jonathan Bostic,WAS,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Chase Young,WAS,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Ronald Darby,WAS,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Kamren Curl,WAS,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Deshazor Everett,WAS,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Kevin Pierre-Louis,WAS,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Jonathan Allen,WAS,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Kendall Fuller,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jimmy Moreland,WAS,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Ryan Anderson,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Troy Apke,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Devaroe Lawrence,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Daron Payne,WAS,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
