Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Avery Williamson,NYJ,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0
Neville Hewitt,NYJ,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Pierre Desir,NYJ,0,0,0,0,1,0.0,7,6,1,1,0,0,0,0,1
Blessuan Austin,NYJ,0,0,0,0,0,0.0,6,6,0,1,0,0,0,0,0
Henry Anderson,NYJ,0,0,0,0,0,0.0,5,2,3,0,1,0,0,0,0
Folorunso Fatukasi,NYJ,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Ashtyn Davis,NYJ,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Brian Poole,NYJ,0,0,0,0,1,0.0,4,1,3,0,1,0,0,0,0
Tarell Basham,NYJ,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
John Franklin-Myers,NYJ,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
Marcus Maye,NYJ,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Quinnen Williams,NYJ,0,0,0,0,0,0.0,3,3,0,2,1,0,0,0,0
Ryan Griffin,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Bryce Huff,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Braden Mann,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Arthur Maulet,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nathan Shepherd,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Vyncint Smith,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Greg Van Roten,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jabari Zuniga,NYJ,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Tershawn Wharton,KAN,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
Daniel Sorensen,KAN,0,0,0,0,0,0.0,9,8,1,0,0,0,0,0,1
Damien Wilson,KAN,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Tyrann Mathieu,KAN,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0
Bashaud Breeland,KAN,0,0,0,0,1,0.0,4,2,2,0,0,1,0,0,0
Frank Clark,KAN,0,0,0,0,0,0.0,4,2,2,1,1,0,0,0,0
Tanoh Kpassagnon,KAN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Ben Niemann,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Mike Pennel,KAN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Juan Thornhill,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Charvarius Ward,KAN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Taco Charlton,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Michael Danna,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Rashad Fenton,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Willie Gay Jr.,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Jones,KAN,0,0,0,0,0,0.0,1,1,0,0,3,0,0,0,0
Derrick Nnadi,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tedric Thompson,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Armani Watts,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Darrel Williams,KAN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
