Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Tee Higgins,CIN,9,7,96,0,4,54,7.7,42,6.0,8.0,0,,0,0.0,0,111.1
C.J. Uzomah,CIN,8,7,71,0,3,26,3.7,45,6.4,3.8,2,3.5,0,0.0,0,103.6
Joe Mixon,CIN,7,6,51,0,2,7,1.2,44,7.3,1.0,2,3.0,0,0.0,0,97.0
Ja'Marr Chase,CIN,6,5,109,0,3,15,3.0,94,18.8,3.7,1,5.0,0,0.0,0,118.7
Tyler Boyd,CIN,3,2,17,0,1,13,6.5,4,2.0,4.3,0,,0,0.0,0,81.2
Samaje Perine,CIN,2,1,4,0,,-1,-1.0,5,5.0,0.5,0,,1,50.0,1,16.7
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Julio Jones,TEN,7,6,62,0,4,38,6.3,24,4.0,7.9,0,,0,0.0,1,64.0
A.J. Brown,TEN,9,5,142,1,4,127,25.4,15,3.0,21.3,0,,1,11.1,0,137.5
Dontrell Hilliard,TEN,3,3,13,0,1,9,3.0,4,1.3,3.0,0,,0,0.0,0,84.7
Chester Rogers,TEN,2,1,3,0,,-1,-1.0,4,4.0,-6.0,0,,0,0.0,1,16.7
Khari Blasingame,TEN,1,0,0,0,,0,,0,,1.0,0,,1,100.0,0,39.6
Anthony Firkser,TEN,1,0,0,0,,0,,0,,3.0,0,,0,0.0,0,39.6
Nick Westbrook-Ikhine,TEN,1,0,0,0,,0,,0,,13.0,0,,0,0.0,1,0.0
