Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Aaron Donald,LAR,0,0,0,0,0,2.0,4,3,1,2,3,0,0,0,0
Von Miller,LAR,0,0,0,0,1,2.0,2,2,0,2,3,0,0,0,0
Ernest Jones,LAR,0,0,0,0,1,1.0,7,6,1,2,3,0,0,0,0
A'Shawn Robinson,LAR,0,0,0,0,0,1.0,6,5,1,1,1,0,0,0,0
Leonard Floyd,LAR,0,0,0,0,0,1.0,5,4,1,1,1,0,0,0,0
Darious Williams,LAR,0,0,0,0,1,0.0,8,3,5,0,0,0,0,0,0
Taylor Rapp,LAR,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Eric Weddle,LAR,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
David Long,LAR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Jalen Ramsey,LAR,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Greg Gaines,LAR,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Troy Reeder,LAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Nick Scott,LAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Michael Hoecht,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Justin Hollins,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Buddy Howell,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ogbonnia Okoronkwo,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ben Skowronek,LAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jessie Bates III,CIN,1,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
Chidobe Awuzie,CIN,1,1,0,1,1,0.0,5,5,0,0,0,0,0,0,0
Trey Hendrickson,CIN,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
D.J. Reader,CIN,0,0,0,0,0,1.0,1,1,0,1,3,0,0,0,0
Logan Wilson,CIN,0,0,0,0,1,0.0,9,8,1,3,0,0,0,0,0
Sam Hubbard,CIN,0,0,0,0,0,0.0,8,5,3,2,1,0,0,0,0
Germaine Pratt,CIN,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Vonn Bell,CIN,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
Eli Apple,CIN,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Mike Hilton,CIN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
B.J. Hill,CIN,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
Tre Flowers,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Khalid Kareem,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Mike Thomas,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Markus Bailey,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Clay Johnston,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Michael Thomas,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
