Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Rasheem Green,SEA,0,0,0,0,2,1.0,4,3,1,1,2,0,0,0,0
Benson Mayowa,SEA,0,0,0,0,0,1.0,2,2,0,2,2,0,0,0,0
Darrell Taylor,SEA,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Bobby Wagner,SEA,0,0,0,0,1,0.0,13,6,7,1,0,0,0,0,0
Jordyn Brooks,SEA,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0
Quandre Diggs,SEA,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
Jamal Adams,SEA,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Bryan Mone,SEA,0,0,0,0,0,0.0,5,3,2,0,1,0,0,0,0
D.J. Reed,SEA,0,0,0,0,0,0.0,5,4,1,0,0,1,0,0,0
Tre Flowers,SEA,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Ugo Amadi,SEA,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Kerry Hyder,SEA,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Cody Barton,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Marquise Blair,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Alton Robinson,SEA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Nick Bellore,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Poona Ford,SEA,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Penny Hart,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Travis Homer,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jon Rhattigan,SEA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Al Woods,SEA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Carlos Dunlap,SEA,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
DeForest Buckner,IND,0,0,0,0,0,1.0,6,5,1,1,2,0,0,0,0
Kenny Moore,IND,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0
Khari Willis,IND,0,0,0,0,0,0.5,7,6,1,0,1,0,0,0,0
Al-Quadin Muhammad,IND,0,0,0,0,0,0.5,3,2,1,0,1,0,0,0,0
Bobby Okereke,IND,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Julian Blackmon,IND,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Shaquille Leonard,IND,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,1
T.J. Carrie,IND,0,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Grover Stewart,IND,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0
Rock Ya-Sin,IND,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Kwity Paye,IND,0,0,0,0,0,0.0,3,2,1,1,0,1,0,0,0
Ashton Dulin,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Matthew Adams,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Zaire Franklin,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyquan Lewis,IND,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Isaiah Rodgers,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
