Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Greg Van Roten,G,77,100%,0,0%,3,11%
Morgan Moses,T,77,100%,0,0%,3,11%
Alijah Vera-Tucker,G,77,100%,0,0%,0,0%
Connor McGovern,C,77,100%,0,0%,0,0%
George Fant,T,77,100%,0,0%,0,0%
Mike White,QB,71,92%,0,0%,0,0%
Corey Davis,WR,65,84%,0,0%,0,0%
Jamison Crowder,WR,64,83%,0,0%,0,0%
Ryan Griffin,TE,55,71%,0,0%,14,52%
Elijah Moore,WR,43,56%,0,0%,0,0%
Michael Carter,RB,40,52%,0,0%,0,0%
Keelan Cole,WR,32,42%,0,0%,0,0%
Ty Johnson,RB,25,32%,0,0%,0,0%
Braxton Berrios,WR,22,29%,0,0%,10,37%
Tevin Coleman,RB,17,22%,0,0%,8,30%
Jeff Smith,WR,10,13%,0,0%,7,26%
Trevon Wesco,TE,8,10%,0,0%,14,52%
Joe Flacco,QB,6,8%,0,0%,0,0%
Nick Bawden,RB,2,3%,0,0%,17,63%
Dan Feeney,G,2,3%,0,0%,3,11%
C.J. Mosley,LB,0,0%,58,100%,7,26%
Bryce Hall,CB,0,0%,55,95%,7,26%
Ashtyn Davis,SS,0,0%,55,95%,0,0%
Jarrod Wilson,SS,0,0%,42,72%,11,41%
Jarrad Davis,LB,0,0%,42,72%,0,0%
Shaq Lawson,DE,0,0%,36,62%,7,26%
Michael Carter,CB,0,0%,34,59%,5,19%
Folorunso Fatukasi,DT,0,0%,34,59%,3,11%
John Franklin-Myers,DE,0,0%,34,59%,0,0%
Quinnen Williams,NT,0,0%,32,55%,7,26%
Sheldon Rankins,DT,0,0%,32,55%,7,26%
Ronald Blair,DE,0,0%,30,52%,7,26%
Javelin Guidry,CB,0,0%,29,50%,3,11%
Brandin Echols,CB,0,0%,29,50%,2,7%
Del'Shawn Phillips,LB,0,0%,24,41%,24,89%
Nathan Shepherd,DT,0,0%,22,38%,10,37%
Sharrod Neasman,CB,0,0%,17,29%,17,63%
Quincy Williams,LB,0,0%,16,28%,14,52%
Hamilcar Rashed Jr.,DE,0,0%,16,28%,2,7%
Isaiah Dunn,CB,0,0%,1,2%,11,41%
Justin Hardee,CB,0,0%,0,0%,24,89%
Hamsah Nasirildeen,LB,0,0%,0,0%,17,63%
Kenny Yeboah,TE,0,0%,0,0%,11,41%
Matt Ammendola,K,0,0%,0,0%,7,26%
Braden Mann,P,0,0%,0,0%,6,22%
Thomas Hennessy,LS,0,0%,0,0%,6,22%
Laurent Duvernay-Tardif,G,0,0%,0,0%,3,11%
