Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Isaiah Wynn,T,64,100%,0,0%,6,25%
Shaq Mason,G,64,100%,0,0%,6,25%
Ted Karras,C,64,100%,0,0%,6,25%
David Andrews,C,64,100%,0,0%,0,0%
Mac Jones,QB,64,100%,0,0%,0,0%
Trent Brown,T,62,97%,0,0%,6,25%
Jakobi Meyers,WR,56,88%,0,0%,0,0%
Nelson Agholor,WR,49,77%,0,0%,0,0%
Jonnu Smith,TE,33,52%,0,0%,0,0%
Hunter Henry,TE,32,50%,0,0%,1,4%
Kendrick Bourne,WR,29,45%,0,0%,0,0%
Jakob Johnson,FB,26,41%,0,0%,11,46%
N'Keal Harry,WR,26,41%,0,0%,0,0%
Damien Harris,RB,25,39%,0,0%,0,0%
Rhamondre Stevenson,RB,22,34%,0,0%,0,0%
Brandon Bolden,RB,17,27%,0,0%,16,67%
Michael Onwenu,G,5,8%,0,0%,6,25%
Matthew Slater,WR,2,3%,0,0%,18,75%
Devin McCourty,FS,0,0%,53,98%,0,0%
Adrian Phillips,SS,0,0%,47,87%,6,25%
Matt Judon,LB,0,0%,45,83%,7,29%
Dont'a Hightower,LB,0,0%,42,78%,2,8%
J.C. Jackson,CB,0,0%,42,78%,2,8%
Kyle Van Noy,LB,0,0%,42,78%,0,0%
Ja'Whaun Bentley,LB,0,0%,42,78%,0,0%
Jalen Mills,CB,0,0%,42,78%,0,0%
Kyle Dugger,FS,0,0%,41,76%,8,33%
Christian Barmore,DT,0,0%,34,63%,2,8%
Deatrich Wise Jr.,DE,0,0%,31,57%,6,25%
Davon Godchaux,NT,0,0%,31,57%,2,8%
Myles Bryant,CB,0,0%,27,50%,2,8%
Lawrence Guy,DT,0,0%,24,44%,8,33%
Joejuan Williams,CB,0,0%,20,37%,0,0%
Carl Davis,NT,0,0%,17,31%,0,0%
Chase Winovich,DE,0,0%,5,9%,10,42%
Jahlani Tavai,LB,0,0%,4,7%,16,67%
Shaun Wade,CB,0,0%,4,7%,3,13%
Justin Bethel,FS,0,0%,1,2%,18,75%
Brandon King,LB,0,0%,0,0%,18,75%
Cody Davis,FS,0,0%,0,0%,18,75%
Calvin Munson,LB,0,0%,0,0%,16,67%
Jake Bailey,P,0,0%,0,0%,15,63%
Gunner Olszewski,WR,0,0%,0,0%,12,50%
Joe Cardona,LS,0,0%,0,0%,10,42%
Nick Folk,K,0,0%,0,0%,7,29%
