Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Dan Moore,T,62,100%,0,0%,2,7%
Chukwuma Okorafor,T,62,100%,0,0%,2,7%
B.J. Finney,C,62,100%,0,0%,2,7%
Kendrick Green,C,62,100%,0,0%,0,0%
Trai Turner,G,62,100%,0,0%,0,0%
Ben Roethlisberger,QB,62,100%,0,0%,0,0%
Chase Claypool,WR,61,98%,0,0%,0,0%
Diontae Johnson,WR,61,98%,0,0%,0,0%
Pat Freiermuth,TE,47,76%,0,0%,2,7%
Najee Harris,RB,36,58%,0,0%,0,0%
James Washington,WR,27,44%,0,0%,0,0%
Anthony Miller,WR,25,40%,0,0%,0,0%
Zach Gentry,TE,22,35%,0,0%,10,36%
Anthony McFarland Jr.,RB,12,19%,0,0%,8,29%
Kalen Ballage,RB,8,13%,0,0%,9,32%
Benny Snell Jr.,RB,7,11%,0,0%,19,68%
Derek Watt,FB,2,3%,0,0%,19,68%
Zach Banner,T,2,3%,0,0%,2,7%
Cameron Sutton,CB,0,0%,68,100%,10,36%
Terrell Edmunds,SS,0,0%,68,100%,7,25%
Joe Schobert,LB,0,0%,66,97%,7,25%
Minkah Fitzpatrick,SS,0,0%,65,96%,7,25%
James Pierre,CB,0,0%,58,85%,10,36%
Devin Bush Jr.,LB,0,0%,57,84%,6,21%
T.J. Watt,LB,0,0%,55,81%,2,7%
Cameron Heyward,DT,0,0%,54,79%,4,14%
Arthur Maulet,CB,0,0%,49,72%,11,39%
Alex Highsmith,LB,0,0%,48,71%,5,18%
Chris Wormley,DE,0,0%,45,66%,5,18%
Isaiahh Loudermilk,DE,0,0%,27,40%,6,21%
Henry Mondeaux,DE,0,0%,19,28%,13,46%
Taco Charlton,DE,0,0%,18,26%,1,4%
Derrek Tuszka,LB,0,0%,15,22%,18,64%
Ahkello Witherspoon,CB,0,0%,15,22%,0,0%
Tre Norwood,FS,0,0%,8,12%,13,46%
Robert Spillane,LB,0,0%,8,12%,10,36%
Daniel Archibong,DT,0,0%,5,7%,3,11%
Miles Killebrew,FS,0,0%,0,0%,19,68%
Ulysees Gilbert,LB,0,0%,0,0%,19,68%
Marcus Allen,LB,0,0%,0,0%,16,57%
Justin Layne,CB,0,0%,0,0%,11,39%
Cody White,WR,0,0%,0,0%,11,39%
Christian Kuntz,LS,0,0%,0,0%,7,25%
Pressley Harvin III,P,0,0%,0,0%,7,25%
Chris Boswell,K,0,0%,0,0%,5,18%
