Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Alex Singleton,PHI,0,9,5,55.6%,61,12.2,6.8,1,113.7,4.3,23,38,0,0,0,0.0,0,8,0,0.0%
Avonte Maddox,PHI,0,4,4,100.0%,44,11.0,11.0,0,112.5,6.0,24,20,0,0,0,0.0,0,4,1,20.0%
T.J. Edwards,PHI,0,6,4,66.7%,39,9.8,6.5,0,84.7,8.5,19,20,1,0,0,0.0,0,11,1,8.3%
Darius Slay,PHI,0,6,3,50.0%,38,12.7,6.3,0,70.1,24.3,31,7,0,0,0,0.0,0,5,0,0.0%
Steven Nelson,PHI,0,2,2,100.0%,13,6.5,6.5,1,133.3,3.0,6,7,0,0,0,0.0,0,0,0,
Hassan Ridgeway,PHI,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-6.0,-6,4,0,0,0,0.0,0,1,1,50.0%
Rodney McLeod,PHI,0,3,1,33.3%,7,7.0,2.3,0,42.4,12.7,4,3,0,0,0,0.0,0,3,0,0.0%
Zech McPhearson,PHI,0,1,1,100.0%,5,5.0,5.0,0,87.5,5.0,5,0,0,0,0,0.0,0,1,1,50.0%
Marcus Epps,PHI,1,1,1,100.0%,29,29.0,29.0,0,79.2,20.0,20,9,0,0,0,0.0,0,5,0,0.0%
Genard Avery,PHI,0,2,1,50.0%,7,7.0,3.5,0,58.3,2.0,-1,8,1,0,0,0.0,0,3,0,0.0%
Javon Hargrave,PHI,0,0,0,,,,,,,,,,0,2,2,0.5,5,2,0,0.0%
Josh Sweat,PHI,0,0,0,,,,,,,,,,0,1,0,1.5,3,3,0,0.0%
Ryan Kerrigan,PHI,0,0,0,,,,,,,,,,0,2,0,0.0,2,1,0,0.0%
Tarron Jackson,PHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Anthony Harris,PHI,0,2,0,0.0%,,,0.0,,39.6,2.5,,,1,0,0,0.0,0,3,0,0.0%
Milton Williams,PHI,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Quincy Williams,NYJ,0,4,4,100.0%,43,10.8,10.8,0,111.5,-0.8,-3,46,3,0,0,0.0,0,13,1,7.1%
Javelin Guidry,NYJ,0,4,4,100.0%,42,10.5,10.5,1,150.0,4.0,16,26,0,0,0,0.0,0,5,2,28.6%
C.J. Mosley,NYJ,0,3,3,100.0%,53,17.7,17.7,1,158.3,8.0,24,29,1,0,0,0.0,0,13,0,0.0%
Bryce Hall,NYJ,0,4,3,75.0%,25,8.3,6.3,0,90.6,10.3,13,12,1,0,0,0.0,0,6,0,0.0%
Elijah Riley,NYJ,0,2,2,100.0%,37,18.5,18.5,0,118.7,12.0,24,13,1,0,0,1.0,1,7,1,12.5%
Jason Pinnock,NYJ,0,1,1,100.0%,22,22.0,22.0,0,118.7,15.0,15,7,0,0,0,0.0,0,0,0,
Jarrad Davis,NYJ,0,1,1,100.0%,12,12.0,12.0,0,116.7,2.0,2,10,0,0,0,0.0,0,3,0,0.0%
Michael Carter,NYJ,0,1,1,100.0%,10,10.0,10.0,0,108.3,4.0,4,6,0,0,0,0.0,0,2,1,33.3%
Ronald Blair,NYJ,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-2.0,-2,0,0,0,0,0.0,0,2,1,33.3%
Shaq Lawson,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
Kyle Phillips,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,1,0,0.0%
Nathan Shepherd,NYJ,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
Folorunso Fatukasi,NYJ,0,0,0,,,,,,,,,,0,1,0,0.0,1,5,1,16.7%
Sharrod Neasman,NYJ,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
Ashtyn Davis,NYJ,0,1,0,0.0%,,,0.0,,39.6,13.0,,,1,0,0,0.0,0,3,1,25.0%
