Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Austin Hooper,TE,65,100%,0,0%,6,19%
Jedrick Wills Jr.,T,65,100%,0,0%,5,16%
J.C. Tretter,C,65,100%,0,0%,5,16%
Wyatt Teller,G,65,100%,0,0%,5,16%
Joel Bitonio,G,65,100%,0,0%,5,16%
James Hudson,T,65,100%,0,0%,0,0%
Baker Mayfield,QB,63,97%,0,0%,0,0%
Donovan Peoples-Jones,WR,60,92%,0,0%,1,3%
Jarvis Landry,WR,54,83%,0,0%,0,0%
Nick Chubb,RB,43,66%,0,0%,0,0%
Rashard Higgins,WR,24,37%,0,0%,0,0%
Blake Hance,G,18,28%,0,0%,5,16%
Andy Janovich,FB,16,25%,0,0%,7,23%
D'Ernest Johnson,RB,14,22%,0,0%,19,61%
Kareem Hunt,RB,13,20%,0,0%,0,0%
Miller Forristall,TE,10,15%,0,0%,7,23%
Demetric Felton,RB,6,9%,0,0%,3,10%
Case Keenum,QB,2,3%,0,0%,0,0%
Jojo Natson,WR,1,2%,0,0%,8,26%
Michael Dunn,G,1,2%,0,0%,5,16%
John Johnson,FS,0,0%,74,100%,13,42%
Greedy Williams,CB,0,0%,74,100%,5,16%
Grant Delpit,SS,0,0%,74,100%,4,13%
Denzel Ward,CB,0,0%,74,100%,4,13%
Jeremiah Owusu-Koramoah,LB,0,0%,72,97%,4,13%
Troy Hill,CB,0,0%,63,85%,3,10%
Jadeveon Clowney,DE,0,0%,58,78%,6,19%
Myles Garrett,DE,0,0%,57,77%,5,16%
Malik Jackson,DT,0,0%,39,53%,4,13%
Malcolm Smith,LB,0,0%,38,51%,7,23%
Malik McDowell,DT,0,0%,38,51%,3,10%
Takkarist McKinley,DE,0,0%,34,46%,0,0%
Jordan Elliott,DT,0,0%,31,42%,3,10%
Sheldon Day,DT,0,0%,29,39%,2,6%
Jacob Phillips,LB,0,0%,28,38%,0,0%
M.J. Stewart,SS,0,0%,14,19%,20,65%
Ifeadi Odenigbo,DE,0,0%,12,16%,14,45%
Sione Takitaki,LB,0,0%,6,8%,26,84%
Elijah Lee,LB,0,0%,0,0%,26,84%
A.J. Green,CB,0,0%,0,0%,21,68%
Mack Wilson,LB,0,0%,0,0%,17,55%
Herb Miller,CB,0,0%,0,0%,15,48%
Tony Fields,LB,0,0%,0,0%,13,42%
Dustin Colquitt,P,0,0%,0,0%,11,35%
Charley Hughlett,LS,0,0%,0,0%,11,35%
Chase McLaughlin,K,0,0%,0,0%,10,32%
Jovante Moffatt,SS,0,0%,0,0%,8,26%
Nick Harris,C,0,0%,0,0%,5,16%
