Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Michael Schofield,G,80,100%,0,0%,4,18%
Trey Pipkins,T,80,100%,0,0%,4,18%
Storm Norton,T,80,100%,0,0%,4,18%
Matt Feiler,G,80,100%,0,0%,4,18%
Corey Linsley,C,80,100%,0,0%,0,0%
Justin Herbert,QB,80,100%,0,0%,0,0%
Mike Williams,WR,65,81%,0,0%,0,0%
Keenan Allen,WR,62,78%,0,0%,0,0%
Justin Jackson,RB,43,54%,0,0%,3,14%
Jared Cook,TE,43,54%,0,0%,0,0%
Tre' McKitty,TE,41,51%,0,0%,3,14%
Stephen Anderson,TE,38,48%,0,0%,15,68%
Josh Palmer,WR,33,41%,0,0%,6,27%
Jalen Guyton,WR,28,35%,0,0%,6,27%
Austin Ekeler,RB,27,34%,0,0%,0,0%
Joshua Kelley,RB,13,16%,0,0%,4,18%
Gabe Nabers,FB,4,5%,0,0%,12,55%
Donald Parham,TE,2,3%,0,0%,0,0%
Andre Roberts,WR,1,1%,0,0%,7,32%
Nasir Adderley,FS,0,0%,72,100%,10,45%
Kyzir White,LB,0,0%,72,100%,2,9%
Michael Davis,CB,0,0%,72,100%,0,0%
Chris Harris Jr.,CB,0,0%,65,90%,0,0%
Tevaughn Campbell,CB,0,0%,64,89%,4,18%
Uchenna Nwosu,LB,0,0%,63,88%,0,0%
Joey Bosa,LB,0,0%,62,86%,0,0%
Justin Jones,DT,0,0%,55,76%,4,18%
Jerry Tillery,DT,0,0%,55,76%,0,0%
Drue Tranquill,LB,0,0%,48,67%,9,41%
Trey Marshall,SS,0,0%,44,61%,11,50%
Linval Joseph,NT,0,0%,31,43%,4,18%
Derwin James,FS,0,0%,28,39%,0,0%
Christian Covington,NT,0,0%,17,24%,4,18%
Joe Gaziano,DE,0,0%,15,21%,5,23%
Kenneth Murray,LB,0,0%,10,14%,0,0%
Chris Rumph,LB,0,0%,9,13%,18,82%
Davontae Harris,CB,0,0%,8,11%,12,55%
Kemon Hall,CB,0,0%,2,3%,18,82%
Nick Niemann,LB,0,0%,0,0%,18,82%
Amen Ogbongbemiga,LB,0,0%,0,0%,13,59%
Dustin Hopkins,K,0,0%,0,0%,10,45%
Ben DeLuca,DB,0,0%,0,0%,6,27%
Matt Overton,LS,0,0%,0,0%,5,23%
Ty Long,P,0,0%,0,0%,5,23%
Senio Kelemete,G,0,0%,0,0%,4,18%
Scott Quessenberry,C,0,0%,0,0%,4,18%
Brenden Jaimes,G,0,0%,0,0%,4,18%
