Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
K'Waun Williams,SFO,0,4,4,100.0%,19,4.8,4.8,0,86.5,3.0,12,7,3,0,0,0.0,0,4,1,20.0%
Fred Warner,SFO,0,5,4,80.0%,47,11.8,9.4,0,105.8,1.2,9,38,1,0,0,0.0,0,6,1,14.3%
Josh Norman,SFO,0,4,4,100.0%,56,14.0,14.0,1,158.3,12.0,48,8,2,0,0,0.0,0,4,0,0.0%
Jaquiski Tartt,SFO,0,4,3,75.0%,10,3.3,2.5,0,77.1,5.0,7,3,0,0,0,0.0,0,6,0,0.0%
Jimmie Ward,SFO,0,5,2,40.0%,24,12.0,4.8,0,55.4,12.8,16,8,0,0,0,0.0,0,3,0,0.0%
Marcell Harris,SFO,0,2,2,100.0%,10,5.0,5.0,0,87.5,3.0,6,4,0,0,0,0.0,0,4,0,0.0%
Azeez Al-Shaair,SFO,0,1,1,100.0%,7,7.0,7.0,0,95.8,4.0,4,3,2,0,0,0.5,1,6,0,0.0%
Nick Bosa,SFO,0,1,1,100.0%,-8,-8.0,-8.0,0,79.2,-8.0,-8,0,0,0,1,0.0,1,3,0,0.0%
Arden Key,SFO,0,1,1,100.0%,-3,-3.0,-3.0,0,79.2,-4.0,-4,1,0,0,1,0.0,1,1,0,0.0%
Jarrod Wilson,SFO,0,1,1,100.0%,12,12.0,12.0,0,116.7,7.0,7,5,0,0,0,0.0,0,2,0,0.0%
Ambry Thomas,SFO,0,4,1,25.0%,42,42.0,10.5,0,70.8,23.3,40,2,0,0,0,0.0,0,1,0,0.0%
Samson Ebukam,SFO,0,0,0,,,,,,,,,,1,1,0,1.5,3,4,0,0.0%
Arik Armstead,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
Jordan Willis,SFO,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
Kentavius Street,SFO,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%
Charles Omenihu,SFO,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
D.J. Jones,SFO,0,0,0,,,,,,,,,,0,0,1,0.0,1,3,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Kristian Fulton,TEN,0,8,7,87.5%,89,12.7,11.1,0,113.0,3.8,23,66,0,0,0,0.0,0,2,2,50.0%
Buster Skrine,TEN,0,6,6,100.0%,112,18.7,18.7,0,118.7,7.3,44,68,1,1,0,0.0,1,7,1,12.5%
Kevin Byard,TEN,0,5,3,60.0%,36,12.0,7.2,0,82.1,19.4,17,19,1,1,0,0.0,1,6,0,0.0%
Rashaan Evans,TEN,0,4,3,75.0%,14,4.7,3.5,1,118.7,3.5,9,5,0,0,0,0.0,0,7,0,0.0%
Zach Cunningham,TEN,0,3,3,100.0%,19,6.3,6.3,0,93.1,0.7,2,17,0,0,0,0.0,0,4,1,20.0%
Amani Hooker,TEN,1,4,2,50.0%,22,11.0,5.5,0,27.1,6.3,3,19,0,0,0,0.0,0,6,0,0.0%
Bud Dupree,TEN,0,1,1,100.0%,16,16.0,16.0,0,118.7,-2.0,2,14,0,0,0,1.0,1,4,0,0.0%
Denico Autry,TEN,0,1,1,100.0%,17,17.0,17.0,0,118.7,-2.0,-2,19,0,0,0,1.0,1,3,0,0.0%
Jackrabbit Jenkins,TEN,1,3,1,33.3%,8,8.0,2.7,0,2.8,8.3,-3,11,0,0,0,0.0,0,1,0,0.0%
Jayon Brown,TEN,0,1,0,0.0%,,,0.0,,39.6,3.0,,,0,0,0,0.0,0,5,1,16.7%
