Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Samson Ebukam,SFO,0,0,0,0,0,1.5,4,3,1,1,2,0,0,0,0
Kentavius Street,SFO,0,0,0,0,0,1.0,3,3,0,2,1,0,0,0,0
Jordan Willis,SFO,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Azeez Al-Shaair,SFO,0,0,0,0,0,0.5,6,1,5,0,1,0,0,0,0
Jaquiski Tartt,SFO,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Fred Warner,SFO,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Marcell Harris,SFO,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Josh Norman,SFO,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
K'Waun Williams,SFO,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Arik Armstead,SFO,0,0,0,0,0,0.0,3,2,1,1,1,0,0,0,0
Nick Bosa,SFO,0,0,0,0,0,0.0,3,3,0,1,1,0,0,0,0
Kevin Givens,SFO,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
D.J. Jones,SFO,0,0,0,0,0,0.0,3,3,0,1,1,0,0,0,0
Jimmie Ward,SFO,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
Jarrod Wilson,SFO,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Arden Key,SFO,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Charles Omenihu,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Deebo Samuel,SFO,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
Trent Sherfield,SFO,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ambry Thomas,SFO,0,0,0,0,2,0.0,1,1,0,0,0,0,0,0,0
Brandon Aiyuk,SFO,0,0,0,0,0,0.0,0,0,0,0,0,1,-4,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Amani Hooker,TEN,1,21,0,21,1,0.0,6,2,4,0,0,0,0,0,0
Jackrabbit Jenkins,TEN,1,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Bud Dupree,TEN,0,0,0,0,0,1.0,4,3,1,1,1,0,0,0,0
Denico Autry,TEN,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
Rashaan Evans,TEN,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,1
Buster Skrine,TEN,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
Kevin Byard,TEN,0,0,0,0,0,0.0,6,4,2,0,1,0,0,0,1
Jayon Brown,TEN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Naquan Jones,TEN,0,0,0,0,1,0.0,5,3,2,0,0,0,0,0,0
Dane Cruikshank,TEN,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Zach Cunningham,TEN,0,0,0,0,0,0.0,4,4,0,1,0,0,0,0,0
Harold Landry,TEN,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Kristian Fulton,TEN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Kyle Peko,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jeffery Simmons,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dylan Cole,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
