Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Garett Bolles,T,60,100%,0,0%,3,12%
Quinn Meinerz,G,60,100%,0,0%,3,12%
Lloyd Cushenberry III,C,60,100%,0,0%,3,12%
Cameron Fleming,T,60,100%,0,0%,0,0%
Drew Lock,QB,57,95%,0,0%,0,0%
Netane Muti,G,56,93%,0,0%,3,12%
Noah Fant,TE,53,88%,0,0%,0,0%
Courtland Sutton,WR,52,87%,0,0%,0,0%
Seth Williams,WR,43,72%,0,0%,2,8%
Kendall Hinton,WR,36,60%,0,0%,0,0%
Melvin Gordon,RB,30,50%,0,0%,0,0%
Albert Okwuegbunam,TE,30,50%,0,0%,0,0%
Javonte Williams,RB,30,50%,0,0%,0,0%
Eric Saubert,TE,19,32%,0,0%,18,72%
Dalton Risner,G,4,7%,0,0%,0,0%
Diontae Spencer,WR,3,5%,0,0%,3,12%
Brett Rypien,QB,3,5%,0,0%,0,0%
Travis Fulgham,WR,2,3%,0,0%,7,28%
Mike Boone,RB,1,2%,0,0%,13,52%
Austin Schlottmann,G,1,2%,0,0%,3,12%
Jonas Griffith,LB,0,0%,67,100%,8,32%
Justin Simmons,FS,0,0%,67,100%,6,24%
Kyle Fuller,CB,0,0%,67,100%,0,0%
Kareem Jackson,SS,0,0%,65,97%,0,0%
Malik Reed,LB,0,0%,64,96%,7,28%
Micah Kiser,LB,0,0%,63,94%,4,16%
Patrick Surtain II,CB,0,0%,57,85%,0,0%
Nate Hairston,CB,0,0%,44,66%,6,24%
Andre Mintze,LB,0,0%,39,58%,10,40%
Shelby Harris,DE,0,0%,38,57%,6,24%
Dre'Mont Jones,DE,0,0%,37,55%,6,24%
Jonathan Harris,DE,0,0%,35,52%,7,28%
Shamar Stephen,DE,0,0%,33,49%,7,28%
Aaron Patrick,LB,0,0%,29,43%,7,28%
Marquiss Spencer,DE,0,0%,14,21%,7,28%
Michael Ojemudia,CB,0,0%,10,15%,11,44%
P.J. Locke,FS,0,0%,6,9%,21,84%
Pita Taumoepenu,LB,0,0%,2,3%,12,48%
Justin Strnad,LB,0,0%,0,0%,22,88%
Jamar Johnson,FS,0,0%,0,0%,15,60%
Damarea Crockett,RB,0,0%,0,0%,15,60%
Barrington Wade,LB,0,0%,0,0%,15,60%
Sam Martin,P,0,0%,0,0%,6,24%
Brandon McManus,K,0,0%,0,0%,6,24%
Jacob Bobenmoyer,LS,0,0%,0,0%,6,24%
Quinn Bailey,T,0,0%,0,0%,3,12%
Rojesterman Farris,DB,0,0%,0,0%,3,12%
