Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss and deferred, Panthers to receive the opening kickoff.",,
1,15:00,,,NOR 35,0,0,"Aldrick Rosas kicks off 65 yards, touchback.",,
1,15:00,1,10,CAR 25,0,0,Christian McCaffrey right tackle for 3 yards (tackle by Christian Ringo),,
1,14:21,2,7,CAR 28,0,0,Sam Darnold pass complete short right to Christian McCaffrey for 32 yards (tackle by Marcus Williams),,
1,13:31,1,10,NOR 40,0,0,Chuba Hubbard right tackle for no gain (tackle by Cameron Jordan and Demario Davis),,
1,12:48,2,10,NOR 40,0,0,Sam Darnold pass complete short left to D.J. Moore for 20 yards (tackle by Demario Davis),,
1,12:07,1,10,NOR 20,0,6,"Sam Darnold pass complete to Brandon Zylstra for 20 yards, touchdown",,
1,12:00,,,NOR 15,0,7,Zane Gonzalez kicks extra point good,,
1,12:00,,,CAR 35,0,7,"Zane Gonzalez kicks off 62 yards, returned by Deonte Harty for 32 yards (tackle by Stantley Thomas-Oliver and Brandon Zylstra)",,
1,11:52,1,10,NOR 35,0,7,"Jameis Winston pass incomplete short left intended for Tony Jones. Penalty on Morgan Fox: Roughing the Passer, 15 yards (accepted) (no play)",,
1,11:48,1,10,NOR 50,0,7,Jameis Winston sacked by Haason Reddick for -7 yards,,
1,11:10,2,17,NOR 43,0,7,Jameis Winston pass complete short right to Deonte Harty for 9 yards (tackle by Juston Burris),,
1,10:43,,,,,,Timeout #1 by New Orleans Saints,,
1,10:43,3,8,CAR 48,0,7,"Penalty on Terron Armstead: False Start, 5 yards (accepted) (no play)",,
1,10:43,3,13,NOR 47,0,7,"Penalty on Calvin Throckmorton: False Start, 5 yards (accepted) (no play)",,
1,10:43,3,18,NOR 42,0,7,Jameis Winston pass complete short right to Alvin Kamara for 7 yards (tackle by Sean Chandler),,
1,10:08,,,,,,Timeout #1 by Carolina Panthers,,
1,10:08,4,11,NOR 49,0,7,Blake Gillikin punts 44 yards downed by Tony Jones,,
1,9:56,1,10,CAR 7,0,7,Christian McCaffrey left guard for 3 yards (tackle by Payton Turner),,
1,9:18,2,7,CAR 10,0,7,"Sam Darnold pass incomplete short right intended for Chuba Hubbard. Penalty on Payton Turner: Roughing the Passer, 15 yards (accepted) (no play)",,
1,9:13,1,10,CAR 25,0,7,Christian McCaffrey left end for 5 yards (tackle by Zack Baun),,
1,8:33,2,5,CAR 30,0,7,Sam Darnold pass complete short middle to Dan Arnold for 19 yards (tackle by Demario Davis),,
1,7:49,1,10,CAR 49,0,7,Sam Darnold pass incomplete deep left intended for D.J. Moore,,
1,7:43,2,10,CAR 49,0,7,Sam Darnold pass complete short right to D.J. Moore for 8 yards (tackle by Paulson Adebo),,
1,7:03,3,2,NOR 43,0,7,Sam Darnold pass incomplete short left intended for Dan Arnold (defended by Demario Davis),,
1,6:56,4,2,NOR 43,0,7,"Joseph Charlton punts 33 yards, fair catch by Deonte Harty at NO-10",,
1,6:48,1,10,NOR 10,0,7,Alvin Kamara left guard for 2 yards (tackle by Haason Reddick and Yetur Gross-Matos),,
1,6:07,2,8,NOR 12,0,7,Jameis Winston pass complete short left to Marquez Callaway for 4 yards (tackle by Brian Burns),,
1,5:24,3,4,NOR 16,0,7,Jameis Winston pass incomplete short left intended for Chris Hogan (defended by Bravvion Roy),,
1,5:20,4,4,NOR 16,0,7,"Blake Gillikin punts 60 yards, returned by Alex Erickson for 10 yards (tackle by Dwayne Washington and Taysom Hill)",,
1,5:08,1,10,CAR 34,0,7,Christian McCaffrey right tackle for 3 yards (tackle by Christian Ringo),,
1,4:31,2,7,CAR 37,0,7,Sam Darnold pass complete short left to Terrace Marshall for 5 yards (tackle by Malcolm Jenkins),,
1,3:51,,,,,,Timeout #2 by Carolina Panthers,,
1,3:51,3,2,CAR 42,0,7,Christian McCaffrey up the middle for 2 yards (tackle by Demario Davis),,
1,3:11,1,10,CAR 44,0,7,Christian McCaffrey up the middle for 6 yards (tackle by Malcolm Roach),,
1,2:31,2,4,CAR 50,0,7,Christian McCaffrey left guard for 1 yard (tackle by Albert Huggins and Payton Turner),,
1,1:48,3,3,NOR 49,0,7,Sam Darnold pass complete short left to D.J. Moore for 13 yards (tackle by Marcus Williams),,
1,1:08,1,10,NOR 36,0,7,Chuba Hubbard left tackle for 1 yard (tackle by Jalyn Holmes),,
1,0:27,2,9,NOR 35,0,7,Sam Darnold pass complete deep left to Robbie Anderson for 18 yards (tackle by Paulson Adebo),,
Quarter,Time,Down,ToGo,Location,NOR,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NOR 17,0,7,Christian McCaffrey left guard for no gain (tackle by Demario Davis and Carl Granderson),,
2,14:25,2,10,NOR 17,0,7,"Sam Darnold pass complete short left to D.J. Moore for no gain. Penalty on Cameron Erving: Offensive Holding, 10 yards (accepted) (no play)",,
2,13:56,2,20,NOR 27,0,7,Sam Darnold pass complete short middle to Dan Arnold for 19 yards (tackle by Marcus Williams and Zack Baun),,
2,13:28,3,1,NOR 8,0,7,Christian McCaffrey left guard for 2 yards (tackle by Marcus Williams),,
2,12:46,1,6,NOR 6,0,7,Sam Darnold pass incomplete short left,,
2,12:39,2,6,NOR 6,0,7,Christian McCaffrey left end for 5 yards (tackle by Malcolm Jenkins),,
2,11:58,3,1,NOR 1,0,7,Christian McCaffrey left tackle for -1 yards (tackle by Payton Turner),,
