Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
D.J. Humphries,T,67,100%,0,0%,6,21%
Josh Jones,G,67,100%,0,0%,6,21%
Rodney Hudson,C,67,100%,0,0%,0,0%
Kyler Murray,QB,67,100%,0,0%,0,0%
DeAndre Hopkins,WR,61,91%,0,0%,0,0%
A.J. Green,WR,53,79%,0,0%,0,0%
Maxx Williams,TE,51,76%,0,0%,6,21%
Chase Edmonds,RB,44,66%,0,0%,0,0%
Max Garcia,C,41,61%,0,0%,6,21%
Sean Harlow,G,38,57%,0,0%,6,21%
Christian Kirk,WR,38,57%,0,0%,0,0%
Justin Pugh,G,29,43%,0,0%,2,7%
Justin Murray,T,26,39%,0,0%,1,3%
James Conner,RB,25,37%,0,0%,0,0%
Darrell Daniels,TE,23,34%,0,0%,12,42%
Rondale Moore,WR,23,34%,0,0%,9,31%
Antoine Wesley,WR,10,15%,0,0%,3,10%
Demetrius Harris,TE,7,10%,0,0%,17,59%
Jordan Hicks,LB,0,0%,68,100%,5,17%
Marco Wilson,CB,0,0%,68,100%,2,7%
Byron Murphy,CB,0,0%,68,100%,1,3%
Jalen Thompson,FS,0,0%,67,99%,6,21%
Budda Baker,SS,0,0%,67,99%,5,17%
Chandler Jones,LB,0,0%,61,90%,0,0%
Isaiah Simmons,LB,0,0%,60,88%,6,21%
J.J. Watt,DE,0,0%,56,82%,3,10%
Robert Alford,CB,0,0%,51,75%,5,17%
Markus Golden,LB,0,0%,45,66%,2,7%
Zach Allen,DE,0,0%,28,41%,5,17%
Zaven Collins,LB,0,0%,28,41%,5,17%
Rashard Lawrence,NT,0,0%,20,29%,1,3%
Corey Peters,DT,0,0%,17,25%,3,10%
Devon Kennard,LB,0,0%,17,25%,0,0%
Leki Fotu,DT,0,0%,13,19%,11,38%
Michael Dogbe,DE,0,0%,12,18%,1,3%
Kylie Fitts,LB,0,0%,1,1%,23,80%
Tanner Vallejo,LB,0,0%,1,1%,21,73%
Antonio Hamilton,CB,0,0%,0,0%,21,73%
Zeke Turner,LB,0,0%,0,0%,21,73%
Chris Banjo,FS,0,0%,0,0%,21,73%
Jonathan Ward,RB,0,0%,0,0%,18,62%
Deionte Thompson,SS,0,0%,0,0%,13,45%
Matt Prater,K,0,0%,0,0%,12,42%
Aaron Brewer,LS,0,0%,0,0%,11,38%
Andy Lee,P,0,0%,0,0%,11,38%
Charles Washington,FS,0,0%,0,0%,7,24%
Koda Martin,G,0,0%,0,0%,4,14%
