Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Jaylen Waddle,MIA,13,12,58,0,2,28,2.3,30,2.5,3.1,0,,0,0.0,0,85.3
Mike Gesicki,MIA,12,10,86,0,5,67,6.7,19,1.9,8.2,0,,0,0.0,0,96.5
DeVante Parker,MIA,7,4,42,0,3,40,10.0,2,0.5,17.3,0,,0,0.0,0,74.7
Will Fuller,MIA,6,3,20,0,2,12,4.0,8,2.7,20.2,0,,0,0.0,0,57.6
Myles Gaskin,MIA,6,3,9,0,1,-5,-1.7,14,4.7,-1.2,0,,1,16.7,0,56.2
Malcolm Brown,MIA,2,0,0,0,0,0,,0,,-2.0,0,,0,0.0,0,39.6
Durham Smythe,MIA,1,0,0,0,,0,,0,,-3.0,0,,0,0.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Hunter Renfrow,LVR,6,5,77,1,3,43,8.6,34,6.8,9.5,0,,0,0.0,0,158.3
Darren Waller,LVR,7,5,54,0,3,38,7.6,16,3.2,11.6,0,,0,0.0,0,93.7
Henry Ruggs III,LVR,7,4,78,0,4,59,14.8,19,4.8,18.7,0,,0,0.0,0,96.1
Peyton Barber,LVR,5,3,31,0,1,-7,-2.3,38,12.7,3.6,0,,1,20.0,0,77.9
Kenyan Drake,LVR,6,3,33,0,2,3,1.0,30,10.0,3.5,0,,0,0.0,0,66.7
Bryan Edwards,LVR,5,3,89,0,3,60,20.0,29,9.7,17.0,2,1.5,0,0.0,0,104.2
Alec Ingold,LVR,1,1,1,1,1,0,0.0,1,1.0,0.0,0,,0,0.0,0,118.7
Zay Jones,LVR,1,1,15,0,1,1,1.0,14,14.0,1.0,0,,0,0.0,0,118.7
Foster Moreau,LVR,2,1,8,0,,3,3.0,5,5.0,4.5,0,,0,0.0,1,20.8
