Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Alex Leatherwood,T,57,100%,0,0%,3,11%
Kolton Miller,T,57,100%,0,0%,3,11%
John Simpson,G,57,100%,0,0%,3,11%
Andre James,C,57,100%,0,0%,0,0%
Derek Carr,QB,57,100%,0,0%,0,0%
Darren Waller,TE,53,93%,0,0%,0,0%
Bryan Edwards,WR,51,89%,0,0%,0,0%
Jermaine Eluemunor,G,48,84%,0,0%,3,11%
Henry Ruggs III,WR,46,81%,0,0%,0,0%
Hunter Renfrow,WR,38,67%,0,0%,6,22%
Josh Jacobs,RB,36,63%,0,0%,0,0%
Kenyan Drake,RB,20,35%,0,0%,4,15%
Foster Moreau,TE,17,30%,0,0%,16,59%
Alec Ingold,FB,9,16%,0,0%,16,59%
Jordan Simmons,G,9,16%,0,0%,0,0%
Zay Jones,WR,8,14%,0,0%,6,22%
Willie Snead,WR,5,9%,0,0%,5,19%
Derek Carrier,TE,1,2%,0,0%,7,26%
Peyton Barber,RB,1,2%,0,0%,1,4%
Johnathan Abram,SS,0,0%,75,100%,19,71%
Tre'von Moehrig,FS,0,0%,75,100%,8,30%
Cory Littleton,LB,0,0%,73,97%,15,56%
Nate Hobbs,CB,0,0%,62,83%,8,30%
Denzel Perryman,LB,0,0%,60,80%,0,0%
Maxx Crosby,DE,0,0%,56,75%,8,30%
Yannick Ngakoue,DE,0,0%,55,73%,3,11%
Casey Hayward,CB,0,0%,54,72%,6,22%
Johnathan Hankins,NT,0,0%,51,68%,8,30%
Amik Robertson,CB,0,0%,49,65%,7,26%
Solomon Thomas,DT,0,0%,37,49%,5,19%
Quinton Jefferson,DT,0,0%,35,47%,8,30%
K.J. Wright,LB,0,0%,26,35%,3,11%
Darius Philon,DT,0,0%,26,35%,0,0%
Damon Arnette,CB,0,0%,22,29%,4,15%
Clelin Ferrell,DE,0,0%,20,27%,1,4%
Carl Nassib,DE,0,0%,19,25%,13,48%
Nick Kwiatkoski,LB,0,0%,13,17%,22,82%
Roderic Teamer,CB,0,0%,10,13%,12,45%
Trayvon Mullen,CB,0,0%,6,8%,0,0%
Dallin Leavitt,FS,0,0%,1,1%,16,59%
Divine Deablo,LB,0,0%,0,0%,16,59%
Tyree Gillespie,SS,0,0%,0,0%,13,48%
Trent Sieg,LS,0,0%,0,0%,8,30%
AJ Cole III,P,0,0%,0,0%,8,30%
Daniel Carlson,K,0,0%,0,0%,6,22%
Brandon Parker,T,0,0%,0,0%,3,11%
Nick Martin,C,0,0%,0,0%,3,11%
