#,Quarter,Time,LOS,Plays,Length,Net Yds,Result
1,1,8:37,NYG 25,5,3:30,27,Punt
2,1,3:43,CAR 41,9,3:07,39,Downs
3,2,14:53,NYG 37,6,2:00,32,Field Goal
4,2,11:47,NYG 38,4,3:34,5,Punt
5,2,3:19,NYG 19,6,2:24,33,Punt
6,2,0:08,NYG 21,1,0:08,-1,End of Half
7,3,15:00,NYG 25,3,1:22,-12,Punt
8,3,10:27,NYG 14,3,1:21,6,Punt
9,3,7:32,NYG 25,11,6:33,75,Touchdown
10,4,14:51,NYG 46,6,2:10,19,Field Goal
11,4,11:26,NYG 42,10,5:32,32,Field Goal
12,4,4:52,CAR 19,1,0:06,19,Touchdown
13,4,2:48,NYG 33,5,2:48,11,End of Game
