Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Daryl Williams,T,73,100%,0,0%,4,17%
Dion Dawkins,T,73,100%,0,0%,4,17%
Ike Boettger,G,73,100%,0,0%,4,17%
Josh Allen,QB,73,100%,0,0%,0,0%
Mitch Morse,C,73,100%,0,0%,0,0%
Jon Feliciano,G,69,95%,0,0%,0,0%
Tommy Sweeney,TE,60,82%,0,0%,0,0%
Emmanuel Sanders,WR,56,77%,0,0%,0,0%
Stefon Diggs,WR,55,75%,0,0%,0,0%
Cole Beasley,WR,52,71%,0,0%,0,0%
Zack Moss,RB,47,64%,0,0%,0,0%
Gabriel Davis,WR,32,44%,0,0%,3,13%
Devin Singletary,RB,25,34%,0,0%,0,0%
Jake Kumerow,WR,13,18%,0,0%,16,67%
Isaiah McKenzie,WR,13,18%,0,0%,8,33%
Reggie Gilliam,FB,4,5%,0,0%,20,83%
Cody Ford,G,4,5%,0,0%,4,17%
Ryan Bates,C,4,5%,0,0%,4,17%
Kahale Warring,TE,3,4%,0,0%,0,0%
Taiwan Jones,RB,1,1%,0,0%,18,75%
Jordan Poyer,SS,0,0%,69,100%,10,42%
Tremaine Edmunds,LB,0,0%,69,100%,4,17%
Tre'Davious White,CB,0,0%,69,100%,4,17%
Micah Hyde,FS,0,0%,69,100%,2,8%
Taron Johnson,CB,0,0%,69,100%,2,8%
Levi Wallace,CB,0,0%,69,100%,2,8%
Matt Milano,LB,0,0%,69,100%,2,8%
Ed Oliver,DT,0,0%,45,65%,0,0%
Jerry Hughes,DE,0,0%,43,62%,0,0%
Mario Addison,DE,0,0%,40,58%,0,0%
Star Lotulelei,DT,0,0%,35,51%,2,8%
Gregory Rousseau,DE,0,0%,31,45%,4,17%
Vernon Butler,DT,0,0%,30,43%,4,17%
A.J. Epenesa,DE,0,0%,28,41%,10,42%
Harrison Phillips,DT,0,0%,24,35%,6,25%
Tyler Matakevich,LB,0,0%,0,0%,18,75%
Siran Neal,CB,0,0%,0,0%,16,67%
Jaquan Johnson,FS,0,0%,0,0%,16,67%
Andre Smith,LB,0,0%,0,0%,16,67%
Tyrel Dodson,LB,0,0%,0,0%,16,67%
Tyler Bass,K,0,0%,0,0%,10,42%
A.J. Klein,LB,0,0%,0,0%,9,38%
Matt Haack,P,0,0%,0,0%,8,33%
Reid Ferguson,LS,0,0%,0,0%,8,33%
Dane Jackson,CB,0,0%,0,0%,6,25%
Tommy Doyle,T,0,0%,0,0%,4,17%
