Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Laken Tomlinson,G,56,100%,0,0%,7,26%
Mike McGlinchey,T,56,100%,0,0%,7,26%
Daniel Brunskill,G,56,100%,0,0%,7,26%
Trent Williams,T,56,100%,0,0%,0,0%
Alex Mack,C,56,100%,0,0%,0,0%
Jimmy Garoppolo,QB,56,100%,0,0%,0,0%
Brandon Aiyuk,WR,49,88%,0,0%,2,7%
Deebo Samuel,WR,46,82%,0,0%,0,0%
Charlie Woerner,TE,45,80%,0,0%,13,48%
Elijah Mitchell,RB,36,64%,0,0%,0,0%
Kyle Juszczyk,FB,31,55%,0,0%,0,0%
Mohamed Sanu,WR,25,45%,0,0%,0,0%
Jamycal Hasty,RB,19,34%,0,0%,13,48%
Ross Dwelley,TE,15,27%,0,0%,8,30%
Trent Sherfield,WR,7,13%,0,0%,10,37%
Jauan Jennings,WR,7,13%,0,0%,0,0%
Talanoa Hufanga,SS,0,0%,70,100%,7,26%
Fred Warner,LB,0,0%,70,100%,0,0%
Josh Norman,CB,0,0%,70,100%,0,0%
Emmanuel Moseley,CB,0,0%,70,100%,0,0%
Jimmie Ward,FS,0,0%,64,91%,7,26%
Nick Bosa,DE,0,0%,57,81%,0,0%
Arik Armstead,DE,0,0%,55,79%,12,44%
K'Waun Williams,CB,0,0%,50,71%,0,0%
Demetrius Flannigan-Fowles,LB,0,0%,47,67%,18,67%
Samson Ebukam,DE,0,0%,41,59%,0,0%
D.J. Jones,DT,0,0%,37,53%,12,44%
Marcell Harris,LB,0,0%,33,47%,10,37%
Arden Key,DE,0,0%,33,47%,5,19%
Jordan Willis,DE,0,0%,18,26%,0,0%
Kevin Givens,DT,0,0%,18,26%,0,0%
Kentavius Street,DE,0,0%,15,21%,5,19%
Tavon Wilson,SS,0,0%,13,19%,14,52%
Zach Kerr,DT,0,0%,9,13%,0,0%
Tyrell Adams,LB,0,0%,0,0%,20,74%
Dontae Johnson,CB,0,0%,0,0%,20,74%
Kai Nacua,SS,0,0%,0,0%,15,56%
Joey Slye,K,0,0%,0,0%,14,52%
Dre Kirkpatrick,CB,0,0%,0,0%,14,52%
Trenton Cannon,RB,0,0%,0,0%,14,52%
Trey Sermon,RB,0,0%,0,0%,11,41%
Taybor Pepper,LS,0,0%,0,0%,7,26%
Tom Compton,T,0,0%,0,0%,7,26%
Jake Brendel,C,0,0%,0,0%,7,26%
Mitch Wishnowsky,P,0,0%,0,0%,7,26%
Jordan Matthews,WR,0,0%,0,0%,4,15%
