Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Dan Moore,T,72,100%,0,0%,6,17%
Chukwuma Okorafor,T,72,100%,0,0%,6,17%
Kevin Dotson,G,72,100%,0,0%,6,17%
Ben Roethlisberger,QB,72,100%,0,0%,0,0%
Trai Turner,G,72,100%,0,0%,0,0%
Kendrick Green,C,72,100%,0,0%,0,0%
Diontae Johnson,WR,65,90%,0,0%,0,0%
Najee Harris,RB,59,82%,0,0%,0,0%
Chase Claypool,WR,58,81%,0,0%,0,0%
Pat Freiermuth,TE,51,71%,0,0%,6,17%
James Washington,WR,41,57%,0,0%,0,0%
Zach Gentry,TE,37,51%,0,0%,12,34%
Ray-Ray McCloud,WR,26,36%,0,0%,11,31%
Derek Watt,FB,7,10%,0,0%,23,66%
Kalen Ballage,RB,7,10%,0,0%,6,17%
Benny Snell Jr.,RB,6,8%,0,0%,23,66%
Cody White,WR,2,3%,0,0%,7,20%
Kevin Rader,TE,1,1%,0,0%,0,0%
Minkah Fitzpatrick,SS,0,0%,62,100%,6,17%
Joe Haden,CB,0,0%,62,100%,6,17%
Terrell Edmunds,SS,0,0%,62,100%,6,17%
Cameron Sutton,CB,0,0%,62,100%,6,17%
T.J. Watt,LB,0,0%,56,90%,5,14%
Cameron Heyward,DT,0,0%,52,84%,9,26%
Joe Schobert,LB,0,0%,52,84%,6,17%
Devin Bush Jr.,LB,0,0%,52,84%,5,14%
Chris Wormley,DE,0,0%,50,81%,10,29%
Alex Highsmith,LB,0,0%,49,79%,6,17%
Isaiah Buggs,DE,0,0%,26,42%,6,17%
Arthur Maulet,CB,0,0%,23,37%,11,31%
Taco Charlton,DE,0,0%,16,26%,1,3%
Isaiahh Loudermilk,DE,0,0%,12,19%,2,6%
Henry Mondeaux,DE,0,0%,11,18%,3,9%
Robert Spillane,LB,0,0%,10,16%,24,69%
James Pierre,CB,0,0%,10,16%,17,49%
Tre Norwood,FS,0,0%,10,16%,13,37%
Derrek Tuszka,LB,0,0%,5,8%,10,29%
Miles Killebrew,FS,0,0%,0,0%,23,66%
Ulysees Gilbert,LB,0,0%,0,0%,23,66%
Marcus Allen,LB,0,0%,0,0%,23,66%
Justin Layne,CB,0,0%,0,0%,17,49%
Chris Boswell,K,0,0%,0,0%,13,37%
Christian Kuntz,LS,0,0%,0,0%,11,31%
Pressley Harvin III,P,0,0%,0,0%,11,31%
J.C. Hassenauer,C,0,0%,0,0%,6,17%
