Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Ryan Bates,C,75,100%,0,0%,6,18%
Dion Dawkins,T,75,100%,0,0%,6,18%
Spencer Brown,T,75,100%,0,0%,6,18%
Josh Allen,QB,75,100%,0,0%,0,0%
Rodger Saffold,G,75,100%,0,0%,0,0%
Mitch Morse,C,75,100%,0,0%,0,0%
Gabriel Davis,WR,70,93%,0,0%,0,0%
Stefon Diggs,WR,69,92%,0,0%,0,0%
Dawson Knox,TE,61,81%,0,0%,0,0%
Devin Singletary,RB,54,72%,0,0%,0,0%
Isaiah McKenzie,WR,52,69%,0,0%,0,0%
Khalil Shakir,WR,15,20%,0,0%,4,12%
Quintin Morris,TE,14,19%,0,0%,22,67%
James Cook,RB,13,17%,0,0%,0,0%
Jake Kumerow,WR,8,11%,0,0%,11,33%
Nyheim Hines,RB,6,8%,0,0%,15,45%
Duke Johnson,RB,5,7%,0,0%,7,21%
Reggie Gilliam,FB,4,5%,0,0%,26,79%
Bobby Hart,T,4,5%,0,0%,6,18%
Matt Milano,LB,0,0%,83,100%,5,15%
Dane Jackson,CB,0,0%,83,100%,1,3%
Damar Hamlin,SS,0,0%,81,97%,6,18%
Christian Benford,CB,0,0%,80,96%,3,9%
Cameron Lewis,CB,0,0%,79,95%,15,45%
Taron Johnson,CB,0,0%,77,93%,1,3%
Ed Oliver,DT,0,0%,63,76%,1,3%
Von Miller,LB,0,0%,58,70%,0,0%
Tyrel Dodson,LB,0,0%,53,64%,17,52%
A.J. Epenesa,DE,0,0%,50,60%,6,18%
Jordan Phillips,DE,0,0%,45,54%,0,0%
DaQuan Jones,DT,0,0%,44,53%,6,18%
Shaq Lawson,DE,0,0%,33,40%,6,18%
Tremaine Edmunds,LB,0,0%,30,36%,3,9%
Boogie Basham,DE,0,0%,25,30%,3,9%
Tim Settle,DT,0,0%,20,24%,7,21%
Terrel Bernard,LB,0,0%,4,5%,20,61%
Tyler Matakevich,LB,0,0%,3,4%,26,79%
Jaquan Johnson,FS,0,0%,3,4%,20,61%
Dean Marlowe,SS,0,0%,1,1%,12,36%
Siran Neal,CB,0,0%,0,0%,26,79%
Taiwan Jones,RB,0,0%,0,0%,26,79%
Tyler Bass,K,0,0%,0,0%,14,42%
Sam Martin,P,0,0%,0,0%,9,27%
Reid Ferguson,LS,0,0%,0,0%,9,27%
David Quessenberry,G,0,0%,0,0%,6,18%
Greg Van Roten,G,0,0%,0,0%,6,18%
