Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Trey Hendrickson,CIN,0,0,0,0,1,2.0,5,4,1,2,4,0,0,0,0
Cam Taylor-Britt,CIN,0,0,0,0,0,0.0,12,9,3,0,0,0,0,0,0
Germaine Pratt,CIN,0,0,0,0,0,0.0,8,6,2,2,0,0,0,0,0
Logan Wilson,CIN,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Vonn Bell,CIN,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Tre Flowers,CIN,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Eli Apple,CIN,0,0,0,0,1,0.0,4,2,2,0,0,0,0,0,0
Sam Hubbard,CIN,0,0,0,0,0,0.0,4,2,2,1,1,0,0,0,0
Trayveon Williams,CIN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Akeem Davis-Gaither,CIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Jessie Bates III,CIN,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
B.J. Hill,CIN,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
Mike Hilton,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Clay Johnston,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Jay Tufele,CIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Cal Adomitis,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Zachary Carter,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
La'el Collins,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Hayden Hurst,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Stanley Morgan Jr.,CIN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Joseph Ossai,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cameron Sample,CIN,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
T.J. Watt,PIT,1,0,0,0,2,0.5,6,2,4,0,1,0,0,0,0
Levi Wallace,PIT,1,3,0,3,2,0.0,4,3,1,0,0,0,0,0,0
Cameron Heyward,PIT,0,0,0,0,0,1.0,7,4,3,2,2,0,0,0,0
Alex Highsmith,PIT,0,0,0,0,0,0.5,1,0,1,0,3,0,0,0,0
Myles Jack,PIT,0,0,0,0,1,0.0,9,5,4,0,0,0,0,0,0
Devin Bush Jr.,PIT,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
Arthur Maulet,PIT,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Robert Spillane,PIT,0,0,0,0,1,0.0,6,3,3,1,0,0,0,0,0
Marcus Allen,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Minkah Fitzpatrick,PIT,0,0,0,0,1,0.0,3,1,2,0,0,0,0,0,0
Cameron Sutton,PIT,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Montravius Adams,PIT,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Terrell Edmunds,PIT,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Chris Wormley,PIT,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tyson Alualu,PIT,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Connor Heyward,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jamir Jones,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Damontae Kazee,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Larry Ogunjobi,PIT,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
James Pierre,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Malik Reed,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Matthew Wright,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Steven Sims,PIT,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
