Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Marcus Peters,BAL,0,14,10,71.4%,130,13.0,9.3,3,139.9,8.4,92,38,2,0,0,0.0,0,8,0,0.0%
Brandon Stephens,BAL,0,10,9,90.0%,72,8.0,7.2,0,96.7,8.0,54,18,0,0,0,0.0,0,6,0,0.0%
Marlon Humphrey,BAL,0,5,4,80.0%,18,4.5,3.6,0,81.7,-0.4,-7,25,3,1,0,1.0,2,6,0,0.0%
Patrick Queen,BAL,0,3,3,100.0%,42,14.0,14.0,0,118.7,8.3,25,17,1,1,0,0.0,1,6,2,25.0%
Geno Stone,BAL,0,3,2,66.7%,30,15.0,10.0,0,99.3,7.7,18,12,0,0,0,0.0,0,3,1,25.0%
Roquan Smith,BAL,0,2,2,100.0%,29,14.5,14.5,0,118.7,8.5,17,12,1,0,0,0.0,0,8,3,27.3%
Calais Campbell,BAL,0,0,0,,,,,,,,,,0,0,2,1.0,3,3,1,25.0%
Tyus Bowser,BAL,0,0,0,,,,,,,,,,2,0,0,1.0,1,3,0,0.0%
Broderick Washington Jr.,BAL,0,0,0,,,,,,,,,,0,0,0,1.0,1,5,0,0.0%
Justin Madubuike,BAL,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,2,50.0%
Justin Houston,BAL,0,0,0,,,,,,,,,,1,1,0,0.0,1,1,0,0.0%
Malik Harrison,BAL,0,0,0,,,,,,,,,,2,0,0,0.0,0,1,0,0.0%
Chuck Clark,BAL,0,1,0,0.0%,,,0.0,,39.6,-5.0,,,1,0,0,0.0,0,7,0,0.0%
Jason Pierre-Paul,BAL,0,0,0,,,,,,,,,,2,0,0,0.0,0,0,0,
Odafe Oweh,BAL,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Foyesade Oluokun,JAX,0,8,5,62.5%,41,8.2,5.1,0,75.5,6.1,27,14,0,0,0,0.0,0,18,0,0.0%
Rayshawn Jenkins,JAX,0,2,2,100.0%,9,4.5,4.5,0,85.4,0.5,1,8,3,1,0,0.0,1,7,0,0.0%
Chad Muma,JAX,0,4,2,50.0%,74,37.0,18.5,1,135.4,20.5,60,14,0,0,0,0.0,0,9,0,0.0%
Tyson Campbell,JAX,0,3,2,66.7%,24,12.0,8.0,0,91.0,6.3,9,15,0,0,0,0.0,0,1,0,0.0%
Josh Allen,JAX,0,1,1,100.0%,40,40.0,40.0,0,118.7,29.0,29,11,1,6,0,0.0,6,5,0,0.0%
Chris Claybrooks,JAX,0,1,1,100.0%,12,12.0,12.0,0,116.7,0.0,0,12,0,0,0,0.0,0,1,0,0.0%
Andre Cisco,JAX,0,4,1,25.0%,25,25.0,6.3,0,53.1,11.3,20,5,0,0,0,0.0,0,7,0,0.0%
Tevaughn Campbell,JAX,0,3,1,33.3%,12,12.0,4.0,0,46.5,17.3,12,0,0,0,0,0.0,0,1,0,0.0%
Darious Williams,JAX,0,2,1,50.0%,17,17.0,8.5,0,79.2,23.5,9,8,0,0,0,0.0,0,3,1,25.0%
Arden Key,JAX,0,1,0,0.0%,,,0.0,,39.6,27.0,,,2,1,1,0.0,2,0,0,
DaVon Hamilton,JAX,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%
Dawuane Smoot,JAX,0,0,0,,,,,,,,,,2,0,1,0.0,1,0,0,
Travon Walker,JAX,0,1,0,0.0%,,,0.0,,39.6,4.0,,,1,1,0,0.0,1,1,0,0.0%
Andrew Wingard,JAX,0,0,0,,,,,,,,,,1,1,0,0.0,1,3,0,0.0%
