Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Derrick Henry,TEN,4,4,59,0,2,6,1.5,53,13.3,1.5,0,,0,0.0,0,118.7
Chigoziem Okonkwo,TEN,5,4,54,0,2,23,5.8,31,7.8,6.4,0,,0,0.0,0,111.7
Chris Conley,TEN,3,3,19,0,1,16,5.3,3,1.0,5.3,0,,0,0.0,0,93.1
Hassan Haskins,TEN,2,2,7,0,0,-6,-3.0,13,6.5,-3.0,0,,0,0.0,0,81.2
Austin Hooper,TEN,4,2,33,0,2,23,11.5,10,5.0,8.5,0,,0,0.0,0,78.1
Robert Woods,TEN,4,2,12,0,1,8,4.0,4,2.0,4.8,0,,0,0.0,0,56.2
Racey McMath,TEN,2,1,1,0,,-3,-3.0,4,4.0,16.5,0,,0,0.0,1,16.7
Nick Westbrook-Ikhine,TEN,2,0,0,0,,0,,0,,10.5,0,,1,50.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Keenan Allen,LAC,9,8,86,0,4,56,7.0,30,3.8,8.8,0,,0,0.0,0,106.5
Josh Palmer,LAC,5,5,49,0,1,32,6.4,17,3.4,6.4,0,,0,0.0,0,107.5
Gerald Everett,LAC,6,4,42,0,2,11,2.8,31,7.8,3.8,0,,0,0.0,0,86.8
Mike Williams,LAC,8,4,67,0,4,59,14.8,8,2.0,15.3,0,,0,0.0,2,39.1
Donald Parham,LAC,3,3,35,0,1,17,5.7,18,6.0,5.7,0,,0,0.0,0,115.3
Austin Ekeler,LAC,3,2,12,0,0,-2,-1.0,14,7.0,-0.3,0,,1,33.3,0,74.3
DeAndre Carter,LAC,2,1,15,0,1,15,15.0,0,0.0,9.0,0,,1,50.0,0,75.0
Joshua Kelley,LAC,2,1,7,0,0,6,6.0,1,1.0,6.5,0,,1,50.0,0,58.3
