Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Kerby Joseph,DET,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Ifeatu Melifonwu,DET,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0
Isaiah Buggs,DET,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
John Cominsky,DET,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Alim McNeill,DET,0,0,0,0,0,0.0,6,1,5,1,0,0,0,0,0
Jeff Okudah,DET,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Alex Anzalone,DET,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Malcolm Rodriguez,DET,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Aidan Hutchinson,DET,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Derrick Barnes,DET,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Jerry Jacobs,DET,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Josh Woods,DET,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Will Harris,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Mike Hughes,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Benito Jones,DET,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Josh Paschal,DET,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Chris Board,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
James Houston,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
C.J. Moore,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Romeo Okwara,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Brian Burns,CAR,0,0,0,0,1,2.0,2,2,0,2,3,0,0,0,0
Jeremy Chinn,CAR,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Jaycee Horn,CAR,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Shaq Thompson,CAR,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Yetur Gross-Matos,CAR,0,0,0,0,0,0.0,5,2,3,0,1,1,0,0,0
Frankie Luvu,CAR,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Myles Hartsfield,CAR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Matthew Ioannidis,CAR,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Xavier Woods,CAR,0,0,0,0,2,0.0,3,3,0,0,0,0,0,0,0
T.J. Carrie,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Cory Littleton,CAR,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Bravvion Roy,CAR,0,0,0,0,1,0.0,2,0,2,0,0,0,0,0,0
Damien Wilson,CAR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Henry Anderson,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Derrick Brown,CAR,0,0,0,0,1,0.0,1,0,1,0,1,0,0,0,0
Marquis Haynes,CAR,0,0,0,0,1,0.0,1,1,0,0,2,0,0,0,0
Marquan McCall,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Stephen Sullivan,CAR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Keith Taylor,CAR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
C.J. Henderson,CAR,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
