Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"49ers won the coin toss and deferred, Commanders to receive the opening kickoff.",,
1,15:00,,,SFO 35,0,0,"Robbie Gould kicks off 66 yards, returned by Antonio Gibson for 18 yards (tackle by George Odum and Jordan Willis)",0.000,-0.060
1,14:56,1,10,WAS 17,0,0,Brian Robinson left tackle for -2 yards (tackle by Tashaun Gipson),-0.060,-0.850
1,14:23,2,12,WAS 15,0,0,Brian Robinson left guard for 6 yards (tackle by Javon Kinlaw and Talanoa Hufanga),-0.850,-0.750
1,13:43,3,6,WAS 21,0,0,Taylor Heinicke pass incomplete deep right intended for Jahan Dotson,-0.750,-1.960
1,13:34,4,6,WAS 21,0,0,"Penalty on WAS: Delay of Game, 5 yards (accepted) (no play)",-1.960,-2.390
1,13:34,4,11,WAS 16,0,0,"Tress Way punts 62 yards, returned by Ray-Ray McCloud for 13 yards (tackle by Jonathan Williams)",-2.390,-1.270
1,13:24,1,10,SFO 35,0,0,Brock Purdy pass complete short middle to Brandon Aiyuk for 9 yards (tackle by Benjamin St-Juste),1.270,1.940
1,12:47,2,1,SFO 44,0,0,Christian McCaffrey up the middle for 4 yards (tackle by David Mayo and Jonathan Allen),1.940,2.130
1,12:10,1,10,SFO 48,0,0,Brock Purdy pass incomplete deep left intended for Brandon Aiyuk,2.130,1.580
1,12:06,2,10,SFO 48,0,0,Christian McCaffrey left tackle for 3 yards (tackle by Danny Johnson and Jeremy Reaves),1.580,1.290
1,11:20,3,7,WAS 49,0,0,Brock Purdy pass complete short middle to George Kittle for 25 yards (tackle by Rachad Wildgoose),1.290,3.970
1,10:40,1,10,WAS 24,0,0,Tyrion Davis-Price left tackle for 6 yards (tackle by Darrick Forrest and Jonathan Allen),3.970,4.290
1,10:02,2,4,WAS 18,0,0,Tyrion Davis-Price up the middle for 3 yards (tackle by Jonathan Allen and David Mayo),4.290,4.170
1,9:32,3,1,WAS 15,0,0,Tyrion Davis-Price up the middle for no gain (tackle by Jonathan Allen),4.170,2.590
1,8:47,,,,,,Timeout #1 by San Francisco 49ers,,
1,8:47,4,1,WAS 15,0,0,Christian McCaffrey left end for no gain (tackle by David Mayo),2.590,0.220
1,8:41,1,10,WAS 15,0,0,Brian Robinson left guard for -1 yards (tackle by Nick Bosa),-0.220,-0.820
