Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Saints to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NOR 25,0,0,Andy Dalton pass complete short left to Chris Olave for 16 yards (tackle by Darius Slay),0.610,1.660
1,14:26,1,10,NOR 41,0,0,Alvin Kamara left tackle for 6 yards (tackle by Fletcher Cox),1.660,1.930
1,13:51,2,4,NOR 47,0,0,Taysom Hill right end for no gain (tackle by T.J. Edwards),1.930,1.220
1,13:14,3,4,NOR 47,0,0,Andy Dalton pass complete short right to Juwan Johnson for 10 yards (tackle by T.J. Edwards),1.220,2.720
1,12:34,1,10,PHI 43,0,0,Andy Dalton pass complete short right to Rashid Shaheed for 4 yards (tackle by Marcus Epps),2.720,2.720
1,11:56,2,6,PHI 39,0,0,Alvin Kamara left end for 3 yards (tackle by Kyzir White),2.720,2.410
1,11:15,3,3,PHI 36,0,0,Andy Dalton pass complete short right to Chris Olave for 8 yards (tackle by Josiah Scott),2.410,3.710
1,10:41,1,10,PHI 28,0,0,Andy Dalton pass complete short left to Rashid Shaheed for 2 yards (tackle by Darius Slay),3.710,3.440
1,10:06,2,8,PHI 26,0,0,Taysom Hill pass complete short right to Chris Olave for 7 yards (tackle by Haason Reddick),3.440,3.720
1,9:32,3,1,PHI 19,0,0,Adam Prentice up the middle for 2 yards (tackle by Josh Sweat and Fletcher Cox),3.720,4.440
1,8:59,1,10,PHI 17,0,0,Alvin Kamara right end for 4 yards (tackle by Javon Hargrave and Linval Joseph),4.440,4.500
1,8:15,2,6,PHI 13,0,0,"Andy Dalton pass incomplete. Penalty on Erik McCoy: Ineligible Downfield Pass, 5 yards (accepted) (no play)",4.500,3.720
1,8:15,2,11,PHI 18,0,0,Eno Benjamin left end for 8 yards (tackle by Reed Blankenship),3.720,4.340
1,7:28,3,3,PHI 10,0,0,Taysom Hill left guard for 1 yard (tackle by James Bradberry and Reed Blankenship),4.340,2.950
1,6:48,4,2,PHI 9,0,0,Taysom Hill right guard for 8 yards (tackle by Reed Blankenship),2.950,6.970
1,6:07,1,1,PHI 1,6,0,"Taysom Hill left end for 1 yard, touchdown",6.970,7.000
1,6:02,,,PHI 15,7,0,Wil Lutz kicks extra point good,0.000,0.000
1,6:02,,,NOR 35,7,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
1,6:02,1,10,PHI 25,7,0,Gardner Minshew sacked by Kaden Elliss for -6 yards,0.610,-0.810
1,5:22,2,16,PHI 19,7,0,Gardner Minshew sacked by and Carl Granderson for no gain and Kaden Elliss for no gain,-0.810,-1.580
1,4:35,3,17,PHI 19,7,0,Gardner Minshew pass complete short right to Kenneth Gainwell for 8 yards (tackle by David Onyemata),-1.580,-1.570
1,4:03,4,8,PHI 27,7,0,"Brett Kern punts 53 yards, returned by Rashid Shaheed for 9 yards (tackle by Patrick Johnson)",-1.570,-0.870
1,3:54,1,10,NOR 29,7,0,Alvin Kamara up the middle for 4 yards (tackle by Jordan Davis and Haason Reddick),0.870,0.870
1,3:12,2,6,NOR 33,7,0,Taysom Hill left end for 2 yards (tackle by Reed Blankenship),0.870,0.430
1,2:35,3,4,NOR 35,7,0,Andy Dalton pass complete short left to Rashid Shaheed for 9 yards (tackle by Marcus Epps),0.430,1.860
1,2:02,1,10,NOR 44,7,0,Eno Benjamin up the middle for 2 yards (tackle by Kyzir White),1.860,1.590
1,1:29,2,8,NOR 46,7,0,Andy Dalton pass complete short left to Alvin Kamara for 7 yards (tackle by Javon Hargrave),1.590,1.820
1,0:51,,,,,,Timeout #1 by New Orleans Saints,,
1,0:51,3,1,PHI 47,7,0,Taysom Hill left tackle for 3 yards (tackle by Javon Hargrave and Kyzir White),1.820,2.650
1,0:15,1,10,PHI 44,7,0,Andy Dalton sacked by Javon Hargrave for -5 yards,2.650,1.500
Quarter,Time,Down,ToGo,Location,NOR,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,14,PHI 49,7,0,Alvin Kamara left guard for 9 yards (tackle by T.J. Edwards),1.500,1.950
2,14:26,3,6,PHI 40,7,0,Andy Dalton sacked by Brandon Graham for -3 yards,1.950,0.400
2,13:39,4,9,PHI 43,7,0,"Blake Gillikin punts 33 yards, fair catch by Britain Covey at PHI-10",0.400,0.380
2,13:34,1,10,PHI 10,7,0,Miles Sanders right tackle for 4 yards (tackle by Paulson Adebo),-0.380,-0.460
2,12:57,2,6,PHI 14,7,0,Miles Sanders right guard for 5 yards (tackle by Cameron Jordan and Demario Davis),-0.460,-0.370
2,12:12,3,1,PHI 19,7,0,Gardner Minshew sacked by Cameron Jordan for no gain,-0.370,-2.140
2,11:34,4,1,PHI 19,7,0,"Brett Kern punts 39 yards, fair catch by Rashid Shaheed at NO-42",-2.140,-1.730
2,11:28,1,10,NOR 42,7,0,Taysom Hill pass complete deep right to Juwan Johnson for 17 yards (tackle by Marcus Epps),1.730,2.850
2,10:53,1,10,PHI 41,7,0,Alvin Kamara right end for no gain (tackle by T.J. Edwards and Reed Blankenship),2.850,2.310
2,10:15,2,10,PHI 41,7,0,"Andy Dalton scrambles for no gain. Penalty on Landon Young: Offensive Holding, 10 yards (accepted) (no play)",2.310,0.960
2,9:55,2,20,NOR 49,7,0,Andy Dalton pass complete short left to Adam Prentice for 4 yards (tackle by Josiah Scott),0.960,0.830
2,9:16,3,16,PHI 47,7,0,Andy Dalton pass complete short right to Chris Olave for 11 yards (tackle by Darius Slay),0.830,0.880
2,8:35,4,5,PHI 36,10,0,Wil Lutz 54 yard field goal good,0.880,3.000
2,8:30,,,NOR 35,10,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,8:30,1,10,PHI 25,10,0,Gardner Minshew pass incomplete short right intended for DeVonta Smith,0.610,0.060
2,8:26,2,10,PHI 25,10,0,Gardner Minshew sacked by Carl Granderson for -6 yards,0.060,-1.510
2,7:44,3,16,PHI 19,10,0,Gardner Minshew pass complete short middle to Kenneth Gainwell for 9 yards (tackle by Demario Davis),-1.510,-1.500
2,7:09,4,7,PHI 28,10,0,"Brett Kern punts 45 yards, returned by Rashid Shaheed for 3 yards (tackle by Zech McPhearson)",-1.500,-0.940
2,7:00,1,10,NOR 30,10,0,Taysom Hill right end for 3 yards (tackle by Marcus Epps),0.940,0.800
2,6:23,2,7,NOR 33,10,0,Andy Dalton pass complete short middle to Juwan Johnson for 3 yards (tackle by Kyzir White),0.800,0.500
2,5:49,3,4,NOR 36,10,0,Andy Dalton pass complete deep right to Rashid Shaheed for 58 yards (tackle by James Bradberry),0.500,5.830
2,5:00,1,6,PHI 6,10,0,Alvin Kamara right guard for 4 yards (tackle by Javon Hargrave),5.830,5.720
2,4:26,2,2,PHI 2,10,0,Alvin Kamara left guard for 1 yard (tackle by Josiah Scott and Reed Blankenship),5.720,5.170
2,3:51,3,1,PHI 1,10,0,Taysom Hill right end for -1 yards (tackle by T.J. Edwards and Javon Hargrave),5.170,3.250
2,3:08,4,2,PHI 2,13,0,Wil Lutz 20 yard field goal good,3.250,3.000
2,3:05,,,NOR 35,13,0,"Wil Lutz kicks off 65 yards, touchback.",0.000,0.610
2,3:05,1,10,PHI 25,13,0,Gardner Minshew pass incomplete short right intended for Dallas Goedert,0.610,0.060
2,3:01,2,10,PHI 25,13,0,Gardner Minshew pass complete short left to A.J. Brown for 7 yards (tackle by Marshon Lattimore),0.060,0.300
2,2:28,3,3,PHI 32,13,0,Gardner Minshew pass incomplete deep right intended for DeVonta Smith,0.300,-1.240
2,2:19,4,3,PHI 32,13,0,"Brett Kern punts 38 yards, fair catch by Rashid Shaheed at NO-30",-1.240,-0.940
2,2:13,1,10,NOR 30,13,0,Andy Dalton pass complete short right to Juwan Johnson for 11 yards (tackle by Marcus Epps),0.940,1.660
2,2:00,1,10,NOR 41,13,0,Alvin Kamara left guard for 12 yards (tackle by Reed Blankenship and Brandon Graham),1.660,2.460
2,1:37,1,10,PHI 47,13,0,Andy Dalton pass complete deep middle to Juwan Johnson for 21 yards (tackle by Marcus Epps),2.460,3.840
2,1:09,1,10,PHI 26,13,0,Andy Dalton sacked by Haason Reddick for -5 yards,3.840,2.620
2,0:45,2,15,PHI 31,13,0,Andy Dalton pass deep right intended for Chris Olave is intercepted by Josiah Scott at PHI-12 and returned for 13 yards (tackle by Calvin Throckmorton),2.620,-0.610
2,0:34,1,10,PHI 25,13,0,Gardner Minshew sacked by Cameron Jordan for -5 yards,0.610,-0.610
2,0:26,,,,,,Timeout #1 by Philadelphia Eagles,,
2,0:26,2,15,PHI 20,13,0,Gardner Minshew pass complete short left to A.J. Brown for 8 yards (tackle by Marshon Lattimore),-0.610,-0.230
2,0:19,,,,,,Timeout #2 by Philadelphia Eagles,,
2,0:19,3,7,PHI 28,13,0,Gardner Minshew pass complete short left to Dallas Goedert for 12 yards (tackle by Tyrann Mathieu and P.J. Williams),-0.230,1.600
2,0:12,,,,,,Timeout #3 by Philadelphia Eagles,,
