Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Hunter Henry,NWE,7,6,42,0,2,30,5.0,12,2.0,7.7,0,,0,0.0,1,52.1
DeVante Parker,NWE,7,6,79,2,5,70,11.7,9,1.5,17.1,0,,1,14.3,0,153.3
Rhamondre Stevenson,NWE,6,5,28,0,0,8,1.6,20,4.0,1.5,0,,1,16.7,0,86.1
Kendrick Bourne,NWE,5,4,45,0,3,23,5.8,22,5.5,5.2,0,,1,20.0,0,104.2
Jakobi Meyers,NWE,7,3,32,1,3,11,3.7,21,7.0,7.0,0,,0,0.0,0,96.4
Damien Harris,NWE,4,1,4,0,0,4,4.0,0,0.0,3.3,0,,1,25.0,1,0.0
Tyquan Thornton,NWE,2,1,13,0,,7,7.0,6,6.0,5.0,0,,1,50.0,0,70.8
Nelson Agholor,NWE,1,0,0,0,,0,,0,,19.0,0,,0,0.0,1,0.0
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Stefon Diggs,BUF,10,7,104,1,4,97,13.9,7,1.0,15.2,0,,0,0.0,0,137.1
Gabriel Davis,BUF,10,3,39,0,2,39,13.0,0,0.0,16.5,0,,2,20.0,1,3.7
James Cook,BUF,2,2,6,0,0,-3,-1.5,9,4.5,-1.5,0,,0,0.0,0,79.2
Dawson Knox,BUF,2,2,13,1,1,3,1.5,10,5.0,1.5,0,,0,0.0,0,133.3
Isaiah McKenzie,BUF,3,2,19,0,1,12,6.0,7,3.5,6.7,0,,1,33.3,0,84.0
John Brown,BUF,1,1,42,1,1,42,42.0,0,0.0,42.0,0,,0,0.0,0,158.3
Khalil Shakir,BUF,2,1,28,0,1,13,13.0,15,15.0,17.0,0,,0,0.0,0,95.8
Devin Singletary,BUF,1,1,3,0,0,3,3.0,0,0.0,3.0,0,,0,0.0,0,79.2
