Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Russell Gage,TAM,6,5,28,0,1,9,1.8,19,3.8,1.7,0,,0,0.0,0,86.1
Mike Evans,TAM,4,3,61,0,3,32,10.7,29,9.7,15.3,0,,0,0.0,0,116.7
Scott Miller,TAM,8,3,34,0,2,31,10.3,3,1.0,17.4,0,,2,25.0,0,51.0
Breshad Perriman,TAM,5,3,45,1,2,32,10.7,13,4.3,12.2,0,,1,20.0,0,129.2
Leonard Fournette,TAM,4,2,9,0,0,-3,-1.5,12,6.0,-0.8,0,,1,25.0,0,56.2
Cameron Brate,TAM,2,1,9,0,,8,8.0,1,1.0,12.5,1,1.0,0,0.0,0,62.5
Cade Otton,TAM,2,1,4,0,,0,0.0,4,4.0,7.0,0,,0,0.0,0,56.2
Rachaad White,TAM,2,0,0,0,,0,,0,,1.5,0,,1,50.0,0,39.6
Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat
Michael Thomas,NOR,9,6,65,1,6,58,9.7,7,1.2,12.1,0,,0,0.0,0,124.8
Chris Olave,NOR,13,5,80,0,1,70,14.0,10,2.0,25.7,0,,1,7.7,1,27.7
Juwan Johnson,NOR,7,4,40,0,2,30,7.5,10,2.5,9.3,0,,0,0.0,1,33.9
Jarvis Landry,NOR,5,4,25,0,,10,2.5,15,3.8,4.0,0,,0,0.0,1,47.9
Mark Ingram,NOR,2,2,3,0,0,-9,-4.5,12,6.0,-4.5,0,,0,0.0,0,79.2
Tony Jones,NOR,2,2,12,0,,-2,-1.0,14,7.0,-1.0,0,,0,0.0,0,91.7
Deonte Harty,NOR,1,1,9,0,,9,9.0,0,0.0,9.0,0,,0,0.0,0,104.2
Adam Prentice,NOR,1,1,2,0,,3,3.0,-1,-1.0,3.0,0,,0,0.0,0,79.2
