Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Josh Bynes,BAL,1,0,0,0,1,0.0,10,8,2,0,0,0,0,0,0
Marlon Humphrey,BAL,1,0,0,0,1,0.0,4,4,0,0,0,0,0,0,0
Marcus Peters,BAL,1,8,0,8,1,0.0,1,1,0,0,0,1,0,0,1
Patrick Queen,BAL,0,0,0,0,1,1.0,5,4,1,1,1,0,0,0,0
Justin Madubuike,BAL,0,0,0,0,0,1.0,3,2,1,2,1,0,0,0,0
Brandon Copeland,BAL,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Chuck Clark,BAL,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Odafe Oweh,BAL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Marcus Williams,BAL,0,0,0,0,1,0.0,5,4,1,1,0,0,0,0,0
Broderick Washington Jr.,BAL,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Calais Campbell,BAL,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Kyle Hamilton,BAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,1
Jalyn Armour-Davis,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Rashod Bateman,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Malik Harrison,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Justice Hill,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Travis Jones,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Nick Moore,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Del'Shawn Phillips,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ben Powers,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Patrick Ricard,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon Stephens,BAL,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Geno Stone,BAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Damarion Williams,BAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Jonathan Jones,NWE,1,15,0,15,1,0.0,4,3,1,0,0,0,0,0,1
Deatrich Wise Jr.,NWE,0,0,0,0,0,3.0,6,5,1,4,3,0,0,0,0
Matt Judon,NWE,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,0
Devin McCourty,NWE,0,0,0,0,0,0.0,8,7,1,0,0,0,0,0,0
Jabrill Peppers,NWE,0,0,0,0,0,0.0,7,6,1,0,0,1,12,0,0
Adrian Phillips,NWE,0,0,0,0,0,0.0,7,3,4,0,0,0,0,0,0
Ja'Whaun Bentley,NWE,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
Mack Wilson,NWE,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Christian Barmore,NWE,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Davon Godchaux,NWE,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Jalen Mills,NWE,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Jake Bailey,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Myles Bryant,NWE,0,0,0,0,0,0.0,1,0,1,0,0,1,0,0,0
Cody Davis,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Daniel Ekuale,NWE,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Lawrence Guy,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
DeVante Parker,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jahlani Tavai,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kendrick Bourne,NWE,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
