Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Nasir Adderley,LAC,1,30,0,30,1,0.0,4,3,1,0,0,0,0,0,0
Bryce Callahan,LAC,1,9,0,9,2,0.0,3,3,0,0,0,0,0,0,0
Sebastian Joseph-Day,LAC,0,0,0,0,0,1.0,4,2,2,2,2,0,0,0,0
Khalil Mack,LAC,0,0,0,0,0,1.0,2,1,1,1,2,0,0,0,0
Morgan Fox,LAC,0,0,0,0,0,1.0,1,1,0,1,2,0,0,0,0
Jerry Tillery,LAC,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,1
Drue Tranquill,LAC,0,0,0,0,0,0.0,11,5,6,0,1,0,0,0,0
Derwin James,LAC,0,0,0,0,2,0.0,7,3,4,0,0,0,0,0,0
Kenneth Murray,LAC,0,0,0,0,0,0.0,5,3,2,1,1,0,0,0,0
Asante Samuel Jr.,LAC,0,0,0,0,0,0.0,5,5,0,1,0,0,0,0,0
Kyle Van Noy,LAC,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Austin Johnson,LAC,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Christian Covington,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Nick Niemann,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Michael Bandy,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Alohi Gilman,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Dustin Hopkins,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
J.C. Jackson,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris Rumph,LAC,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Austin Ekeler,LAC,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Rasheem Green,HOU,0,0,0,0,0,0.5,3,2,1,1,1,0,0,0,0
Thomas Booker,HOU,0,0,0,0,0,0.5,2,0,2,0,1,0,0,0,0
Kamu Grugier-Hill,HOU,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Steven Nelson,HOU,0,0,0,0,0,0.0,7,6,1,0,0,0,0,0,0
Jalen Pitre,HOU,0,0,0,0,0,0.0,7,3,4,1,0,0,0,0,0
Christian Kirksey,HOU,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Jonathan Owens,HOU,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Derek Stingley Jr.,HOU,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Blake Cashman,HOU,0,0,0,0,1,0.0,3,3,0,1,0,0,0,0,0
Jerry Hughes,HOU,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Desmond King,HOU,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Roy Lopez,HOU,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Garret Wallow,HOU,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Maliek Collins,HOU,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Jonathan Greenard,HOU,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Kurt Hinish,HOU,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Jalen Reeves-Maybin,HOU,0,0,0,0,0,0.0,2,1,1,0,0,1,0,0,0
M.J. Stewart,HOU,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,1
Nico Collins,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dare Ogunbowale,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ogbonnia Okoronkwo,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tremon Smith,HOU,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jordan Akins,HOU,0,0,0,0,0,0.0,0,0,0,0,0,1,-2,0,0
