Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Parris Campbell,WR,81,100%,0,0%,5,20%
Matt Pryor,T,81,100%,0,0%,4,16%
Quenton Nelson,G,81,100%,0,0%,4,16%
Ryan Kelly,C,81,100%,0,0%,0,0%
Braden Smith,T,81,100%,0,0%,0,0%
Matt Ryan,QB,81,100%,0,0%,0,0%
Michael Pittman Jr.,WR,80,99%,0,0%,0,0%
Dennis Kelly,T,70,86%,0,0%,4,16%
Deon Jackson,RB,54,67%,0,0%,1,4%
Alec Pierce,WR,53,65%,0,0%,0,0%
Kylen Granson,TE,31,38%,0,0%,10,40%
Jelani Woods,TE,31,38%,0,0%,5,20%
Mo Alie-Cox,TE,28,35%,0,0%,4,16%
Phillip Lindsay,RB,27,33%,0,0%,0,0%
Mike Strachan,WR,19,23%,0,0%,0,0%
Bernhard Raimann,T,11,14%,0,0%,4,16%
Danny Pinter,G,1,1%,0,0%,4,16%
Rodney Thomas II,FS,0,0%,63,100%,15,60%
Rodney McLeod,FS,0,0%,63,100%,11,44%
Zaire Franklin,LB,0,0%,63,100%,8,32%
Kenny Moore,CB,0,0%,63,100%,7,28%
Stephon Gilmore,CB,0,0%,63,100%,0,0%
Bobby Okereke,LB,0,0%,56,89%,6,24%
DeForest Buckner,DT,0,0%,51,81%,0,0%
Grover Stewart,DT,0,0%,41,65%,8,32%
Tyquan Lewis,DE,0,0%,41,65%,0,0%
Yannick Ngakoue,DE,0,0%,41,65%,0,0%
Isaiah Rodgers,CB,0,0%,32,51%,13,52%
Brandon Facyson,CB,0,0%,24,38%,0,0%
Dayo Odeyingbo,DE,0,0%,23,37%,1,4%
Ifeadi Odenigbo,DE,0,0%,21,33%,6,24%
E.J. Speed,LB,0,0%,17,27%,21,85%
Byron Cowart,DT,0,0%,15,24%,4,16%
Chris Williams,DT,0,0%,8,13%,2,8%
Ben Banogu,DE,0,0%,7,11%,17,68%
Nick Cross,SS,0,0%,1,2%,15,60%
Grant Stuard,LB,0,0%,0,0%,18,73%
JoJo Domann,LB,0,0%,0,0%,17,68%
Tony Brown,CB,0,0%,0,0%,17,68%
Chase McLaughlin,K,0,0%,0,0%,11,44%
Dallis Flowers,CB,0,0%,0,0%,8,32%
Luke Rhodes,LS,0,0%,0,0%,7,28%
Matt Haack,P,0,0%,0,0%,7,28%
Will Fries,G,0,0%,0,0%,4,16%
Keke Coutee,WR,0,0%,0,0%,3,12%
D'Vonte Price,RB,0,0%,0,0%,2,8%
