Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Robinson,JAX,12,54,0,3,40,3.3,14,1.2,0,
Travis Etienne,JAX,10,86,0,3,60,6.0,26,2.6,0,
Trevor Lawrence,JAX,6,23,2,5,23,3.8,0,0.0,0,
Jamycal Hasty,JAX,3,57,1,1,57,19.0,0,0.0,0,
Jamal Agnew,JAX,1,19,0,1,19,19.0,0,0.0,0,
Christian Kirk,JAX,1,4,0,0,0,0.0,4,4.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Deon Jackson,IND,12,42,1,4,26,2.2,16,1.3,1,12.0
Phillip Lindsay,IND,3,7,0,,5,1.7,2,0.7,0,
Matt Ryan,IND,1,-4,0,0,-4,-4.0,0,0.0,0,
