Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Kelvin Beachum,T,71,100%,0,0%,2,8%
D.J. Humphries,T,71,100%,0,0%,2,8%
Will Hernandez,G,71,100%,0,0%,2,8%
Sean Harlow,C,71,100%,0,0%,2,8%
Kyler Murray,QB,71,100%,0,0%,0,0%
Rondale Moore,WR,70,99%,0,0%,0,0%
Marquise Brown,WR,68,96%,0,0%,0,0%
Zach Ertz,TE,68,96%,0,0%,0,0%
Eno Benjamin,RB,62,87%,0,0%,0,0%
Max Garcia,G,49,69%,0,0%,2,8%
A.J. Green,WR,49,69%,0,0%,0,0%
Justin Pugh,G,22,31%,0,0%,1,4%
Trey McBride,TE,20,28%,0,0%,10,38%
Keaontay Ingram,RB,9,13%,0,0%,0,0%
Javon Wims,WR,5,7%,0,0%,0,0%
Greg Dortch,WR,4,6%,0,0%,12,46%
Budda Baker,SS,0,0%,68,100%,5,19%
Byron Murphy,CB,0,0%,68,100%,3,12%
Jalen Thompson,FS,0,0%,68,100%,0,0%
Zaven Collins,LB,0,0%,68,100%,0,0%
Marco Wilson,CB,0,0%,60,88%,8,31%
Zach Allen,DE,0,0%,57,84%,5,19%
Markus Golden,LB,0,0%,55,81%,0,0%
J.J. Watt,DE,0,0%,53,78%,0,0%
Isaiah Simmons,LB,0,0%,43,63%,0,0%
Victor Dimukeje,LB,0,0%,30,44%,21,81%
Rashard Lawrence,NT,0,0%,27,40%,0,0%
Tanner Vallejo,LB,0,0%,22,32%,24,92%
Ben Niemann,LB,0,0%,22,32%,15,58%
Antonio Hamilton,CB,0,0%,19,28%,19,73%
Leki Fotu,DT,0,0%,18,27%,5,19%
Jonathan Ledbetter,DE,0,0%,15,22%,5,19%
Michael Dogbe,DE,0,0%,13,19%,5,19%
Dennis Gardeck,LB,0,0%,11,16%,14,54%
Cameron Thomas,LB,0,0%,9,13%,1,4%
Myjai Sanders,LB,0,0%,8,12%,0,0%
Chris Banjo,FS,0,0%,6,9%,24,92%
Jesse Luketa,LB,0,0%,4,6%,5,19%
Christian Matthew,CB,0,0%,2,3%,19,73%
Zeke Turner,LB,0,0%,1,1%,23,88%
Stephen Anderson,TE,0,0%,0,0%,18,69%
Corey Clement,RB,0,0%,0,0%,15,58%
Andy Lee,P,0,0%,0,0%,6,23%
Aaron Brewer,LS,0,0%,0,0%,6,23%
Matt Ammendola,K,0,0%,0,0%,5,19%
Josh Jones,G,0,0%,0,0%,2,8%
