Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Cam Taylor-Britt,CIN,0,4,4,100.0%,60,15.0,15.0,0,118.7,6.3,25,35,0,0,0,0.0,0,5,1,16.7%
Vonn Bell,CIN,1,4,3,75.0%,76,25.3,19.0,0,77.1,20.8,65,11,5,0,0,0.5,1,4,1,20.0%
Logan Wilson,CIN,0,2,2,100.0%,18,9.0,9.0,0,104.2,6.5,13,5,5,0,1,0.0,1,8,1,11.1%
Germaine Pratt,CIN,0,2,2,100.0%,8,4.0,4.0,0,83.3,-1.5,-3,11,5,1,0,0.0,1,9,2,18.2%
Mike Hilton,CIN,0,2,2,100.0%,30,15.0,15.0,0,118.7,9.5,19,11,1,0,0,0.0,0,4,1,20.0%
Tre Flowers,CIN,0,2,2,100.0%,31,15.5,15.5,1,158.3,10.0,20,11,1,0,0,0.0,0,4,0,0.0%
Sam Hubbard,CIN,0,1,1,100.0%,29,29.0,29.0,0,118.7,16.0,16,13,0,1,1,1.0,4,9,1,10.0%
Jessie Bates III,CIN,0,1,1,100.0%,26,26.0,26.0,0,118.7,19.0,19,7,2,0,0,0.0,0,10,1,9.1%
Joseph Ossai,CIN,0,0,0,,,,,,,,,,0,1,1,0.0,2,3,0,0.0%
Trey Hendrickson,CIN,0,0,0,,,,,,,,,,0,0,0,0.5,1,5,1,16.7%
B.J. Hill,CIN,0,0,0,,,,,,,,,,0,0,1,0.0,1,5,1,16.7%
Chidobe Awuzie,CIN,0,2,0,0.0%,,,0.0,,39.6,13.0,,,1,0,0,0.0,0,2,0,0.0%
Jay Tufele,CIN,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,2,100.0%
Daxton Hill,CIN,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Akeem Davis-Gaither,CIN,0,0,0,,,,,,,,,,1,0,0,0.0,0,2,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Martin Emerson,CLE,0,10,7,70.0%,38,5.4,3.8,0,76.2,3.9,6,32,0,0,0,0.0,0,9,1,10.0%
Sione Takitaki,CLE,0,6,5,83.3%,16,3.2,2.7,0,79.2,-1.0,-4,20,2,0,0,1.0,1,13,0,0.0%
Greg Newsome II,CLE,0,5,3,60.0%,28,9.3,5.6,0,75.4,5.8,23,5,1,0,0,0.0,0,3,0,0.0%
Deion Jones,CLE,0,2,2,100.0%,32,16.0,16.0,0,118.7,9.0,18,14,2,0,0,1.0,1,5,0,0.0%
John Johnson,CLE,0,4,2,50.0%,17,8.5,4.3,1,101.0,5.5,12,5,0,0,0,0.0,0,2,0,0.0%
Grant Delpit,CLE,0,2,2,100.0%,35,17.5,17.5,0,118.7,8.5,17,18,0,0,0,0.0,0,4,0,0.0%
Taven Bryan,CLE,0,1,1,100.0%,9,9.0,9.0,0,104.2,6.0,6,3,0,0,0,0.5,1,4,1,20.0%
A.J. Green,CLE,1,1,1,100.0%,11,11.0,11.0,0,72.9,11.0,11,0,0,0,0,0.0,0,0,0,
Greedy Williams,CLE,0,2,1,50.0%,41,41.0,20.5,1,135.4,32.5,32,9,0,0,0,0.0,0,1,1,50.0%
Myles Garrett,CLE,0,0,0,,,,,,,,,,0,0,2,1.5,4,2,0,0.0%
Jadeveon Clowney,CLE,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Isaiah Thomas,CLE,0,0,0,,,,,,,,,,0,0,0,1.0,1,3,0,0.0%
Jordan Kunaszyk,CLE,0,0,0,,,,,,,,,,1,0,0,0.0,0,3,0,0.0%
Ronnie Harrison,CLE,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,0,
