Quarter,Time,Down,ToGo,Location,LVR,JAX,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,JAX 35,0,0,"Riley Patterson kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LVR 25,0,0,Derek Carr pass incomplete deep right intended for Foster Moreau,0.610,0.060
1,14:55,2,10,LVR 25,0,0,Derek Carr pass complete short right to Josh Jacobs for 4 yards (tackle by Darious Williams and Foyesade Oluokun),0.060,-0.100
1,14:19,3,6,LVR 29,0,0,Derek Carr sacked by Dawuane Smoot for -4 yards,-0.100,-1.700
1,13:43,4,10,LVR 25,0,0,"AJ Cole punts 58 yards, returned by Jamal Agnew for 13 yards (tackle by Jakob Johnson)",-1.700,-0.940
1,13:31,1,10,JAX 30,0,0,Trevor Lawrence pass incomplete short right intended for Chris Manhertz,0.940,0.390
1,13:26,2,10,JAX 30,0,0,Travis Etienne left end for 7 yards (tackle by Divine Deablo and Denzel Perryman),0.390,0.630
1,12:47,3,3,JAX 37,0,0,Trevor Lawrence pass complete short right to Marvin Jones for 9 yards (tackle by Rock Ya-Sin),0.630,1.990
1,12:07,1,10,JAX 46,0,0,Trevor Lawrence pass complete short right to Christian Kirk for 23 yards (tackle by Blake Martinez),1.990,3.510
1,11:34,1,10,LVR 31,0,0,Travis Etienne left end for 2 yards (tackle by Johnathan Abram and Bilal Nichols),3.510,3.240
1,11:00,2,8,LVR 29,0,0,Travis Etienne left end for 3 yards (tackle by Chandler Jones),3.240,2.940
1,10:22,3,5,LVR 26,0,0,"Trevor Lawrence aborted snap, recovered by Maxx Crosby at LV-29 and returned for -3 yards",2.940,-0.870
1,10:13,1,10,LVR 29,0,0,Josh Jacobs up the middle for -3 yards (tackle by Roy Robertson-Harris),0.870,-0.080
1,9:46,2,13,LVR 26,0,0,Derek Carr pass complete short left to Davante Adams for 4 yards (tackle by Foyesade Oluokun),-0.080,-0.230
1,9:12,3,9,LVR 30,0,0,Derek Carr pass complete short middle to Davante Adams for 11 yards (tackle by Devin Lloyd),-0.230,1.660
1,8:42,1,10,LVR 41,0,0,"Derek Carr pass complete to Hunter Renfrow for no gain (tackle by Rayshawn Jenkins). Penalty on Foster Moreau: Offensive Holding, 10 yards (accepted) (no play)",1.660,1.000
1,8:16,1,20,LVR 31,0,0,Derek Carr pass complete deep middle to Davante Adams for 21 yards (tackle by Andre Cisco),1.000,2.390
1,7:43,1,10,JAX 48,0,0,"Josh Jacobs for no gain (tackle by Andre Cisco). Penalty on Mack Hollins: Offensive Holding, 10 yards (accepted) (no play)",2.390,1.730
1,7:17,1,20,LVR 42,0,0,Derek Carr pass incomplete deep left intended for Mack Hollins,1.730,0.500
1,7:10,2,20,LVR 42,0,0,Derek Carr pass incomplete short right intended for Foster Moreau (defended by Devin Lloyd),0.500,-0.160
1,7:06,3,20,LVR 42,0,0,Derek Carr pass complete short right to Davante Adams for 16 yards (tackle by Darious Williams),-0.160,0.460
1,6:23,4,4,JAX 42,0,0,Derek Carr pass complete short middle to Davante Adams for 11 yards (tackle by Rayshawn Jenkins),0.460,3.510
1,5:35,,,,,,Timeout #1 by Las Vegas Raiders,,
1,5:35,1,10,JAX 31,0,0,Josh Jacobs left end for 6 yards (tackle by Tyson Campbell and Andre Cisco),3.510,3.780
1,4:51,2,4,JAX 25,6,0,"Derek Carr pass complete deep left to Davante Adams for 25 yards, touchdown",3.780,7.000
1,4:45,,,JAX 15,7,0,Daniel Carlson kicks extra point good,0.000,0.000
1,4:45,,,LVR 35,7,0,"Penalty on Tyson Campbell: Defensive Offside, 5 yards (accepted) (no play)",0.000,0.000
1,4:45,,,LVR 40,7,0,"Daniel Carlson kicks off 62 yards, returned by Jamal Agnew for 10 yards (tackle by DJ Turner)",0.000,-0.380
1,4:40,1,10,JAX 8,7,0,Trevor Lawrence pass incomplete short right,-0.380,-0.780
1,4:35,2,10,JAX 8,7,0,Trevor Lawrence right guard for 9 yards (tackle by Denzel Perryman),-0.780,-0.370
1,3:53,3,1,JAX 17,7,0,Travis Etienne right end for -5 yards (tackle by Maxx Crosby),-0.370,-2.490
1,3:18,4,6,JAX 12,7,0,"Logan Cooke punts 60 yards, returned by Hunter Renfrow for 17 yards (tackle by Caleb Johnson)",-2.490,-1.930
1,3:04,1,10,LVR 45,7,0,Derek Carr pass complete short left to Hunter Renfrow for 14 yards,1.930,2.850
1,2:30,1,10,JAX 41,7,0,Josh Jacobs up the middle for -2 yards (tackle by Rayshawn Jenkins),2.850,2.040
1,1:49,2,12,JAX 43,7,0,Derek Carr pass complete short middle to Hunter Renfrow for 4 yards (tackle by Foyesade Oluokun),2.040,1.880
1,1:07,3,8,JAX 39,7,0,Derek Carr pass complete short middle to Mack Hollins for 13 yards (tackle by Andre Cisco),1.880,3.840
1,0:27,1,10,JAX 26,7,0,Josh Jacobs up the middle for -1 yards (tackle by Corey Peters),3.840,3.160
Quarter,Time,Down,ToGo,Location,LVR,JAX,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,11,JAX 27,7,0,Derek Carr pass incomplete short middle intended for Foster Moreau (defended by Tre Herndon),3.160,2.480
2,14:56,3,11,JAX 27,7,0,Derek Carr pass complete short left to Ameer Abdullah for 8 yards (tackle by Foyesade Oluokun),2.480,2.280
2,14:12,4,3,JAX 19,10,0,Daniel Carlson 38 yard field goal good,2.280,3.000
2,14:08,,,LVR 35,10,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,14:08,1,10,JAX 25,10,0,Trevor Lawrence pass complete short right to Marvin Jones for 6 yards (tackle by Rock Ya-Sin),0.610,0.870
2,13:27,2,4,JAX 31,10,0,Travis Etienne up the middle for no gain (tackle by Duron Harmon),0.870,0.170
2,12:50,3,4,JAX 31,10,0,Trevor Lawrence pass incomplete short right intended for Evan Engram,0.170,-1.310
2,12:45,4,4,JAX 31,10,0,"Logan Cooke punts 53 yards, returned by Hunter Renfrow for 5 yards (tackle by Chad Muma). Penalty on Caleb Johnson: Offensive Holding, 10 yards (accepted)",-1.310,-1.000
2,12:33,1,10,LVR 31,10,0,Josh Jacobs left guard for 1 yard (tackle by Josh Allen),1.000,0.600
2,11:57,2,9,LVR 32,10,0,Derek Carr pass complete short right to Foster Moreau for 30 yards (tackle by Travon Walker),0.600,3.050
2,11:00,1,10,JAX 38,16,0,"Derek Carr pass complete deep middle to Davante Adams for 38 yards, touchdown",3.050,7.000
2,10:51,,,JAX 15,17,0,Daniel Carlson kicks extra point good,0.000,0.000
2,10:51,,,LVR 35,17,0,"Daniel Carlson kicks off 65 yards, touchback.",0.000,0.610
2,10:51,1,10,JAX 25,17,0,Travis Etienne left end for 9 yards (tackle by Blake Martinez),0.610,1.280
2,10:15,2,1,JAX 34,17,0,Travis Etienne left end for 3 yards (tackle by Malcolm Koonce),1.280,1.400
2,9:36,1,10,JAX 37,17,0,Trevor Lawrence pass complete short right to Zay Jones for 22 yards (tackle by Rock Ya-Sin),1.400,2.850
2,8:58,1,10,LVR 41,17,0,Travis Etienne left end for -6 yards (tackle by Neil Farrell and Blake Martinez),2.850,1.500
