Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Khalil Mack,LAC,0,0,0,0,1,2.0,8,8,0,2,2,0,0,0,1
Sebastian Joseph-Day,LAC,0,0,0,0,0,1.0,3,2,1,1,2,0,0,0,0
Kenneth Murray,LAC,0,0,0,0,0,0.0,10,6,4,0,0,0,0,0,0
Alohi Gilman,LAC,0,0,0,0,0,0.0,9,6,3,1,0,0,0,0,0
Eric Kendricks,LAC,0,0,0,0,0,0.0,9,6,3,1,1,0,0,0,0
Derwin James,LAC,0,0,0,0,0,0.0,7,5,2,0,1,0,0,0,0
Dean Marlowe,LAC,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Michael Davis,LAC,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Deane Leonard,LAC,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Ja'Sir Taylor,LAC,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Tuli Tuipulotu,LAC,0,0,0,0,1,0.0,3,3,0,1,1,0,0,0,0
Nick Williams,LAC,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
Austin Johnson,LAC,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tanner Muse,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Niemann,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Asante Samuel Jr.,LAC,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Justin Herbert,LAC,0,0,0,0,0,0.0,0,0,0,0,0,1,-4,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Rashan Gary,GNB,0,0,0,0,0,1.0,2,1,1,1,2,1,0,0,0
Karl Brooks,GNB,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Jonathan Owens,GNB,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
De'Vondre Campbell,GNB,0,0,0,0,0,0.0,7,6,1,1,0,0,0,0,0
Keisean Nixon,GNB,0,0,0,0,0,0.0,7,6,1,1,0,1,0,0,0
Quay Walker,GNB,0,0,0,0,0,0.0,7,2,5,0,0,0,0,0,0
Corey Ballentine,GNB,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Anthony Johnson,GNB,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Carrington Valentine,GNB,0,0,0,0,3,0.0,4,3,1,0,0,0,0,0,0
Malik Heath,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Preston Smith,GNB,0,0,0,0,0,0.0,2,1,1,0,2,0,0,0,0
Lukas Van Ness,GNB,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Zayne Anderson,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kenny Clark,GNB,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,1
Kingsley Enagbare,GNB,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
Robert Rochell,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tedarrell Slaton,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Devonte Wyatt,GNB,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jordan Love,GNB,0,0,0,0,0,0.0,0,0,0,0,0,1,-6,0,0
Zach Tom,GNB,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
