Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Trey McBride,TE,61,100%,0,0%,2,11%
Paris Johnson,T,61,100%,0,0%,2,11%
Hjalte Froholdt,C,61,100%,0,0%,2,11%
Will Hernandez,G,61,100%,0,0%,2,11%
Carter O'Donnell,T,61,100%,0,0%,0,0%
Kyler Murray,QB,61,100%,0,0%,0,0%
D.J. Humphries,T,61,100%,0,0%,0,0%
Marquise Brown,WR,58,95%,0,0%,0,0%
Greg Dortch,WR,46,75%,0,0%,6,33%
Rondale Moore,WR,44,72%,0,0%,0,0%
James Conner,RB,42,69%,0,0%,0,0%
Geoff Swaim,TE,24,39%,0,0%,8,44%
Tony Jones,RB,16,26%,0,0%,4,22%
Elijah Higgins,TE,9,15%,0,0%,5,28%
Andre Baccellia,WR,5,8%,0,0%,0,0%
Budda Baker,SS,0,0%,67,100%,1,6%
Jalen Thompson,FS,0,0%,67,100%,0,0%
Dante Stills,DE,0,0%,55,82%,5,28%
Josh Woods,LB,0,0%,55,82%,1,6%
Garrett Williams,CB,0,0%,52,78%,4,22%
Antonio Hamilton,CB,0,0%,51,76%,7,39%
Marco Wilson,CB,0,0%,50,75%,1,6%
Roy Lopez,DT,0,0%,40,60%,1,6%
Zaven Collins,LB,0,0%,36,54%,0,0%
BJ Ojulari,LB,0,0%,35,52%,4,22%
Starling Thomas,CB,0,0%,33,49%,6,33%
Phil Hoskins,DT,0,0%,33,49%,3,17%
Dennis Gardeck,LB,0,0%,31,46%,9,50%
Victor Dimukeje,LB,0,0%,27,40%,12,67%
Kyzir White,LB,0,0%,26,39%,0,0%
Krys Barnes,LB,0,0%,22,33%,14,78%
Cameron Thomas,LB,0,0%,22,33%,8,44%
Kevin Strong,NT,0,0%,21,31%,0,0%
Leki Fotu,NT,0,0%,12,18%,4,22%
Andre Chachere,SS,0,0%,2,3%,15,83%
Zeke Turner,LB,0,0%,0,0%,15,83%
Jesse Luketa,LB,0,0%,0,0%,14,78%
Owen Pappoe,LB,0,0%,0,0%,11,61%
Kei'Trel Clark,CB,0,0%,0,0%,9,50%
Matt Prater,K,0,0%,0,0%,6,33%
Blake Whiteheart,TE,0,0%,0,0%,5,28%
Aaron Brewer,LS,0,0%,0,0%,4,22%
Blake Gillikin,P,0,0%,0,0%,4,22%
Keith Ismael,G,0,0%,0,0%,2,11%
Kelvin Beachum,T,0,0%,0,0%,2,11%
