Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Mazi Smith,DAL,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Damone Clark,DAL,0,0,0,0,0,0.0,11,7,4,0,1,0,0,0,0
DeMarcus Lawrence,DAL,0,0,0,0,0,0.0,8,7,1,1,0,0,0,0,1
Donovan Wilson,DAL,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Juanyeh Thomas,DAL,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
Markquese Bell,DAL,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
Stephon Gilmore,DAL,0,0,0,0,1,0.0,5,2,3,0,0,0,0,0,0
Rashaan Evans,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Chauncey Golston,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Jayron Kearse,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Osa Odighizuwa,DAL,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Dorance Armstrong Jr.,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Carl Davis,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Jourdan Lewis,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Israel Mukuamu,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Micah Parsons,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Nahshon Wright,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
DaRon Bland,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Malik Davis,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Neville Gallimore,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyrus Wheat,DAL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Sam Williams,DAL,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Christian Benford,BUF,1,8,0,8,2,0.0,1,1,0,0,0,0,0,0,0
Leonard Floyd,BUF,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Jordan Phillips,BUF,0,0,0,0,1,1.0,1,1,0,1,1,0,0,0,0
Tyrel Dodson,BUF,0,0,0,0,0,0.5,8,4,4,0,1,0,0,0,0
Gregory Rousseau,BUF,0,0,0,0,0,0.5,2,1,1,1,2,0,0,0,0
Taylor Rapp,BUF,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0
Taron Johnson,BUF,0,0,0,0,1,0.0,7,7,0,0,0,0,0,0,0
Jordan Poyer,BUF,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
Terrel Bernard,BUF,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Cameron Lewis,BUF,0,0,0,0,1,0.0,5,5,0,0,0,0,0,0,0
Dorian Williams,BUF,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Rasul Douglas,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Linval Joseph,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Shaq Lawson,BUF,0,0,0,0,0,0.0,2,0,2,0,2,0,0,0,0
Tyler Matakevich,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Siran Neal,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Ed Oliver,BUF,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Ty Johnson,BUF,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
