Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NYG 25,0,0,Saquon Barkley right guard for 2 yards (tackle by Fletcher Cox),0.610,0.330
1,14:23,2,8,NYG 27,0,0,Saquon Barkley right guard for -1 yards (tackle by Shaquille Leonard),0.330,-0.490
1,13:42,3,9,NYG 26,0,0,Tommy DeVito pass incomplete short left,-0.490,-1.630
1,13:35,4,9,NYG 26,0,0,"Jamie Gillan punts 41 yards, returned by Britain Covey for 54 yards (tackle by Cam Brown)",-1.630,-4.710
1,13:14,1,10,NYG 13,0,0,D'Andre Swift left end for 12 yards (tackle by Deonte Banks),4.710,6.970
1,12:28,1,1,NYG 1,0,6,"Jalen Hurts up the middle for 1 yard, touchdown. Penalty on Timmy Horne: Defensive Offside (declined)",6.970,7.000
1,12:27,,,NYG 15,0,7,Jake Elliott kicks extra point good,0.000,0.000
1,12:27,,,PHI 35,0,7,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,12:27,1,10,NYG 25,0,7,Tommy DeVito pass complete short left to Wan'Dale Robinson for 7 yards (tackle by Reed Blankenship),0.610,1.010
1,11:50,2,3,NYG 32,0,7,Saquon Barkley left tackle for 4 yards (tackle by Milton Williams and Nolan Smith),1.010,1.330
1,11:15,1,10,NYG 36,0,7,Tommy DeVito pass complete short left to Daniel Bellinger for 14 yards (tackle by Kelee Ringo),1.330,2.260
1,10:32,,,,,,Timeout #1 by Philadelphia Eagles,,
1,10:32,1,10,NYG 50,0,7,Tommy DeVito pass complete short right to Saquon Barkley for 4 yards (tackle by Haason Reddick),2.260,2.250
1,10:17,2,6,PHI 46,0,7,Saquon Barkley up the middle for no gain (tackle by Shaquille Leonard),2.250,1.550
1,9:39,3,6,PHI 46,0,7,Tommy DeVito pass complete short left to Darius Slayton for 9 yards (tackle by Kelee Ringo),1.550,3.120
1,9:01,1,10,PHI 37,0,7,Tommy DeVito pass incomplete short right intended for Saquon Barkley,3.120,2.570
1,8:53,2,10,PHI 37,0,7,"Penalty on NYG: Offensive Too Many Men on Field, 5 yards (accepted) (no play)",2.570,1.900
1,8:53,2,15,PHI 42,0,7,Tommy DeVito pass complete short right to Wan'Dale Robinson for 8 yards (tackle by Kevin Byard),1.900,2.280
1,8:13,3,7,PHI 34,0,7,Tommy DeVito pass incomplete short middle intended for Darren Waller (defended by James Bradberry),2.280,1.060
1,8:08,4,7,PHI 34,3,7,Mason Crosby 52 yard field goal good,1.060,3.000
1,8:04,,,NYG 35,3,7,"Mason Crosby kicks off 56 yards, returned by Kenneth Gainwell for 19 yards (tackle by Darnay Holmes). Penalty on Nolan Smith: Offensive Holding, 10 yards (accepted)",0.000,0.040
1,7:55,1,10,PHI 18,3,7,"Penalty on Jordan Mailata: False Start, 5 yards (accepted) (no play)",0.040,-0.450
1,7:55,1,15,PHI 13,3,7,Jalen Hurts pass complete deep left to Dallas Goedert for 18 yards (tackle by Xavier McKinney),-0.450,1.000
1,7:19,1,10,PHI 31,3,7,D'Andre Swift right guard for 5 yards (tackle by Bobby Okereke),1.000,1.140
1,6:53,2,5,PHI 36,3,7,Jalen Hurts pass complete short right to DeVonta Smith for 17 yards (tackle by Deonte Banks),1.140,2.460
1,6:20,1,10,NYG 47,3,7,Jalen Hurts pass incomplete short right intended for A.J. Brown,2.460,1.910
1,6:15,2,10,NYG 47,3,7,Jalen Hurts pass complete short left to Britain Covey for 7 yards (tackle by Jason Pinnock),1.910,2.150
1,5:34,3,3,NYG 40,3,7,Kenneth Gainwell right guard for 2 yards (tackle by Micah McFadden and Bobby Okereke),2.150,0.720
1,5:03,4,1,NYG 38,3,7,Jalen Hurts left guard for 3 yards (tackle by Bobby Okereke),0.720,3.250
1,4:22,1,10,NYG 35,3,7,Kenneth Gainwell left guard for 2 yards (tackle by Jordon Riley),3.250,2.970
1,3:48,2,8,NYG 33,3,7,Boston Scott left tackle for 3 yards (tackle by Micah McFadden and Xavier McKinney),2.970,2.680
1,3:05,3,5,NYG 30,3,7,Jalen Hurts pass incomplete short right intended for Olamide Zaccheaus (defended by Isaiah Simmons),2.680,1.450
1,3:01,4,5,NYG 30,3,7,Jalen Hurts pass complete short left to Dallas Goedert for 6 yards (tackle by Xavier McKinney),1.450,3.970
1,2:20,1,10,NYG 24,3,7,Jalen Hurts pass complete short left to A.J. Brown for 7 yards (tackle by Deonte Banks),3.970,4.460
1,1:48,2,3,NYG 17,3,7,Jalen Hurts pass incomplete short right intended for Julio Jones,4.460,3.750
1,1:44,3,3,NYG 17,3,7,"Jalen Hurts aborted snap, recovered by Jalen Hurts at NYG-17 Jalen Hurts pass complete short left to Grant Calcaterra for 9 yards (tackle by Cordale Flott)",3.750,5.370
1,0:54,1,8,NYG 8,3,7,D'Andre Swift right tackle for 5 yards (tackle by Dexter Lawrence),5.370,5.530
1,0:14,2,3,NYG 3,3,7,"D'Andre Swift left end for no gain, touchdown Replay Assistant challenged the runner was down by contact ruling, and the original play was overturned. D'Andre Swift left end for -2 yards (tackle by Dexter Lawrence)",5.530,4.260
Quarter,Time,Down,ToGo,Location,NYG,PHI,Detail,EPB,EPA
