Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Thomas Rush,,,0,0,,,,,,,,,,0,1,0,,1,,0,
Bobby Wagner,SEA,0,4,4,100.0%,35,8.8,8.8,0,103.1,2.0,8,27,6,0,0,1.0,1,11,1,8.3%
Riq Woolen,SEA,0,5,3,60.0%,17,5.7,3.4,0,66.2,4.2,9,8,0,0,0,0.0,0,4,0,0.0%
Coby Bryant,SEA,0,3,3,100.0%,27,9.0,9.0,0,104.2,6.3,19,8,1,0,0,0.0,0,4,0,0.0%
Artie Burns,SEA,0,3,2,66.7%,31,15.5,10.3,0,100.7,4.7,14,17,0,0,0,0.0,0,8,0,0.0%
Michael Jackson,SEA,0,2,2,100.0%,13,6.5,6.5,0,93.7,2.5,5,8,0,0,0,0.0,0,4,0,0.0%
Boye Mafe,SEA,0,1,1,100.0%,13,13.0,13.0,0,118.7,13.0,13,0,0,1,2,2.0,5,6,0,0.0%
Tre Brown,SEA,0,1,1,100.0%,13,13.0,13.0,0,118.7,-4.0,-4,17,0,0,0,0.0,0,1,0,0.0%
Devin Bush Jr.,SEA,0,1,1,100.0%,3,3.0,3.0,0,79.2,1.0,1,2,0,0,0,0.0,0,6,0,0.0%
Dre'Mont Jones,SEA,0,0,0,,,,,,,,,,1,1,1,1.0,3,3,0,0.0%
Jarran Reed,SEA,0,0,0,,,,,,,,,,0,1,0,1.0,2,2,0,0.0%
Cameron Young,SEA,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,0,0.0%
Mario Edwards,SEA,0,0,0,,,,,,,,,,0,0,0,1.0,1,2,0,0.0%
Quandre Diggs,SEA,0,2,0,0.0%,12,,6.0,1,91.7,12.5,12,0,0,0,0,0.0,0,5,0,0.0%
Darrell Taylor,SEA,0,0,0,,,,,,,,,,0,0,0,0.0,0,0,1,100.0%
Jordyn Brooks,SEA,0,0,0,,,,,,,,,,1,0,0,0.0,0,0,1,100.0%
Julian Love,SEA,0,3,0,0.0%,,,0.0,,39.6,8.3,,,0,0,0,0.0,0,3,1,25.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Tre Avery,TEN,0,13,7,53.8%,102,14.6,7.8,2,119.2,10.0,83,19,0,0,0,0.0,0,6,0,0.0%
Roger McCreary,TEN,0,6,5,83.3%,44,8.8,7.3,0,97.2,4.8,14,30,3,0,0,0.0,0,7,1,12.5%
Azeez Al-Shaair,TEN,0,5,4,80.0%,9,2.3,1.8,0,79.2,-3.2,-9,18,5,0,0,0.0,0,8,1,11.1%
Eric Garror,TEN,0,5,2,40.0%,28,14.0,5.6,0,58.7,12.2,19,9,0,0,0,0.0,0,2,1,33.3%
Mike Brown,TEN,0,3,2,66.7%,12,6.0,4.0,0,74.3,5.0,5,7,1,0,0,0.0,0,4,0,0.0%
Harold Landry,TEN,0,1,1,100.0%,5,5.0,5.0,0,87.5,4.0,4,1,0,0,0,1.0,1,4,0,0.0%
Elijah Molden,TEN,0,2,1,50.0%,20,20.0,10.0,0,85.4,10.5,12,8,0,0,0,0.0,0,6,0,0.0%
Otis Reese,TEN,0,1,1,100.0%,7,7.0,7.0,0,95.8,7.0,7,0,0,0,0,0.0,0,4,2,33.3%
Denico Autry,TEN,0,0,0,,,,,,,,,,0,3,0,0.5,4,4,2,33.3%
Arden Key,TEN,0,0,0,,,,,,,,,,0,1,0,1.0,2,4,0,0.0%
Marlon Davidson,TEN,0,0,0,,,,,,,,,,0,1,0,0.0,1,2,0,0.0%
Terrell Edmunds,TEN,0,1,0,0.0%,,,0.0,,39.6,9.0,,,6,0,0,0.5,1,1,0,0.0%
Jaleel Johnson,TEN,0,1,0,0.0%,,,0.0,,39.6,-3.0,,,0,0,0,0.0,0,1,0,0.0%
Garret Wallow,TEN,0,0,0,,,,,,,,,,1,0,0,0.0,0,1,0,0.0%
Jonathan Ward,TEN,0,0,0,,,,,,,,,,0,0,0,0.0,0,1,1,50.0%
