Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Rashad Fenton,,,3,2,66.7%,13,6.5,4.3,1,115.3,14.0,8,5,0,0,0,,0,,0,
Trevor Nowaske,,,0,0,,,,,,,,,,0,0,0,,0,,1,
Starling Thomas,ARI,0,6,5,83.3%,53,10.6,8.8,1,143.1,12.2,34,19,0,0,0,0.0,0,5,0,0.0%
Antonio Hamilton,ARI,0,6,4,66.7%,42,10.5,7.0,1,126.4,12.2,32,10,0,0,0,0.0,0,7,0,0.0%
Krys Barnes,ARI,0,3,3,100.0%,25,8.3,8.3,0,101.4,4.0,12,13,2,0,1,0.0,1,7,0,0.0%
BJ Ojulari,ARI,0,2,2,100.0%,5,2.5,2.5,0,79.2,0.0,0,5,1,0,0,0.0,0,5,0,0.0%
Victor Dimukeje,ARI,0,1,1,100.0%,6,6.0,6.0,0,91.7,6.0,6,0,0,0,1,0.0,1,3,0,0.0%
Garrett Williams,ARI,0,1,1,100.0%,23,23.0,23.0,0,118.7,2.0,2,21,0,0,0,0.0,0,0,0,
Andre Chachere,ARI,0,1,1,100.0%,17,17.0,17.0,0,118.7,17.0,17,0,0,0,0,0.0,0,2,0,0.0%
Zaven Collins,ARI,0,0,0,,,,,,,,,,4,1,0,0.0,1,1,0,0.0%
Dennis Gardeck,ARI,0,0,0,,,,,,,,,,1,1,0,0.0,1,1,1,50.0%
Owen Pappoe,ARI,0,0,0,,,,,,,,,,3,0,0,0.0,0,2,0,0.0%
Budda Baker,ARI,0,0,0,,,,,,,,,,1,0,0,0.0,0,4,1,20.0%
Jalen Thompson,ARI,0,0,0,,,,,,,,,,2,0,0,0.0,0,3,0,0.0%
Player,Tm,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
Avonte Maddox,PHI,0,4,4,100.0%,86,21.5,21.5,0,118.7,9.0,36,50,0,0,0,0.0,0,3,1,25.0%
Nicholas Morrow,PHI,0,4,4,100.0%,38,9.5,9.5,1,145.8,5.3,21,17,1,0,0,0.0,0,14,0,0.0%
Shaquille Leonard,PHI,0,4,3,75.0%,18,6.0,4.5,1,122.9,-1.0,0,18,3,0,0,0.0,0,5,2,28.6%
Haason Reddick,PHI,0,3,3,100.0%,26,8.7,8.7,0,102.8,6.0,18,8,3,0,0,0.0,0,1,0,0.0%
Eli Ricks,PHI,0,4,3,75.0%,27,9.0,6.8,0,92.7,6.5,21,6,0,0,0,0.0,0,3,1,25.0%
Kevin Byard,PHI,0,2,2,100.0%,10,5.0,5.0,0,87.5,3.0,6,4,1,0,0,0.0,0,11,1,8.3%
Sydney Brown,PHI,1,3,2,66.7%,9,4.5,3.0,0,30.6,8.0,1,8,1,0,0,0.0,0,5,0,0.0%
Reed Blankenship,PHI,0,3,2,66.7%,8,4.0,2.7,0,70.1,2.0,6,2,0,0,0,0.0,0,11,2,15.4%
Kelee Ringo,PHI,0,1,1,100.0%,5,5.0,5.0,1,127.1,5.0,5,0,0,0,0,0.0,0,5,0,0.0%
Ben VanSumeren,PHI,0,1,1,100.0%,5,5.0,5.0,0,87.5,3.0,3,2,0,0,0,0.0,0,4,1,20.0%
Fletcher Cox,PHI,0,0,0,,,,,,,,,,0,2,0,0.0,2,3,0,0.0%
Josh Sweat,PHI,0,0,0,,,,,,,,,,1,1,1,0.0,2,6,2,25.0%
Milton Williams,PHI,0,0,0,,,,,,,,,,0,1,1,0.0,2,4,2,33.3%
Brandon Graham,PHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,4,1,20.0%
Jordan Davis,PHI,0,0,0,,,,,,,,,,0,1,0,0.0,1,1,1,50.0%
Jalen Carter,PHI,0,0,0,,,,,,,,,,0,0,0,1.0,1,1,0,0.0%
Nolan Smith,PHI,0,0,0,,,,,,,,,,2,0,0,0.0,0,3,1,25.0%
James Bradberry,PHI,0,2,0,0.0%,,,0.0,,39.6,1.0,,,1,0,0,0.0,0,1,1,50.0%
