Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Bengals won the coin toss and deferred, Browns to receive the opening kickoff.",,
1,15:00,,,CIN 35,0,0,"Evan McPherson kicks off 61 yards, returned by James Proche for 19 yards (tackle by Chase Brown)",0.000,0.480
1,14:56,1,10,CLE 23,0,0,Pierre Strong left end for 4 yards (tackle by Daxton Hill),0.480,0.470
1,14:13,2,6,CLE 27,0,0,Pierre Strong left tackle for 2 yards (tackle by B.J. Hill),0.470,0.040
1,13:29,3,4,CLE 29,0,0,Jeff Driskel pass deep left intended for Cedric Tillman is intercepted by Jordan Battle at CIN-45 and returned for no gain,0.040,-1.930
1,13:24,1,10,CIN 45,0,0,Joe Mixon up the middle for 16 yards (tackle by D'Anthony Bell and Ronnie Hickman),1.930,2.980
1,12:39,1,10,CLE 39,0,0,Charlie Jones left end for 6 yards (tackle by D'Anthony Bell and Matthew Adams),2.980,3.250
1,12:03,2,4,CLE 33,0,0,Jake Browning pass incomplete short right intended for Ja'Marr Chase,3.250,2.540
1,11:59,3,4,CLE 33,0,0,Jake Browning pass short middle intended for Tyler Boyd is intercepted by D'Anthony Bell at CLE-22 and returned for 2 yards (tackle by Trenton Irwin),2.540,-0.540
1,11:52,1,10,CLE 24,0,0,Jeff Driskel pass complete short right to David Bell for 2 yards (tackle by Germaine Pratt),0.540,0.270
1,11:06,2,8,CLE 26,0,0,Jeff Driskel pass incomplete short left intended for James Proche (defended by DJ Turner),0.270,-0.430
1,11:02,3,8,CLE 26,0,0,Jeff Driskel sacked by and B.J. Hill for -9 yards and Trey Hendrickson for -9 yards,-0.430,-2.320
1,10:21,4,17,CLE 17,0,0,"Corey Bojorquez punts 58 yards, returned by Charlie Jones for 15 yards (tackle by Tony Fields)",-2.320,-1.600
1,10:10,1,10,CIN 40,0,0,Chase Brown right end for 2 yards (tackle by Cameron Mitchell),1.600,1.320
1,9:37,2,8,CIN 42,0,0,Chase Brown up the middle for -1 yards (tackle by Cameron Mitchell and Matthew Adams),1.320,0.500
1,8:59,3,9,CIN 41,0,0,Jake Browning pass complete deep middle to Charlie Jones for 35 yards (tackle by Cameron Mitchell),0.500,3.970
1,8:13,1,10,CLE 24,0,0,Jake Browning pass complete short left to Ja'Marr Chase for 11 yards (tackle by Kahlef Hailassie),3.970,4.710
1,7:34,1,10,CLE 13,0,0,"Jake Browning pass incomplete short right. Penalty on Orlando Brown: Offensive Holding, 10 yards (accepted) (no play)",4.710,4.040
1,7:26,1,20,CLE 23,0,0,Joe Mixon left guard for 13 yards (tackle by Ronnie Hickman and Tony Fields),4.040,4.580
1,6:44,2,7,CLE 10,0,0,Joe Mixon left end for 9 yards (tackle by Tony Fields),4.580,6.970
1,6:11,1,1,CLE 1,0,6,"Joe Mixon right end for 1 yard, touchdown",6.970,7.000
1,6:07,,,CLE 15,0,7,Evan McPherson kicks extra point good,0.000,0.000
1,6:07,,,CIN 35,0,7,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,6:07,1,10,CLE 25,0,7,Pierre Strong right end for -3 yards (tackle by Mike Hilton),0.610,-0.340
1,5:23,2,13,CLE 22,0,7,Pierre Strong left tackle for 1 yard (tackle by Mike Hilton),-0.340,-0.890
1,4:38,3,12,CLE 23,0,7,Jeff Driskel pass complete short right to Jordan Akins for 3 yards (tackle by Nick Scott and Logan Wilson),-0.890,-1.630
1,3:59,4,9,CLE 26,0,7,"Corey Bojorquez punts 41 yards, fair catch by Charlie Jones at CIN-33",-1.630,-1.140
1,3:51,1,10,CIN 33,0,7,Joe Mixon right tackle for 44 yards (tackle by Vincent Gray),1.140,4.040
1,3:00,,,,,,Timeout #1 by Cincinnati Bengals,,
1,3:00,1,10,CLE 23,0,7,Jake Browning pass complete short left to Andrei Iosivas for 5 yards (tackle by Cameron Mitchell),4.040,4.210
1,2:18,2,5,CLE 18,0,7,Joe Mixon left tackle for -3 yards (tackle by Sam Kamara),4.210,3.070
1,1:34,3,8,CLE 21,0,7,Jake Browning pass complete short left to Andrei Iosivas for 15 yards (tackle by Vincent Gray),3.070,5.830
1,0:53,1,6,CLE 6,0,13,"Jake Browning pass complete short left to Joe Mixon for 6 yards, touchdown",5.830,7.000
1,0:48,,,CLE 15,0,14,Evan McPherson kicks extra point good,0.000,0.000
1,0:48,,,CIN 35,0,14,"Evan McPherson kicks off 65 yards, touchback.",0.000,0.610
1,0:48,1,10,CLE 25,0,14,Jeff Driskel sacked by Sam Hubbard for -7 yards,0.610,-0.980
1,0:03,,,,,,Timeout #1 by Cleveland Browns,,
1,0:03,2,17,CLE 18,0,14,Pierre Strong left end for 7 yards (tackle by Daxton Hill),-0.980,-0.620
Quarter,Time,Down,ToGo,Location,CLE,CIN,Detail,EPB,EPA
