Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Rasheed Walker,T,60,100%,0,0%,4,22%
Josh Myers,C,60,100%,0,0%,4,22%
Jordan Love,QB,60,100%,0,0%,0,0%
Elgton Jenkins,G,60,100%,0,0%,0,0%
Tucker Kraft,TE,54,90%,0,0%,8,44%
Aaron Jones,RB,49,82%,0,0%,0,0%
Zach Tom,T,48,80%,0,0%,4,22%
Bo Melton,WR,45,75%,0,0%,0,0%
Dontayvion Wicks,WR,43,72%,0,0%,0,0%
Jayden Reed,WR,36,60%,0,0%,3,17%
Jon Runyan Jr.,G,31,52%,0,0%,4,22%
Sean Rhyan,G,29,48%,0,0%,0,0%
Malik Heath,WR,23,38%,0,0%,0,0%
Ben Sims,TE,12,20%,0,0%,4,22%
Yosh Nijman,T,12,20%,0,0%,4,22%
Patrick Taylor,RB,11,18%,0,0%,8,44%
Romeo Doubs,WR,11,18%,0,0%,0,0%
Luke Musgrave,TE,9,15%,0,0%,0,0%
Josiah Deguara,TE,7,12%,0,0%,9,50%
Jonathan Owens,SS,0,0%,48,100%,9,50%
Quay Walker,LB,0,0%,48,100%,2,11%
Jaire Alexander,CB,0,0%,48,100%,1,6%
Darnell Savage Jr.,SS,0,0%,47,98%,0,0%
Carrington Valentine,CB,0,0%,44,92%,5,28%
Kenny Clark,DE,0,0%,40,83%,0,0%
De'Vondre Campbell,LB,0,0%,38,79%,5,28%
Preston Smith,LB,0,0%,36,75%,0,0%
Rashan Gary,LB,0,0%,35,73%,0,0%
Keisean Nixon,CB,0,0%,31,65%,8,44%
Devonte Wyatt,DE,0,0%,27,56%,5,28%
Tedarrell Slaton,NT,0,0%,26,54%,9,50%
Karl Brooks,NT,0,0%,18,38%,6,33%
Kingsley Enagbare,LB,0,0%,13,27%,10,56%
Lukas Van Ness,LB,0,0%,12,25%,6,33%
Colby Wooden,DE,0,0%,9,19%,4,22%
Corey Ballentine,CB,0,0%,4,8%,9,50%
Anthony Johnson,FS,0,0%,4,8%,4,22%
Eric Wilson,LB,0,0%,0,0%,12,67%
Kristian Welch,LB,0,0%,0,0%,9,50%
Zayne Anderson,FS,0,0%,0,0%,9,50%
Robert Rochell,CB,0,0%,0,0%,9,50%
Anders Carlson,K,0,0%,0,0%,8,44%
Benny Sapp III,SS,0,0%,0,0%,4,22%
Daniel Whelan,P,0,0%,0,0%,4,22%
Matthew Orzech,LS,0,0%,0,0%,4,22%
Royce Newman,G,0,0%,0,0%,4,22%
