Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Nick Allegretti,G,58,100%,0,0%,3,11%
Mecole Hardman,WR,58,100%,0,0%,0,0%
Blaine Gabbert,QB,58,100%,0,0%,0,0%
Lucas Niang,T,57,98%,0,0%,3,11%
Mike Caliendo,G,57,98%,0,0%,3,11%
Richie James,WR,48,83%,0,0%,9,33%
La'Mical Perine,RB,47,81%,0,0%,15,56%
Blake Bell,TE,41,71%,0,0%,9,33%
Justyn Ross,WR,38,66%,0,0%,6,22%
Noah Gray,TE,27,47%,0,0%,10,37%
Creed Humphrey,C,27,47%,0,0%,3,11%
Trey Smith,G,25,43%,0,0%,3,11%
Joe Thuney,G,25,43%,0,0%,0,0%
Wanya Morris,T,24,41%,0,0%,2,7%
Jawaan Taylor,T,19,33%,0,0%,3,11%
Justin Watson,WR,18,31%,0,0%,4,15%
Clyde Edwards-Helaire,RB,11,19%,0,0%,0,0%
Jack Cochrane,LB,0,0%,83,100%,23,85%
Joshua Williams,CB,0,0%,83,100%,10,37%
Cam Jones,LB,0,0%,79,95%,22,81%
Chamarri Conner,FS,0,0%,78,94%,16,59%
Jaylen Watson,CB,0,0%,68,82%,1,4%
Nic Jones,CB,0,0%,67,81%,23,85%
Deon Bush,SS,0,0%,66,80%,24,89%
Felix Anudike-Uzomah,DE,0,0%,61,73%,1,4%
Malik Herring,DE,0,0%,55,66%,5,19%
Tershawn Wharton,DT,0,0%,54,65%,5,19%
Chris Jones,DT,0,0%,46,55%,0,0%
BJ Thompson,DE,0,0%,28,34%,16,59%
Leo Chenal,LB,0,0%,26,31%,20,74%
Mike Edwards,FS,0,0%,26,31%,2,7%
Matt Dickerson,DT,0,0%,25,30%,1,4%
Charles Omenihu,DE,0,0%,24,29%,0,0%
Derrick Nnadi,DT,0,0%,16,19%,5,19%
Ekow Boye-Doe,CB,0,0%,15,18%,21,78%
Neil Farrell,DT,0,0%,13,16%,0,0%
Tommy Townsend,P,0,0%,0,0%,10,37%
James Winchester,LS,0,0%,0,0%,10,37%
Harrison Butker,K,0,0%,0,0%,7,26%
Drue Tranquill,LB,0,0%,0,0%,2,7%
