Quarter,Time,Down,ToGo,Location,JAX,TEN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Titans won the coin toss and deferred, Jaguars to receive the opening kickoff.",,
1,15:00,,,TEN 35,0,0,"Ty Zentner kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,JAX 25,0,0,Travis Etienne left end for no gain (tackle by K'Von Wallace and Azeez Al-Shaair),0.610,0.060
1,14:19,2,10,JAX 25,0,0,Trevor Lawrence pass complete short middle to Evan Engram for 10 yards (tackle by K'Von Wallace and Azeez Al-Shaair),0.060,1.270
1,13:46,1,10,JAX 35,0,0,Trevor Lawrence pass incomplete short middle intended for Travis Etienne (defended by Arden Key),1.270,0.720
1,13:42,2,10,JAX 35,0,0,Travis Etienne up the middle for 5 yards (tackle by Marlon Davidson),0.720,0.700
1,13:00,3,5,JAX 40,0,0,Trevor Lawrence pass complete short right to Evan Engram for 6 yards (tackle by Azeez Al-Shaair),0.700,1.990
1,12:19,1,10,JAX 46,0,0,Tank Bigsby right tackle for 8 yards (tackle by Roger McCreary and Elijah Molden),1.990,2.530
1,11:42,2,2,TEN 46,0,0,Trevor Lawrence pass complete short right to Calvin Ridley for 15 yards (tackle by Roger McCreary),2.530,3.510
1,11:11,1,10,TEN 31,0,0,Trevor Lawrence pass incomplete short right,3.510,2.970
1,11:06,2,10,TEN 31,0,0,Travis Etienne right tackle for 3 yards (tackle by Otis Reese),2.970,2.680
1,10:28,3,7,TEN 28,0,0,Trevor Lawrence scrambles left end for 2 yards (tackle by Arden Key),2.680,1.790
1,9:50,4,5,TEN 26,3,0,Brandon McManus 44 yard field goal good,1.790,3.000
1,9:45,,,JAX 35,3,0,"Brandon McManus kicks off 64 yards,",0.000,0.610
1,9:45,1,10,TEN 25,3,0,Derrick Henry left tackle for 12 yards (tackle by Foyesade Oluokun and Andre Cisco),0.610,1.400
1,9:03,1,10,TEN 37,3,0,Ryan Tannehill pass complete short right to DeAndre Hopkins for 6 yards,1.400,1.670
1,8:26,2,4,TEN 43,3,0,Derrick Henry left end for 4 yards (tackle by Foyesade Oluokun and Roy Robertson-Harris),1.670,2.060
1,7:46,1,10,TEN 47,3,0,Ryan Tannehill pass complete short right to Chigoziem Okonkwo for 21 yards (tackle by Devin Lloyd),2.060,3.450
1,6:55,1,10,JAX 32,3,0,DeAndre Hopkins pass incomplete short left intended for Ryan Tannehill,3.450,2.900
1,6:49,2,10,JAX 32,3,0,Ryan Tannehill pass complete short left to DeAndre Hopkins for 4 yards (tackle by Antonio Johnson),2.900,2.740
1,6:05,3,6,JAX 28,3,6,"Ryan Tannehill pass complete short right to Tyjae Spears for 28 yards, touchdown",2.740,7.000
1,5:57,,,JAX 15,3,7,Nick Folk kicks extra point good,0.000,0.000
1,5:57,,,TEN 35,3,7,"Ty Zentner kicks off 68 yards, returned by Tank Bigsby for 31 yards (tackle by JoJo Domann)",0.000,0.810
1,5:53,1,10,JAX 28,3,7,"Travis Etienne left end for no gain (tackle by K'Von Wallace). Penalty on Elijah Cooks: Offensive Holding, 10 yards (accepted) (no play)",0.810,-0.040
1,5:24,1,20,JAX 18,3,7,Trevor Lawrence pass complete short middle to Evan Engram for 5 yards (tackle by Arden Key),-0.040,-0.410
1,4:45,2,15,JAX 23,3,7,Trevor Lawrence pass complete short right to Evan Engram for 8 yards (tackle by Roger McCreary),-0.410,-0.030
1,4:09,3,7,JAX 31,3,7,"Trevor Lawrence pass complete to Zay Jones for no gain TEN challenged the pass completion ruling, and the original play was overturned. Trevor Lawrence pass incomplete deep left intended for Zay Jones (defended by Elijah Molden)",-0.030,-1.310
1,4:02,4,7,JAX 31,3,7,"Logan Cooke punts 43 yards, fair catch by Mason Kinsey at TEN-26",-1.310,-0.670
1,3:54,1,10,TEN 26,3,7,Ryan Tannehill pass incomplete short middle intended for Kevin Rader,0.670,0.130
1,3:45,2,10,TEN 26,3,7,Derrick Henry up the middle for 16 yards (tackle by Foyesade Oluokun),0.130,1.730
1,3:06,1,10,TEN 42,3,7,Ryan Tannehill pass incomplete short middle,1.730,1.190
1,3:00,2,10,TEN 42,3,7,Derrick Henry right guard for 2 yards (tackle by Travon Walker and Jeremiah Ledbetter),1.190,0.760
1,2:21,3,8,TEN 44,3,7,"Penalty on Andre Dillard: False Start, 5 yards (accepted) (no play)",0.760,0.100
1,2:04,3,13,TEN 39,3,7,Ryan Tannehill pass incomplete short middle intended for Chigoziem Okonkwo,0.100,-0.780
1,2:01,4,13,TEN 39,3,7,"Ty Zentner punts 49 yards, fair catch by Parker Washington at JAC-12",-0.780,0.350
