Quarter,Time,Tm,Detail,SEA,DET
1,7:04,Seahawks,Kenneth Walker III 1 yard rush (Jason Myers kick),7,0
,3:49,Lions,Josh Reynolds 22 yard pass from Jared Goff (Riley Patterson kick),7,7
2,4:51,Lions,Kalif Raymond 36 yard pass from Jared Goff (Riley Patterson kick),7,14
3,14:16,Seahawks,Kenneth Walker III 3 yard rush (Jason Myers kick),14,14
,9:05,Lions,David Montgomery 4 yard rush (Riley Patterson kick),14,21
,3:27,Seahawks,Jason Myers 25 yard field goal,17,21
4,10:38,Seahawks,Tyler Lockett 3 yard pass from Geno Smith (Jason Myers kick),24,21
,8:04,Seahawks,Tre Brown 40 yard interception return (Jason Myers kick),31,21
,3:08,Lions,Josh Reynolds 4 yard pass from Jared Goff (Riley Patterson kick),31,28
,0:00,Lions,Riley Patterson 38 yard field goal,31,31
OT,5:41,Seahawks,Tyler Lockett 6 yard pass from Geno Smith,37,31
