Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Chris Hubbard,T,65,100%,0,0%,5,17%
Daniel Brunskill,C,65,100%,0,0%,5,17%
Andre Dillard,T,65,100%,0,0%,5,17%
Aaron Brewer,G,65,100%,0,0%,0,0%
Ryan Tannehill,QB,65,100%,0,0%,0,0%
Dillon Radunz,T,53,82%,0,0%,5,17%
Derrick Henry,RB,46,71%,0,0%,0,0%
Chigoziem Okonkwo,TE,45,69%,0,0%,1,3%
Nick Westbrook-Ikhine,WR,44,68%,0,0%,16,53%
Treylon Burks,WR,42,65%,0,0%,0,0%
Trevon Wesco,TE,40,62%,0,0%,10,33%
DeAndre Hopkins,WR,39,60%,0,0%,0,0%
Chris Moore,WR,30,46%,0,0%,8,27%
Tyjae Spears,RB,24,37%,0,0%,0,0%
Josh Whyle,TE,14,22%,0,0%,9,30%
Xavier Newman-Johnson,G,12,18%,0,0%,5,17%
Julius Chestnut,RB,1,2%,0,0%,15,50%
Elijah Molden,CB,0,0%,68,100%,9,30%
Kevin Byard,FS,0,0%,68,100%,2,7%
Azeez Al-Shaair,LB,0,0%,67,99%,4,13%
Sean Murphy-Bunting,CB,0,0%,67,99%,0,0%
Roger McCreary,CB,0,0%,67,99%,0,0%
Jeffery Simmons,DT,0,0%,60,88%,6,20%
Tre Avery,CB,0,0%,56,83%,14,47%
Harold Landry,LB,0,0%,54,80%,0,0%
Arden Key,LB,0,0%,49,72%,7,23%
Jack Gibbens,LB,0,0%,45,66%,12,40%
Denico Autry,DE,0,0%,45,66%,6,20%
Teair Tart,DT,0,0%,34,50%,0,0%
Kyle Peko,DT,0,0%,27,40%,6,20%
Mike Brown,FS,0,0%,20,29%,23,77%
Rashad Weaver,LB,0,0%,9,13%,13,43%
Naquan Jones,DT,0,0%,6,9%,0,0%
Jayden Peevy,DT,0,0%,4,6%,0,0%
Luke Gifford,LB,0,0%,0,0%,25,83%
Anthony Kendall,CB,0,0%,0,0%,20,67%
Monty Rice,LB,0,0%,0,0%,19,63%
Otis Reese,LB,0,0%,0,0%,14,47%
Matthew Jackson,SS,0,0%,0,0%,14,47%
Kearis Jackson,WR,0,0%,0,0%,11,37%
Ryan Stonehouse,P,0,0%,0,0%,10,33%
Nick Folk,K,0,0%,0,0%,10,33%
Morgan Cox,LS,0,0%,0,0%,10,33%
Corey Levin,C,0,0%,0,0%,5,17%
Jaelyn Duncan,T,0,0%,0,0%,5,17%
Eric Garror,CB,0,0%,0,0%,1,3%
