Unnamed: 0_level_0,Unnamed: 1_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Unnamed: 7_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
David Onyemata,ATL,0,0,0,0,0,1.5,7,2,5,1,2,0,0,0,0
Bud Dupree,ATL,0,0,0,0,0,0.5,5,0,5,0,1,0,0,0,0
Richie Grant,ATL,0,0,0,0,0,0.0,11,9,2,0,1,0,0,0,0
Nathan Landman,ATL,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
Jessie Bates III,ATL,0,0,0,0,0,0.0,8,5,3,1,1,0,0,0,1
Calais Campbell,ATL,0,0,0,0,0,0.0,6,1,5,0,1,0,0,0,0
Mike Hughes,ATL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Grady Jarrett,ATL,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
DeAundre Alford,ATL,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Kaden Elliss,ATL,0,0,0,0,0,0.0,4,2,2,0,1,0,0,0,0
Jeff Okudah,ATL,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
AJ Terrell,ATL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Arnold Ebiketie,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Zach Harrison,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jaylinn Hawkins,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
DeMarcco Hellams,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Timmy Horne,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Keith Smith,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,1
,,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,,Tackles,Tackles,Tackles,Tackles,Tackles,Fumbles,Fumbles,Fumbles,Fumbles
Player,Tm,Int,Yds,TD,Lng,PD,Sk,Comb,Solo,Ast,TFL,QBHits,FR,Yds,TD,FF
Darious Williams,JAX,1,61,1,61,3,0.0,5,4,1,0,0,0,0,0,0
Andre Cisco,JAX,1,18,0,18,1,0.0,4,4,0,1,0,0,0,0,0
Josh Allen,JAX,0,0,0,0,0,3.0,3,3,0,2,3,0,0,0,1
Travon Walker,JAX,0,0,0,0,0,1.0,2,2,0,0,2,0,0,0,0
Foyesade Oluokun,JAX,0,0,0,0,0,0.0,9,8,1,3,0,1,0,0,0
Chad Muma,JAX,0,0,0,0,2,0.0,7,3,4,0,0,0,0,0,0
Tyson Campbell,JAX,0,0,0,0,2,0.0,6,5,1,0,0,0,0,0,0
Tre Herndon,JAX,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Angelo Blackson,JAX,0,0,0,0,0,0.0,2,1,1,0,0,1,0,0,0
Rayshawn Jenkins,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Roy Robertson-Harris,JAX,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Andrew Wingard,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Yasir Abdullah,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Folorunso Fatukasi,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Adam Gotsis,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
K'Lavon Chaisson,JAX,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Evan Engram,JAX,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
