Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds.1,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Desmond Ridder,ATL,19,31,191,1,2,4,31,33,62.7,1,6,0,6,0,0,0,0,0,1,1
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,14,105,0,38,5,5,32,0,9,0,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,7,16,0,9,2,1,-4,0,-4,0,0
Jonnu Smith,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,95,0,33,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,28,1,15,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,13,0,0
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,19,0,10,0,0
Mack Hollins,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
MyCole Pruitt,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
,,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles
Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL
Trevor Lawrence,JAX,23,30,207,1,0,2,12,30,105.8,8,42,0,22,0,0,0,0,0,0,0
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,20,55,0,7,3,3,17,0,8,0,0
Tank Bigsby,JAX,0,0,0,0,0,0,0,0,,3,10,0,6,0,0,0,0,0,0,0
Christian Kirk,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,84,0,30,0,0
Evan Engram,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,59,0,19,1,0
Calvin Ridley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,38,1,30,0,0
Luke Farrell,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,7,0,0
Jamycal Hasty,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Tim Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-1,0,-1,0,0
D'Ernest Johnson,JAX,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,0
