Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Eagles to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 49 yards, returned by Olamide Zaccheaus for 7 yards (tackle by Chase Claypool)",0.000,0.480
1,14:54,1,10,PHI 23,0,0,D'Andre Swift left end for 7 yards (tackle by Eli Apple),0.480,0.880
1,14:23,2,3,PHI 30,0,0,D'Andre Swift right guard for 1 yard (tackle by Raekwon Davis and Bradley Chubb),0.880,0.300
1,13:44,3,2,PHI 31,0,0,D'Andre Swift up the middle for 3 yards (tackle by Christian Wilkins),0.300,1.200
1,13:03,1,10,PHI 34,0,0,"Jalen Hurts pass complete short left to DeVonta Smith for no gain (tackle by Jevon Holland). Penalty on Christian Wilkins: Defensive Offside, 5 yards (accepted) (no play)",1.200,1.930
1,12:40,1,5,PHI 39,0,0,D'Andre Swift right end for 7 yards (tackle by Jevon Holland),1.930,1.990
1,12:02,1,10,PHI 46,0,0,Jalen Hurts pass incomplete deep left intended for DeVonta Smith (defended by Eli Apple),1.990,1.450
1,11:54,2,10,PHI 46,0,0,Jalen Hurts pass complete short left to D'Andre Swift for 2 yards (tackle by Jerome Baker),1.450,1.030
1,11:09,3,8,PHI 48,0,0,Jalen Hurts pass complete short right to Dallas Goedert for 22 yards (tackle by Jevon Holland),1.030,3.580
1,10:42,1,10,MIA 30,0,0,Jalen Hurts pass complete deep left to Dallas Goedert for 22 yards (tackle by DeShon Elliott and Jerome Baker),3.580,5.370
1,10:05,1,8,MIA 8,0,0,Jalen Hurts right end for -2 yards (tackle by Jerome Baker),5.370,4.190
1,9:23,2,10,MIA 10,0,0,Kenneth Gainwell left guard for 1 yard (tackle by Jerome Baker and DeShon Elliott),4.190,3.360
1,8:38,3,9,MIA 9,0,0,Jalen Hurts up the middle for 3 yards (tackle by Bradley Chubb),3.360,2.990
1,7:57,4,6,MIA 6,0,3,Jake Elliott 24 yard field goal good,2.990,3.000
1,7:54,,,PHI 35,0,3,"Jake Elliott kicks off 65 yards, touchback.",0.000,0.610
1,7:54,1,10,MIA 25,0,3,"Penalty on MIA: Delay of Game, 5 yards (accepted) (no play)",0.610,0.280
1,7:54,1,15,MIA 20,0,3,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 8 yards (tackle by Terrell Edmunds),0.280,0.470
1,7:21,2,7,MIA 28,0,3,Tua Tagovailoa pass complete deep left to Tyreek Hill for 15 yards (tackle by Terrell Edmunds),0.470,1.800
1,6:42,1,10,MIA 43,0,3,Raheem Mostert right end for -5 yards (tackle by Haason Reddick),1.800,0.580
1,6:00,2,15,MIA 38,0,3,Tua Tagovailoa pass complete short left to Tyreek Hill for no gain (tackle by James Bradberry),0.580,-0.100
1,5:23,3,15,MIA 38,0,3,Tua Tagovailoa pass incomplete short left intended for Raheem Mostert,-0.100,-0.850
1,5:19,4,15,MIA 38,0,3,Jake Bailey punts 31 yards out of bounds,-0.850,-1.000
1,5:12,1,10,PHI 31,0,3,D'Andre Swift right guard for 2 yards (tackle by David Long),1.000,0.730
1,4:36,2,8,PHI 33,0,3,Jalen Hurts pass incomplete short right intended for A.J. Brown (defended by David Long),0.730,0.040
1,4:32,3,8,PHI 33,0,3,"Jalen Hurts sacked by Bradley Chubb for -10 yards. Jalen Hurts fumbles (forced by Bradley Chubb), recovered by Christian Wilkins at PHI-23",0.040,-4.040
1,4:24,1,10,PHI 23,0,3,Tua Tagovailoa pass complete short middle to Tyreek Hill for 3 yards (tackle by Darius Slay),4.040,3.900
1,3:50,2,7,PHI 20,0,3,Raheem Mostert right tackle for -2 yards (tackle by Haason Reddick),3.900,2.940
1,3:06,3,9,PHI 22,0,3,Tua Tagovailoa pass complete deep right to Jaylen Waddle for 16 yards (tackle by Terrell Edmunds),2.940,5.830
1,2:32,1,6,PHI 6,0,3,Raheem Mostert up the middle for -1 yards (tackle by Nicholas Morrow and Milton Williams),5.830,4.760
1,1:50,2,7,PHI 7,0,3,Tua Tagovailoa pass complete short right to Tyreek Hill for -5 yards (tackle by Darius Slay),4.760,3.100
1,1:10,3,12,PHI 12,0,3,"Tua Tagovailoa pass complete short right to Tyreek Hill for no gain, touchdown. Penalty on Lester Cotton: Offensive Holding, 10 yards (accepted) (no play)",3.100,2.080
1,1:06,3,22,PHI 22,0,3,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,2.080,1.990
1,1:03,4,22,PHI 22,3,3,Jason Sanders 40 yard field goal good,1.990,3.000
1,0:59,,,MIA 35,3,3,"Jason Sanders kicks off 64 yards, returned by Boston Scott for 38 yards (tackle by Jevon Holland)",0.000,1.530
1,0:52,1,10,PHI 39,3,3,D'Andre Swift right end for 7 yards (tackle by Jaelan Phillips),1.530,1.930
1,0:09,2,3,PHI 46,3,3,Jalen Hurts pass complete short middle to DeVonta Smith for 8 yards (tackle by Jevon Holland),1.930,2.520
Quarter,Time,Down,ToGo,Location,MIA,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,MIA 46,3,3,Jalen Hurts pass complete short right to Dallas Goedert for 4 yards (tackle by David Long),2.520,2.520
2,14:17,2,6,MIA 42,3,3,Jalen Hurts pass complete short right to A.J. Brown for 5 yards (tackle by Kader Kohou),2.520,2.480
2,13:38,3,1,MIA 37,3,3,Kenneth Gainwell right tackle for no gain (tackle by Jaelan Phillips and Raekwon Davis),2.480,0.790
2,13:16,4,1,MIA 37,3,3,"Jalen Hurts up the middle for no gain Penalty on MIA: Defensive Offside, 5 yards (offset) Penalty on PHI: Offensive Offside, 5 yards (offset) (no play)",0.790,0.790
2,13:00,4,1,MIA 37,3,3,Jalen Hurts up the middle for 2 yards (tackle by Bradley Chubb and Jerome Baker),0.790,3.250
2,12:16,1,10,MIA 35,3,3,Jalen Hurts pass incomplete deep right intended for A.J. Brown,3.250,2.700
2,12:10,2,10,MIA 35,3,3,"Jalen Hurts pass incomplete intended for D'Andre Swift. Penalty on Christian Wilkins: Roughing the Passer, 15 yards (accepted) (no play)",2.700,4.240
2,12:07,1,10,MIA 20,3,3,D'Andre Swift left guard for 1 yard (tackle by Andrew Van Ginkel and Christian Wilkins),4.240,3.820
2,11:31,2,9,MIA 19,3,9,"Jalen Hurts pass complete short left to Dallas Goedert for 19 yards, touchdown",3.820,7.000
2,11:25,,,MIA 15,3,10,Jake Elliott kicks extra point good,0.000,0.000
2,11:25,,,PHI 35,3,10,"Jake Elliott kicks off 64 yards, returned by Braxton Berrios for 33 yards (tackle by Christian Elliss and Kelee Ringo)",0.000,1.200
2,11:20,1,10,MIA 34,3,10,Salvon Ahmed up the middle for 1 yard (tackle by Milton Williams and Jordan Davis),1.200,0.790
