Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST
Player,Pos,Num,Pct,Num,Pct,Num,Pct
Andrew Wylie,T,72,100%,0,0%,5,18%
Charles Leno Jr.,T,72,100%,0,0%,5,18%
Chris Paul,G,72,100%,0,0%,5,18%
Samuel Cosmi,G,72,100%,0,0%,5,18%
Tyler Larsen,C,72,100%,0,0%,0,0%
Sam Howell,QB,72,100%,0,0%,0,0%
Terry McLaurin,WR,68,94%,0,0%,0,0%
Jahan Dotson,WR,61,85%,0,0%,0,0%
Logan Thomas,TE,53,74%,0,0%,0,0%
Antonio Gibson,RB,37,51%,0,0%,7,25%
Brian Robinson Jr.,RB,35,49%,0,0%,0,0%
John Bates,TE,34,47%,0,0%,12,43%
Jamison Crowder,WR,23,32%,0,0%,2,7%
Dyami Brown,WR,22,31%,0,0%,8,29%
Curtis Samuel,WR,14,19%,0,0%,0,0%
Byron Pringle,WR,7,10%,0,0%,15,54%
Alex Armah,RB,6,8%,0,0%,20,71%
Percy Butler,FS,0,0%,63,100%,6,21%
Kendall Fuller,CB,0,0%,63,100%,0,0%
Benjamin St-Juste,CB,0,0%,63,100%,0,0%
Kamren Curl,SS,0,0%,63,100%,0,0%
Jamin Davis,LB,0,0%,63,100%,0,0%
David Mayo,LB,0,0%,55,87%,6,21%
Daron Payne,DT,0,0%,52,83%,5,18%
Chase Young,DE,0,0%,50,79%,0,0%
Jonathan Allen,DT,0,0%,47,75%,1,4%
Montez Sweat,DE,0,0%,42,67%,0,0%
Danny Johnson,CB,0,0%,39,62%,6,21%
John Ridgeway,DT,0,0%,24,38%,6,21%
James Smith-Williams,DE,0,0%,21,33%,8,29%
Phidarian Mathis,DT,0,0%,14,22%,0,0%
Casey Toohill,DE,0,0%,13,21%,21,75%
Khaleke Hudson,LB,0,0%,10,16%,23,82%
Quan Martin,CB,0,0%,5,8%,23,82%
Emmanuel Forbes,CB,0,0%,5,8%,0,0%
Efe Obada,DE,0,0%,1,2%,6,21%
Terrell Burgess,FS,0,0%,0,0%,23,82%
De'Jon Harris,LB,0,0%,0,0%,17,61%
Jabril Cox,LB,0,0%,0,0%,17,61%
Joey Slye,K,0,0%,0,0%,11,39%
Chris Rodriguez,RB,0,0%,0,0%,11,39%
Tariq Castro-Fields,CB,0,0%,0,0%,10,36%
Camaron Cheeseman,LS,0,0%,0,0%,7,25%
Tress Way,P,0,0%,0,0%,7,25%
Cornelius Lucas,T,0,0%,0,0%,5,18%
Nick Gates,C,0,0%,0,0%,4,14%
Ricky Stromberg,C,0,0%,0,0%,1,4%
