Quarter,Time,Down,ToGo,Location,LAC,NYJ,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jets won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,NYJ 35,0,0,"Greg Zuerlein kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,LAC 25,0,0,Austin Ekeler up the middle for 2 yards (tackle by Quinnen Williams),0.610,0.330
1,14:26,2,8,LAC 27,0,0,Justin Herbert pass incomplete deep right intended for Quentin Johnston (defended by Sauce Gardner),0.330,-0.360
1,14:19,3,8,LAC 27,0,0,Justin Herbert pass incomplete short left,-0.360,-1.570
1,14:16,4,8,LAC 27,0,0,"JK Scott punts 49 yards, returned by Xavier Gipson for no gain (tackle by Deane Leonard and Ja'Sir Taylor)",-1.570,-0.540
1,14:06,1,10,NYJ 24,0,0,Breece Hall for 4 yards (tackle by Kenneth Murray),0.540,0.540
1,13:42,2,6,NYJ 28,0,0,Zach Wilson pass incomplete short right intended for C.J. Uzomah,0.540,-0.160
1,13:39,3,6,NYJ 28,0,0,Zach Wilson pass incomplete short middle intended for Allen Lazard (defended by Alohi Gilman),-0.160,-1.500
1,13:35,4,6,NYJ 28,6,0,"Thomas Morstead punts 59 yards, returned by Derius Davis for 87 yards, touchdown",-1.500,-7.000
1,13:15,,,NYJ 15,7,0,Cameron Dicker kicks extra point good,0.000,0.000
1,13:15,,,LAC 35,7,0,"Cameron Dicker kicks off 61 yards,",0.000,0.610
1,13:15,1,10,NYJ 25,7,0,Breece Hall right guard for 6 yards (tackle by Derwin James),0.610,0.870
1,12:34,2,4,NYJ 31,7,0,Zach Wilson pass incomplete deep right intended for Garrett Wilson,0.870,0.170
1,12:27,3,4,NYJ 31,7,0,Zach Wilson pass complete short left to Breece Hall for 5 yards (tackle by Derwin James and Khalil Mack),0.170,1.330
1,11:46,1,10,NYJ 36,7,0,Dalvin Cook up the middle for 4 yards (tackle by Joey Bosa and Eric Kendricks),1.330,1.330
1,11:22,2,6,NYJ 40,7,0,"Zach Wilson pass complete short middle to Dalvin Cook for 1 yard (tackle by Eric Kendricks). Penalty on Joey Bosa: Roughing the Passer, 15 yards (accepted)",1.330,2.650
